Molecule	name_new	BA_suppl	BSH_strain	cult_plt	plate_location	0h	48h	baseline_chng	condition
GCA	GCDCA-LCAG-95-BSH1208	GCDCA	LCAG-95-BSH1208	P3	D8	629764	219424	0.348422030439926	NA
GCA	GUDCA-LCAG-95-BSH1208	GUDCA	LCAG-95-BSH1208	P3	D9	236371	195955	0.829011050378217	NA
GCA	GCA-LCAG-95-BSH1208	GCA	LCAG-95-BSH1208	P3	D10	729627200	280237568	0.38408322444108	NA
GCA	TLCA-Ep-BSH101	TLCA	Ep-BSH101	P3	E1	105287	82077	0.779547526783679	NA
GCA	TDCA-Ep-BSH101	TDCA	Ep-BSH101	P3	E2	112813	82937	0.735165848210328	NA
GCA	TCDCA-Ep-BSH101	TCDCA	Ep-BSH101	P3	E3	110625	61647	0.557255979606964	NA
GCA	TUDCA-Ep-BSH101	TUDCA	Ep-BSH101	P3	E4	108268	69574	0.642603145868162	NA
GCA	TCA-Ep-BSH101	TCA	Ep-BSH101	P3	E5	110898	78831	0.710835985897078	NA
GCA	GLCA-Ep-BSH101	GLCA	Ep-BSH101	P3	E6	103765	69837	0.673023919202822	NA
GCA	GDCA-Ep-BSH101	GDCA	Ep-BSH101	P3	E7	191559	151529	0.791026310294425	NA
GCA	GCDCA-Ep-BSH101	GCDCA	Ep-BSH101	P3	E8	607925	451598	0.742850281119741	NA
GCA	GUDCA-Ep-BSH101	GUDCA	Ep-BSH101	P3	E9	244771	100038	0.40869870736849	NA
GCA	GCA-Ep-BSH101	GCA	Ep-BSH101	P3	E10	401314016	902793408	2.24959350971287	NA
GCA	TLCA-AZ-52	TLCA	AZ-52	P3	F1	104326	89791	0.860668858493008	NA
GCA	TDCA-AZ-52	TDCA	AZ-52	P3	F2	105080	81572	0.776277347950629	NA
GCA	TCDCA-AZ-52	TCDCA	AZ-52	P3	F3	108468	53375	0.492076077035835	NA
GCA	TUDCA-AZ-52	TUDCA	AZ-52	P3	F4	108325	80149	0.739887007735908	NA
GCA	TCA-AZ-52	TCA	AZ-52	P3	F5	108934	125023	1.1476843989535	NA
GCA	GLCA-AZ-52	GLCA	AZ-52	P3	F6	110257	81856	0.742404179288578	NA
GCA	GDCA-AZ-52	GDCA	AZ-52	P3	F7	187941	162161	0.862824701237616	NA
GCA	GCDCA-AZ-52	GCDCA	AZ-52	P3	F8	678726	562731	0.829097707914964	NA
GCA	GUDCA-AZ-52	GUDCA	AZ-52	P3	F9	113896	127756	1.12168011448941	NA
GCA	GCA-AZ-52	GCA	AZ-52	P3	F10	443555040	926072576	2.08784139599036	NA
GCA	TLCA-EcAZ-1-cat	TLCA	EcAZ-1-cat	P3	G1	105392	83551	0.792756634691108	NA
GCA	TDCA-EcAZ-1-cat	TDCA	EcAZ-1-cat	P3	G2	105930	90228	0.851761996016275	NA
GCA	TCDCA-EcAZ-1-cat	TCDCA	EcAZ-1-cat	P3	G3	112999	83386	0.737929203539823	NA
GCA	TUDCA-EcAZ-1-cat	TUDCA	EcAZ-1-cat	P3	G4	110739	92697	0.837068809824815	NA
GCA	TCA-EcAZ-1-cat	TCA	EcAZ-1-cat	P3	G5	119953	84849	0.707346149357254	NA
GCA	GLCA-EcAZ-1-cat	GLCA	EcAZ-1-cat	P3	G6	104849	94764	0.903805436337625	NA
GCA	GDCA-EcAZ-1-cat	GDCA	EcAZ-1-cat	P3	G7	134474	186062	1.38361777282023	NA
GCA	GCDCA-EcAZ-1-cat	GCDCA	EcAZ-1-cat	P3	G8	615181	596749	0.97003650952076	NA
GCA	GUDCA-EcAZ-1-cat	GUDCA	EcAZ-1-cat	P3	G9	445296	89620	0.201258935047844	NA
GCA	GCA-EcAZ-1-cat	GCA	EcAZ-1-cat	P3	G10	437311776	1039981824	2.3781244382083	NA
GCA	TLCA-ctrl	TLCA	ctrl	P3	H1	99342	115990	1.16757094108291	NA
GCA	TDCA-ctrl	TDCA	ctrl	P3	H2	106536	112364	1.0546946131391	NA
GCA	TCDCA-ctrl	TCDCA	ctrl	P3	H3	95163	90603	0.952072212181077	NA
GCA	TUDCA-ctrl	TUDCA	ctrl	P3	H4	100097	98586	0.984894803092969	NA
GCA	TCA-ctrl	TCA	ctrl	P3	H5	114709	108890	0.949263359776829	NA
GCA	GLCA-ctrl	GLCA	ctrl	P3	H6	209761	114879	0.547663542491014	NA
GCA	GDCA-ctrl	GDCA	ctrl	P3	H7	180454	139071	0.770668587736555	NA
GCA	GCDCA-ctrl	GCDCA	ctrl	P3	H8	794920	668173	0.840552709011336	NA
GCA	GUDCA-ctrl	GUDCA	ctrl	P3	H9	147403	180408	1.22390165802828	NA
GCA	GCA-ctrl	GCA	ctrl	P3	H10	786435264	875000768	1.11261639316238	NA
GCDCA	TLCA-Dny-BSH1	TLCA	Dny-BSH1	P2	A1	64550	0	0	FT
GCDCA	TDCA-Dny-BSH1	TDCA	Dny-BSH1	P2	A2	3052782	10853	0.00355511675739809	FT
GCDCA	TCDCA-Dny-BSH1	TCDCA	Dny-BSH1	P2	A3	931085	101841	0.109378725488301	FT
GCDCA	TUDCA-Dny-BSH1	TUDCA	Dny-BSH1	P2	A4	82060	0	0	FT
GCDCA	TCA-Dny-BSH1	TCA	Dny-BSH1	P2	A5	72037	0	0	FT
GCDCA	GLCA-Dny-BSH1	GLCA	Dny-BSH1	P2	A6	601049	113400	0.188669827801348	FT
GCDCA	GDCA-Dny-BSH1	GDCA	Dny-BSH1	P2	A7	556753728	11594	2.08242880040054e-05	FT
GCDCA	GCDCA-Dny-BSH1	GCDCA	Dny-BSH1	P2	A8	599039424	301714	0.000503663010159974	FT
GCDCA	GUDCA-Dny-BSH1	GUDCA	Dny-BSH1	P2	A9	806017	12674	0.0157242145957038	FT
GCDCA	GCA-Dny-BSH1	GCA	Dny-BSH1	P2	A10	278061	0	0	FT
GCDCA	TLCA-Dny-BSH2	TLCA	Dny-BSH2	P2	B1	116183	15693	0.135070233422847	FT
GCDCA	TDCA-Dny-BSH2	TDCA	Dny-BSH2	P2	B2	144124	20725	0.143798785776236	FT
GCDCA	TCDCA-Dny-BSH2	TCDCA	Dny-BSH2	P2	B3	312960	22525	0.0719738242145187	FT
GCDCA	TUDCA-Dny-BSH2	TUDCA	Dny-BSH2	P2	B4	100776	0	0	FT
GCDCA	TCA-Dny-BSH2	TCA	Dny-BSH2	P2	B5	123316	0	0	FT
GCDCA	GLCA-Dny-BSH2	GLCA	Dny-BSH2	P2	B6	1083361	246034	0.227102298216109	FT
GCDCA	GDCA-Dny-BSH2	GDCA	Dny-BSH2	P2	B7	2145811200	10173	4.74086443171661e-06	FT
GCDCA	GCDCA-Dny-BSH2	GCDCA	Dny-BSH2	P2	B8	1016139328	586693376	0.577374932015844	FT
GCDCA	GUDCA-Dny-BSH2	GUDCA	Dny-BSH2	P2	B9	6037994	4880799	0.8083476385787	FT
GCDCA	GCA-Dny-BSH2	GCA	Dny-BSH2	P2	B10	387100	41951	0.108372233603116	FT
GCDCA	TLCA-Lgasseri-BSH	TLCA	Lgasseri-BSH	P2	C1	179571	0	0	FA
GCDCA	TDCA-Lgasseri-BSH	TDCA	Lgasseri-BSH	P2	C2	156974	5527	0.0352094282529065	FA
GCDCA	TCDCA-Lgasseri-BSH	TCDCA	Lgasseri-BSH	P2	C3	162206	35576	0.219324690056533	FA
GCDCA	TUDCA-Lgasseri-BSH	TUDCA	Lgasseri-BSH	P2	C4	117424	0	0	FA
GCDCA	TCA-Lgasseri-BSH	TCA	Lgasseri-BSH	P2	C5	183142	12330	0.067324440464555	FA
GCDCA	GLCA-Lgasseri-BSH	GLCA	Lgasseri-BSH	P2	C6	826535	206826	0.250232294782078	FA
GCDCA	GDCA-Lgasseri-BSH	GDCA	Lgasseri-BSH	P2	C7	1372400000	23945	1.74475371484643e-05	FA
GCDCA	GCDCA-Lgasseri-BSH	GCDCA	Lgasseri-BSH	P2	C8	413985440	421437344	1.0180003987145	FA
GCDCA	GUDCA-Lgasseri-BSH	GUDCA	Lgasseri-BSH	P2	C9	3136877	3069574	0.978544272362521	FA
GCDCA	GCA-Lgasseri-BSH	GCA	Lgasseri-BSH	P2	C10	335365	44563	0.132878705652928	FA
GCDCA	TLCA-LCAG-95-BSH1208	TLCA	LCAG-95-BSH1208	P2	D1	41688	0	0	NA
GCDCA	TDCA-LCAG-95-BSH1208	TDCA	LCAG-95-BSH1208	P2	D2	535386	981	0.00183231942501406	NA
GCDCA	TCDCA-LCAG-95-BSH1208	TCDCA	LCAG-95-BSH1208	P2	D3	555271	51336	0.0924519874944171	NA
GCDCA	TUDCA-LCAG-95-BSH1208	TUDCA	LCAG-95-BSH1208	P2	D4	308276	1663	0.00539449910307937	NA
GCDCA	TCA-LCAG-95-BSH1208	TCA	LCAG-95-BSH1208	P2	D5	256831	4371	0.0170189073012709	NA
GCDCA	GLCA-LCAG-95-BSH1208	GLCA	LCAG-95-BSH1208	P2	D6	895587	509248	0.568618605876809	NA
GCDCA	GDCA-LCAG-95-BSH1208	GDCA	LCAG-95-BSH1208	P2	D7	2062600960	0	0	NA
GCDCA	GCDCA-LCAG-95-BSH1208	GCDCA	LCAG-95-BSH1208	P2	D8	614162176	570781	0.00092936527414973	NA
GCDCA	GUDCA-LCAG-95-BSH1208	GUDCA	LCAG-95-BSH1208	P2	D9	5426716	3738	0.000688814249941539	NA
GCDCA	GCA-LCAG-95-BSH1208	GCA	LCAG-95-BSH1208	P2	D10	706686	0	0	NA
GCDCA	TLCA-Ep-BSH101	TLCA	Ep-BSH101	P2	E1	206802	0	0	NA
GCDCA	TDCA-Ep-BSH101	TDCA	Ep-BSH101	P2	E2	348268	0	0	NA
GCDCA	TCDCA-Ep-BSH101	TCDCA	Ep-BSH101	P2	E3	183426	33328	0.181696260637747	NA
GCDCA	TUDCA-Ep-BSH101	TUDCA	Ep-BSH101	P2	E4	258785	0	0	NA
GCDCA	TCA-Ep-BSH101	TCA	Ep-BSH101	P2	E5	224652	0	0	NA
GCDCA	GLCA-Ep-BSH101	GLCA	Ep-BSH101	P2	E6	767071	353712	0.461119686287598	NA
GCDCA	GDCA-Ep-BSH101	GDCA	Ep-BSH101	P2	E7	2140118912	89391	4.17691743468088e-05	NA
GCDCA	GCDCA-Ep-BSH101	GCDCA	Ep-BSH101	P2	E8	559009024	687552512	1.22994885816021	NA
GCDCA	GUDCA-Ep-BSH101	GUDCA	Ep-BSH101	P2	E9	4437955	5228027	1.17802587497488	NA
GCDCA	GCA-Ep-BSH101	GCA	Ep-BSH101	P2	E10	332911	92241	0.277073220550776	NA
GCDCA	TLCA-AZ-52	TLCA	AZ-52	P2	F1	253579	0	0	NA
GCDCA	TDCA-AZ-52	TDCA	AZ-52	P2	F2	361110	2267	0.00627784808549172	NA
GCDCA	TCDCA-AZ-52	TCDCA	AZ-52	P2	F3	297474	66468	0.223440625262627	NA
GCDCA	TUDCA-AZ-52	TUDCA	AZ-52	P2	F4	154629	48660	0.31468667140917	NA
GCDCA	TCA-AZ-52	TCA	AZ-52	P2	F5	133086	2123	0.0159519712669156	NA
GCDCA	GLCA-AZ-52	GLCA	AZ-52	P2	F6	1336935	301757	0.225707887288546	NA
