rt_matched_detected_BA	BSH_strain	t0hvt48h	culture_supplement_BA
GCDCA	AZ-52	0.142273504874393	GCA
GCA	AZ-52	0.143450552692302	GLCA
Lys-CA	Dny-BSH1	0.143815011028781	GCA
GCA	Dny-BSH2	0.144522651000777	GDCA
TCDCA	Dny-BSH1	0.145063610603388	TLCA
Phe-UDCA	Ep-BSH101	0.145380897289284	TUDCA
Phe-UDCA	AZ-52	0.149165037017928	TUDCA
GCA	EcAZ-1-cat	0.149946113249977	TCA
Trp-UDCA	LCAG-95-BSH1208	0.151238010189463	TCDCA
TDCA	Lgasseri-BSH	0.155200840393496	GLCA
GCDCA	AZ-52	0.15647470441191	TLCA
Phe-UDCA	Dny-BSH2	0.158125501039798	TLCA
Phe-UDCA	Lgasseri-BSH	0.158653302205434	TUDCA
GLCA	Lgasseri-BSH	0.15941177735111	GLCA
Trp-UDCA	Ep-BSH101	0.159438859961711	TDCA
GCA	EcAZ-1-cat	0.159899835589778	GCA
TDCA	ctrl	0.160264564540656	TLCA
TUDCA	ctrl	0.160880255424751	TDCA
Phe-UDCA	Dny-BSH1	0.162507123271806	GUDCA
Phe-UDCA	Lgasseri-BSH	0.164465262660138	TDCA
GCDCA	Dny-BSH2	0.16525126046809	TUDCA
Trp-UDCA	EcAZ-1-cat	0.166951785311187	GCA
Trp-UDCA	Lgasseri-BSH	0.16721639716214	GUDCA
GUDCA	AZ-52	0.167881774570539	GLCA
Trp-UDCA	EcAZ-1-cat	0.16807605837205	GUDCA
Trp-UDCA	Dny-BSH2	0.169763901137323	GLCA
Phe-UDCA	EcAZ-1-cat	0.171618223919156	GLCA
Phe-UDCA	Dny-BSH1	0.17491117636289	GCDCA
GCA	Lgasseri-BSH	0.175043064313767	TCDCA
Trp-UDCA	EcAZ-1-cat	0.175926679547245	GLCA
Trp-UDCA	Lgasseri-BSH	0.176210934789964	TCA
Phe-UDCA	Ep-BSH101	0.177017883998318	GCA
TDCA	ctrl	0.177268020593618	GLCA
TDCA	EcAZ-1-cat	0.178590445789345	TCA
TDCA	Lgasseri-BSH	0.181367784613676	TCDCA
Phe-UDCA	Ep-BSH101	0.181606714126702	TCDCA
GCA	Lgasseri-BSH	0.182110060930466	TUDCA
GUDCA	AZ-52	0.182571921093218	TCA
GDCA	AZ-52	0.184623328573686	GLCA
TDCA	AZ-52	0.185856001693244	TCDCA
GCDCA	Ep-BSH101	0.186809308062301	TLCA
GUDCA	ctrl	0.188094875696156	GLCA
GCDCA	ctrl	0.188545283535796	TCA
GCA	AZ-52	0.189060685255181	TDCA
Trp-UDCA	EcAZ-1-cat	0.189385765622118	TCDCA
Phe-UDCA	Dny-BSH2	0.192512132746964	TCA
Trp-UDCA	Dny-BSH2	0.192864258554957	GCA
GCDCA	Dny-BSH2	0.193423475649216	TCA
Phe-UDCA	LCAG-95-BSH1208	0.196503833965834	TDCA
GCA	Lgasseri-BSH	0.196968796287266	GCA
TCDCA	ctrl	0.19709475057891	TUDCA
Trp-UDCA	Dny-BSH2	0.200288373118029	GUDCA
TUDCA	Lgasseri-BSH	0.200349823000344	TCA
Phe-UDCA	Ep-BSH101	0.200975264414901	GUDCA
Phe-UDCA	AZ-52	0.201753933287251	TCA
GCDCA	AZ-52	0.201901602309088	TCA
Phe-UDCA	Dny-BSH2	0.202242383133697	GUDCA
GCDCA	AZ-52	0.203483583671321	GLCA
GUDCA	Dny-BSH2	0.204120167460307	GCDCA
Tyr-UDCA	Dny-BSH2	0.205477325211746	GUDCA
Phe-UDCA	Lgasseri-BSH	0.206700857976092	GCA
GDCA	LCAG-95-BSH1208	0.207706591075393	GCA
GCDCA	Dny-BSH2	0.209973731492242	GLCA
TDCA	Lgasseri-BSH	0.210312027650084	TLCA
GDCA	EcAZ-1-cat	0.210454242499953	TLCA
TDCA	Dny-BSH1	0.21054106018351	GDCA
GDCA	ctrl	0.211519696866866	TCDCA
GUDCA	LCAG-95-BSH1208	0.211912802093059	GLCA
TDCA	AZ-52	0.211918205472315	TUDCA
GCA	Ep-BSH101	0.213784695350868	TCA
Trp-UDCA	LCAG-95-BSH1208	0.215769611294253	GCA
GCDCA	Dny-BSH2	0.216991752401903	TCDCA
GUDCA	Ep-BSH101	0.217803868718176	GCDCA
TCDCA	Ep-BSH101	0.218521067331188	TLCA
GCA	AZ-52	0.219169634730924	TCDCA
