Feature	Intercept_mean	C(condition, Treatment('FA'))[T.FT]_mean	C(condition, Treatment('FA'))[T.NA]_mean	Intercept_std	C(condition, Treatment('FA'))[T.FT]_std	C(condition, Treatment('FA'))[T.NA]_std	Intercept_hdi	C(condition, Treatment('FA'))[T.FT]_hdi	C(condition, Treatment('FA'))[T.NA]_hdi
tr_I7LGS2_I7LGS2_9LACO	-12.432108119999983	-2.6168844282865016	2.207084831865	2.398714547327917	3.8026318024947403	2.392239538145552	(-17.0732, -8.65511)	(-10.3136, 3.97479)	(-1.78106, 6.97349)
tr_A0A199YVI4_A0A199YVI4_9LACT	-12.63555257499999	-2.655769642810002	2.190301301483498	2.1588320517496076	3.764504106683807	2.240450532551615	(-16.9004, -9.09868)	(-10.0891, 4.06091)	(-1.56912, 6.6388)
tr_R6SSW3_R6SSW3_9LACO	-12.412125890000002	-2.7476714150649983	2.5441533089500012	2.1012283557358535	3.6162258875682167	2.1837551741321612	(-16.2607, -8.76934)	(-10.3654, 2.91894)	(-0.971482, 7.04989)
tr_A0A174B5B8_A0A174B5B8_ANAHA	-10.069423594999993	-4.139992883501996	2.3222652454760007	1.0069695783735104	3.2301526107999616	1.0329293639308235	(-11.9558, -8.31202)	(-10.4342, 1.25007)	(0.524133, 4.31807)
tr_A0A4R5NDR4_A0A4R5NDR4_9LACO	-8.555759954750007	-3.5663111519944963	-1.2731152364634994	2.066584275251009	3.9524449468491167	2.410287448666266	(-11.8006, -4.3236)	(-11.5142, 3.86575)	(-5.89381, 3.4654)
tr_A0A7T4GAT4_A0A7T4GAT4_ENTCA	-12.497356630000008	-2.5151170332219945	2.9177277517099998	2.189159725076187	3.5803887776062155	2.240451645434301	(-16.467, -8.80308)	(-10.3928, 3.28483)	(-0.964472, 7.00936)
tr_A0A173ZSA2_A0A173ZSA2_9FIRM	-8.697911990000007	0.7616430469205501	0.5161006276209997	0.5923759500477209	0.7211867962112929	0.6440163580922261	(-9.80183, -7.60555)	(-0.500252, 2.21776)	(-0.818034, 1.59212)
tr_Q5DWB7_Q5DWB7_CLOPF	-12.29782441500001	-2.848169692045005	3.520530580479999	1.9877378804120678	3.743407247245233	2.017642236314042	(-15.9405, -9.06243)	(-9.84743, 3.87338)	(0.260262, 7.34715)
tr_A0A2N8PS02_A0A2N8PS02_ENTAV	-12.656577569999977	-2.731540517615	3.3382916011650043	2.289232570624596	3.7358328204591533	2.335188594769973	(-16.7865, -8.8514)	(-9.83026, 3.71704)	(-0.598281, 7.56193)
tr_A0A837RN10_A0A837RN10_9LACO	-12.399580469999997	-2.697795934215	3.5913526884000064	2.0566755277965663	3.5421828779917086	2.0788015695129958	(-16.2305, -8.86917)	(-9.20527, 3.65876)	(-0.0064389, 7.55868)
tr_A0A0V8EBT6_A0A0V8EBT6_LACLL	-12.640897289999987	-2.728182611968503	3.0530924259899996	2.2057862167537796	3.676456377195186	2.2602851951646725	(-16.9182, -9.11496)	(-10.2106, 3.45496)	(-0.7671, 7.43799)
tr_E7GNR6_E7GNR6_CLOSY	-9.024009429999994	0.32384081011999993	2.337927866650001	0.7095719024527223	0.9844020931247588	0.7471538340686592	(-10.253, -7.63248)	(-1.51716, 2.14568)	(0.892481, 3.67529)
tr_A0A174NYZ7_A0A174NYZ7_9FIRM	-8.388080965000002	0.7325952063599992	0.3299408269989999	0.5096061143958333	0.6361695166331814	0.5676313800151955	(-9.33779, -7.43483)	(-0.480044, 1.90992)	(-0.718997, 1.39613)
tr_A0A822LPB6_A0A822LPB6_9FIRM	-7.9932337649999985	0.6776648542279501	0.46742295374149945	0.4283844603351934	0.5333082277644107	0.4719660804546095	(-8.78778, -7.18616)	(-0.285327, 1.71925)	(-0.485986, 1.31077)
