CycID	PhaseShift	PhaseShiftHeight	PeakIndex	PeakSPD	Period	p	N	Nindependent	Nyquist	BH.Q
PF18705.4	9.00000059690649	13.7019999999988	1	0.946201247514249	24	0.999370487746339	18	15	0.45	1
PF04246.15	20.9999263197062	0	NA	NA	NA	1	18	15	NA	1
PF04412.16	6.0849261128649	13.047924513181	64	1.76613255358525	20.3827751196172	0.939969380727889	18	15	0.45	1
PF08921.14	9.00000206330684	10.0703333333266	72	1.23055432316666	20	0.994385680784339	18	15	0.45	1
PF20377.1	9.00000099041432	25.630999999994	18	0.707569907472847	22.9032258064516	0.99996222800942	18	15	0.45	1
PF04951.16	9.00000206330542	15.7793333333228	72	1.23055432316666	20	0.994385680784339	18	15	0.45	1
PF03576.17	2.88692361764733	91.9686464201291	72	0.650584980765205	20	0.999984334135576	18	15	0.45	1
PF20124.2	20.9999263197062	0	NA	NA	NA	1	18	15	NA	1
PF03457.17	12.5887300235529	63.5788134746607	1	0.902832630125056	24	0.999589646135799	18	15	0.45	1
PF06314.14	9.00000206330522	7.34266666666179	72	1.23055432316666	20	0.994385680784339	18	15	0.45	1
PF12762.10	14.1816080546209	143.920104566614	72	1.44621731892442	20	0.982175827449779	18	15	0.45	1
PF17668.4	1.00007368029384	225.399810631103	1	1.56072226431882	24	0.97085692316754	18	15	0.45	1
PF14101.9	12.6052811212256	15.8557645024434	1	0.621307662897179	24	0.999990443105073	18	15	0.45	1
PF03630.17	8.99999434847974	15.1039999999555	1	1.56067357505555	24	0.970862580117436	18	15	0.45	1
PF05658.17	9.00000206330687	22.7603333333182	72	1.23055432316666	20	0.994385680784339	18	15	0.45	1
PF11962.11	9.00000206330673	11.3803333333258	72	1.23055432316666	20	0.994385680784339	18	15	0.45	1
PF16169.8	9.00000206330646	5.8106666666628	72	1.23055432316666	20	0.994385680784339	18	15	0.45	1
PF04956.16	20.9999263197062	0	NA	NA	NA	1	18	15	NA	1
PF14249.9	12.9800850290477	136.808172196231	1	0.66274348163969	24	0.999980933256674	18	15	0.45	1
PF13552.9	9.00000022502058	13.8669999999998	1	1.86072691639584	24	0.920834541324265	18	15	0.45	1
PF02667.17	9.00000206330773	12.3036666666585	72	2.44794403974671	20	0.742466483275642	18	15	0.45	1
PF09233.14	9.0000020633063	44.110333333304	72	2.19035916023382	20	0.831305863342925	18	15	0.45	1
PF16112.8	20.9999263197062	0	NA	NA	NA	1	18	15	NA	1
PF03956.16	9.0000020633075	13.0929999999913	72	1.23055432316666	20	0.994385680784339	18	15	0.45	1
PF16554.8	1.00007368029384	84.718908993537	1	2.84806992726773	24	0.591617318291929	18	15	0.45	1
PF09043.14	5.51166727657337	28.6595654743704	1	2.89291906142362	24	0.574772778900701	18	15	0.45	1
PF12544.11	1.00007368029384	54.2749114660166	1	1.46074044570036	24	0.980950999816716	18	15	0.45	1
PF20564.1	9.00000206330745	24.587333333317	72	1.23055432316666	20	0.994385680784339	18	15	0.45	1
PF13517.9	8.99999328703771	4.66866666664727	35	0.830779682048099	21.9023136246787	0.99981269827086	18	15	0.45	1
PF09407.13	5.72141522339207	0	1	1	24	0.998971986706699	18	15	0.45	1
PF14246.9	9.53520186198079	87.9781234224969	1	0.946014250702933	24	0.999371607388551	18	15	0.45	1
PF12965.10	16.8133160837467	15.7946892489835	72	0.832714801272918	20	0.99980846029529	18	15	0.45	1
PF14528.9	9.34153385306226	51.369624264108	1	0.317375476744526	24	0.99999999671027	18	15	0.45	1
PF05728.15	13.255095497852	142.348618243821	1	0.748122807029576	24	0.999933316659018	18	15	0.45	1
PF16011.8	20.9999263197062	0	NA	NA	NA	1	18	15	NA	1
PF04723.17	6.48856588004327	204.483429220705	72	0.385071850850076	20	0.999999962926298	18	15	0.45	1
PF19364.2	9.60280523943842	91.9655093012341	72	0.601618579172069	20	0.999993267584409	18	15	0.45	1
PF20277.1	20.9999263197062	0	NA	NA	NA	1	18	15	NA	1
PF11848.11	5.18668391625347	8.05166948191724	57	1.11408777827738	20.7299270072993	0.997438708954636	18	15	0.45	1
PF18730.4	12.6225742494792	32.967293684406	72	1.83744847691477	20	0.925832946520522	18	15	0.45	1
PF18159.4	9.0000020633066	7.3679999999951	72	1.23055432316666	20	0.994385680784339	18	15	0.45	1
PF06249.15	20.9999263197062	0	NA	NA	NA	1	18	15	NA	1
PF19062.3	12.150100726781	241.749062889212	72	0.278759282538667	20	0.999999999381212	18	15	0.45	1
PF16481.8	20.9999263197062	0	NA	NA	NA	1	18	15	NA	1
PF10140.12	20.9999263197062	0	NA	NA	NA	1	18	15	NA	1
PF01208.20	12.9999998393136	22.8116666666666	1	0.617349478901828	24	0.999991082302935	18	15	0.45	1
PF00931.25	5.18668391625348	2.66665177479862	72	0.776781938670178	20	0.999902879508074	18	15	0.45	1
PF01633.23	5.44900797523693	47.2941537124541	58	0.936485058294842	20.6796116504854	0.999426519720317	18	15	0.45	1
PF04587.18	20.9999263197062	0	NA	NA	NA	1	18	15	NA	1
PF14486.9	9.00000099380198	25.2243333333295	1	0.755521055532223	24	0.999926376522476	18	15	0.45	1
PF19587.2	13.3607353345594	0	1	1	24	0.998971986706699	18	15	0.45	1
PF09962.12	20.9999263197062	0	NA	NA	NA	1	18	15	NA	1
PF19085.3	12.8897146610997	19.2669673194007	1	1.39098530437003	24	0.986320398942699	18	15	0.45	1
PF08901.14	10.5996489043615	63.2609575642214	72	3.02698503674536	20	0.525326176421419	18	15	0.45	1
PF00350.26	20.9999263197062	0	NA	NA	NA	1	18	15	NA	1
PF11392.11	20.9999263197062	0	NA	NA	NA	1	18	15	NA	1
PF16729.8	16.813316083747	14.4047435132307	57	1.11408777827738	20.7299270072993	0.997438708954636	18	15	0.45	1
PF18991.3	12.9999978770868	3.17499999999776	72	1.23055432316666	20	0.994385680784339	18	15	0.45	1
PF04279.18	20.9999263197062	0	NA	NA	NA	1	18	15	NA	1
PF06166.15	12.8099126594776	39.5468338166307	72	0.848770340470891	20	0.999770060133938	18	15	0.45	1
PF19290.2	16.990650727034	80.4981767687925	72	0.80925721492504	20	0.999854728515816	18	15	0.45	1
PF19289.2	16.990650727034	80.4981767687925	72	0.80925721492504	20	0.999854728515816	18	15	0.45	1
PF06089.15	20.9999263197062	0	NA	NA	NA	1	18	15	NA	1
PF16079.8	20.9999263197062	0	NA	NA	NA	1	18	15	NA	1
PF10040.12	5.18668391625299	32.0629820670463	57	1.11408777827738	20.7299270072993	0.997438708954636	18	15	0.45	1
PF03683.16	20.9999263197062	0	NA	NA	NA	1	18	15	NA	1
PF07429.14	20.9999263197062	0	NA	NA	NA	1	18	15	NA	1
PF12832.10	3.94847723553592	195.43307397016	72	1.60436608557234	20	0.965480574760893	18	15	0.45	1
PF05544.14	9.35767929378009	118.006139718926	5	2.77429019120497	23.7325905292479	0.619541392124381	18	15	0.45	1
PF12390.11	9.00000206330751	4.49766666666368	72	1.23055432316666	20	0.994385680784339	18	15	0.45	1
PF03841.16	9.00000206330751	4.49766666666368	72	1.23055432316666	20	0.994385680784339	18	15	0.45	1
PF17289.5	20.9999263197062	0	NA	NA	NA	1	18	15	NA	1
PF10117.12	20.9999263197062	0	NA	NA	NA	1	18	15	NA	1
PF02126.21	5.18668391625315	107.226546169509	72	1.15379852481544	20	0.996602120199726	18	15	0.45	1
PF06560.14	5.44795079346808	43.6793697847882	59	1.49997531092056	20.6295399515739	0.977344287523666	18	15	0.45	1
PF14460.9	20.9999263197062	0	NA	NA	NA	1	18	15	NA	1
PF20383.1	16.8133160837468	51.1810724509716	57	1.11408777827738	20.7299270072993	0.997438708954636	18	15	0.45	1
PF10054.12	5.72141522339207	0	1	1	24	0.998971986706699	18	15	0.45	1
PF09711.13	6.13297265844506	127.288293837912	72	1.39928048608419	20	0.985748007631008	18	15	0.45	1
PF16593.8	9.16457804639148	64.3046347279688	1	0.521353120874144	24	0.999998643450547	18	15	0.45	1
PF16592.8	9.16457804639148	64.3046347279688	1	0.521353120874144	24	0.999998643450547	18	15	0.45	1
PF16595.8	9.16457804639148	64.3046347279688	1	0.521353120874144	24	0.999998643450547	18	15	0.45	1
PF14213.9	8.99998353008511	129.857999996752	1	0.750723833047374	24	0.999930943697627	18	15	0.45	1
PF17128.7	12.9051244607906	25.5132047203848	1	0.226412046791031	24	0.999999999960196	18	15	0.45	1
PF01519.19	5.18668391625311	9.80545395438176	57	1.11408777827738	20.7299270072993	0.997438708954636	18	15	0.45	1
PF09471.13	5.72141522339207	0	1	1	24	0.998971986706699	18	15	0.45	1
PF10920.11	5.72141522339207	0	1	1	24	0.998971986706699	18	15	0.45	1
PF13191.9	1.00006922545042	45.7817444955167	1	1.59321239927028	24	0.966913205100368	18	15	0.45	1
PF00415.21	9.00000206330518	19.0463333333207	72	1.23055432316666	20	0.994385680784339	18	15	0.45	1
PF18273.4	20.9999263197062	0	NA	NA	NA	1	18	15	NA	1
PF00644.23	10.0038070772007	46.160980481826	1	0.298921213525522	24	0.999999998472652	18	15	0.45	1
PF18406.4	9.00000118375423	32.9796666666595	1	0.2601737773208	24	0.999999999748883	18	15	0.45	1
PF18540.4	9.40282494650428	71.3878492545657	72	0.181599984702216	20	0.999999999997986	18	15	0.45	1
PF17032.8	16.086367016204	187.513951819671	63	2.86514018291546	20.431654676259	0.585192021443459	18	15	0.45	1
PF17101.8	9.0000020633072	6.29266666666248	72	1.23055432316666	20	0.994385680784339	18	15	0.45	1
PF11380.11	9.0000020633072	6.29266666666248	72	1.23055432316666	20	0.994385680784339	18	15	0.45	1
PF08878.14	5.1866839162533	47.4173855638516	57	1.7171460878858	20.7299270072993	0.948647673387502	18	15	0.45	1
PF09862.12	8.99998282373274	34.9616666657157	1	0.543259772929542	24	0.999997834713576	18	15	0.45	1
PF20453.1	16.8133160837467	13.7731358186019	57	1.11408777827738	20.7299270072993	0.997438708954636	18	15	0.45	1
PF12952.10	15.2653571105232	124.701041642389	68	2.26753318658654	20.1895734597156	0.806016399299867	18	15	0.45	1
PF04505.15	20.9999263197062	0	NA	NA	NA	1	18	15	NA	1
PF12215.11	9.08732053732297	74.7981918107505	1	0.720529409330081	24	0.999954482876732	18	15	0.45	1
PF04685.16	9.08732053732297	74.7981918107505	1	0.720529409330081	24	0.999954482876732	18	15	0.45	1
