name	ratio	min	max	phase
Clostridium bornimense-W6RZA8	-2.5124012583145	-10.9621	5.03617	light
Bacteroides thetaiotaomicron-A0A174S4C2	-2.3709281749995	-9.45726	3.7179	light
Enterococcus haemoperoxidus ATCC BAA-382-R2SWA0	-2.291259240925	-9.44039	4.36641	light
Acinetobacter nosocomialis-A0A8B4N3Y0	-2.41869365617375	-9.83082	5.01368	light
Porcincola intestinalis-A0A6L5X934	-2.6254352421	-9.48789	3.95093	light
Lactococcus lactis subsp. lactis (Streptococcus lactis)-A0A0H1RKD7	-3.83203534675999	-10.2471	1.37763	light
Blautia faecicola-A0A4Q1RLI5	0.415663361235	-0.419653	1.33112	light
Enterococcus villorum-A0A1V8YGK3	-2.721852326695	-10.3642	3.72481	light
Enterococcus faecium (Streptococcus faecium)-A0A3F3M0H8	-2.56347311552	-9.71679	4.30886	light
Ligilactobacillus salivarius NIAS840-F5VG40	1.7125728303045	-1.97852	5.55662	light
Enterocloster citroniae-A0A3E2V3F1	0.27365736833315	-1.15483	1.6716	light
Lactococcus lactis subsp. lactis bv. diacetylactis-A0A8B3F4H8	-3.83087690466	-10.4128	1.49943	light
Bacteroides intestinalis-A0A3E4IJK0	-4.022802908	-10.2278	1.15431	light
Evtepia gabavorous-A0A3E2B2L3	3.30802894525	-0.710025	8.29016	light
Enterococcus malodoratus ATCC 43197-R2NXG1	-2.58371764656001	-9.27924	4.84001	light
Lactobacillus paragasseri-A0A6B2FWA0	-2.4651924132094	-9.90295	5.0269	light
Ruminococcus bromii-A0A6I3PNS6	0.799388703021501	-0.488425	2.45281	light
Catellicoccus marimammalium M35/04/3-K8ZQD3	1.382278734631	-4.61974	6.63627	light
Clostridium disporicum-A0A174C515	-0.930080438125	-3.53844	1.58545	light
Clostridium frigidicarnis-A0A1I0V685	-2.75381689983	-10.0472	3.75624	light
Bacteroides cellulosilyticus CL02T12C19-I9QGM8	-3.8877503772	-10.4519	1.25058	light
Enterococcus cecorum-A0A921L5Z7	-2.68842217434249	-9.93611	3.29554	light
Lactococcus lactis subsp. lactis (Streptococcus lactis)-A0A0H1RML1	-0.550848129636	-3.18472	2.29999	light
Lactiplantibacillus plantarum (Lactobacillus plantarum)-A0A162F1W8	-2.606334068615	-10.0367	3.77654	light
Enterococcus casseliflavus (Enterococcus flavescens)-A0A4V6L5N8	-2.594148612625	-9.68964	3.89614	light
Subdoligranulum variabile-A0A943UHS8	1.631255790385	-0.431235	3.54743	light
Roseburia intestinalis-A0A6L6XKH0	-2.516276765035	-10.4135	4.01882	light
Blautia hydrogenotrophica (strain DSM 10507 / JCM 14656 / S5a33) (Ruminococcus hydrogenotrophicus)-C0CR88	-3.9019869730485	-10.3351	1.47696	light
Floccifex porci-A0A7X2N2S2	-2.58788728124	-9.70925	3.2745	light
Latilactobacillus graminis-A0A5J6Z6M9	-2.7571622012335	-10.2313	3.6309	light
Clostridium butyricum 60E.3-A0A7U9H2G9	-2.214304521925	-9.52743	4.72254	light
Lactococcus cremoris subsp. cremoris A76-G8P2U7	-1.385956778441	-4.56382	1.40377	light
Enterococcus faecium CRL1879-U2QEN7	-2.5076052659155	-9.95858	4.06105	light
Nocardioides jishulii-A0A4U2YPP9	-3.77629253892	-10.4521	1.17853	light
Roseburia inulinivorans-A0A173ZT04	1.18652257348	-0.213181	2.62547	light
Bacteroides uniformis-A0A412JV09	1.4724697989315	-2.24699	5.26827	light
Alloscardovia macacae-A0A1Y2SXQ6	-2.6129536475635	-10.0553	4.02547	light
Nonomuraea muscovyensis-A0A7X0C4J2	-2.51768656759	-9.19199	4.2299	light
Ruminococcus sp. CAG:724-R5PVL5	-3.8749272249	-9.53772	1.28958	light
Martelella alba-A0A506UJ79	-0.127414343343	-2.84845	2.49511	light
Furfurilactobacillus rossiae-A0A6N9I4L6	-2.70617256814	-9.62735	3.90871	light
Francisella tularensis subsp. holarctica FSC022-A0A8S6P0K6	-2.470502615701	-8.94902	4.67855	light
Paracoccus pantotrophus (Thiosphaera pantotropha)-A0A7H9BUE6	0.356546802025	-0.66028	1.41429	light
Chitinophaga polysaccharea-A0A561PB65	-2.6129536475635	-10.0553	4.02547	light
Candidatus Paralactobacillus gallistercoris-A0A948TJH2	-2.52504655025045	-9.40754	3.76375	light
Lactobacillus intestinalis-A0A4S2BMC4	-3.639852184167	-9.70978	1.54845	light
Acinetobacter baumannii-A0A7Z1WMN2	-2.455065170855	-10.4729	4.92657	light
Flavonifractor plautii ATCC 29863-G9YR35	-0.798095768420001	-2.6921	0.829104	light
Paracandidimonas soli-A0A4R3UWL1	-2.589817109575	-9.7461	3.83578	light
Enterococcus gallinarum-A0A0X8PQC8	-2.594148612625	-9.68964	3.89614	light
Blautia massiliensis-A0A6L8TB81	-0.106124612407	-3.12381	2.53953	light
Stenotrophomonas maltophilia (Pseudomonas maltophilia) (Xanthomonas maltophilia)-A0A1S2BCF7	-2.71301983161	-10.6575	3.63836	light
Treponema bryantii-A0A1H9HBW2	-2.81882850655	-9.66981	3.72053	light
Enterococcus pallens ATCC BAA-351-R2QCK8	-0.819673852486001	-2.79508	1.02956	light
Mycetocola zhujimingii-A0A2U1TD49	-0.173350703685	-3.24394	2.2013	light
Lactococcus lactis-A0A4V0YXH5	-2.49346099474	-9.8991	4.26684	light
Ligilactobacillus ruminis SPM0211-F7R122	-2.675970047445	-10.1698	3.54732	light
Alistipes shahii WAL 8301-D4IIZ6	-2.890891335155	-9.9688	3.78603	light
Polynucleobacter asymbioticus (strain DSM 18221 / CIP 109841 / QLW-P1DMWA-1) (Polynucleobacter necessarius subsp. asymbioticus)-A4SZ76	1.5118005230865	-1.54412	4.63719	light
Salmonella bongori serovar 66:z41:- str. SA19983605-A0A248K966	0.074656031435	-1.50698	1.80409	light
Nonomuraea maritima-A0A1G9CKL0	-2.595251688475	-10.4023	3.49137	light
Roseburia sp. CAG:100-R7R1N8	0.1296414348445	-0.661278	0.918633	light
Planobispora longispora-A0A8J3RNT3	-2.7129829859	-10.3401	4.39781	light
Ruminococcus bromii-A0A2N0UPL9	0.880037287227999	-0.490908	2.08518	light
Holdemania filiformis DSM 12042-B9YEB9	1.3440573653925	-2.6899	5.35392	light
Lactobacillus delbrueckii subsp. delbrueckii-A0A4Y3JTA7	-2.749095377085	-9.74257	3.71414	light
Duncaniella muris-A0A2V1IL33	-3.12034940556	-5.54566	-0.712821	light
Lactobacillus equicursoris 66c-K0NUS4	-2.455065170855	-10.4729	4.92657	light
Nocardia nova-A0A2S5ZZ59	-2.463076219538	-8.97991	3.66719	light
Clostridium paraputrificum-A0A6N3ENL7	-2.214304521925	-9.52743	4.72254	light
Clostridium butyricum-A0A8E1RD44	-2.214304521925	-9.52743	4.72254	light
Francisella tularensis-A0A6I4S137	-2.470502615701	-8.94902	4.67855	light
Lactobacillus amylovorus CAG:719-R5YIN4	-3.60590078798	-9.74102	1.83952	light
