FeatureID	cFT13a	cFT13b	cFT17a	cFT17b	cFT21a	cFT21b	cNA13a	cNA13b	cNA13c	cNA17a	cNA17b	cNA17c	cNA21a	cNA21b	cNA21c
PF13186.9	3	5	5	7	3	0	13	8	1	6	6	3	22	13	7
PF06426.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF17938.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF20131.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF02638.18	1	0	0	0	0	0	6	3	3	2	2	0	0	3	1
PF02368.21	213	455	246	416	111	37	293	238	439	684	139	235	254	282	272
PF01548.20	42	55	54	113	102	21	522	177	113	589	495	306	588	356	215
PF08502.13	2	0	0	8	8	0	24	20	23	15	5	9	24	22	10
PF01702.21	0	0	1	5	0	0	8	8	9	6	3	6	10	13	9
PF17912.4	57	157	83	352	266	64	2768	252	126	775	242	240	2054	92	215
PF03459.20	46	101	56	256	192	45	2285	170	93	608	186	185	1587	60	143
PF09549.13	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
PF13365.9	2	5	4	17	24	1	27	26	12	26	15	20	42	35	22
PF00498.29	0	1	1	1	1	1	10	10	8	2	4	4	7	36	6
PF01755.20	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
PF05420.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF02690.18	4	8	2	20	12	8	62	57	32	60	28	38	70	50	28
PF02558.19	0	0	1	0	0	0	3	4	4	1	1	3	2	2	0
PF08546.14	0	0	1	0	0	0	3	4	3	0	1	3	2	1	0
PF04224.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF03553.17	1	0	4	7	7	2	53	16	4	41	22	22	55	28	9
PF01964.21	2	0	2	2	0	0	0	4	2	0	2	0	3	4	0
PF02113.18	0	0	0	0	0	0	2	1	0	0	2	1	2	4	4
PF13286.9	0	1	2	8	5	1	7	8	11	9	0	7	3	8	12
PF02627.23	0	1	1	0	1	0	2	2	0	5	3	1	3	5	0
PF12682.10	0	0	0	1	0	0	3	6	2	6	10	3	4	11	0
PF01738.21	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0
PF12697.10	0	0	0	3	0	0	5	3	4	6	3	3	3	8	5
PF00754.28	108	251	108	408	70	7	92	59	242	299	42	85	99	84	117
PF00404.21	0	0	0	3	0	0	2	3	1	1	2	0	1	2	2
PF11655.11	0	0	0	0	0	0	2	0	4	0	1	4	0	0	0
PF12843.10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF02838.18	36	78	31	101	22	3	27	20	67	100	23	29	47	27	39
PF00728.25	14	35	14	43	14	2	11	11	28	50	11	16	26	15	20
PF16347.8	0	0	0	2	0	0	2	0	0	0	3	0	0	1	1
PF13098.9	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
PF16576.8	1	0	3	1	1	0	6	22	7	5	19	5	9	31	23
PF03797.22	0	1	0	0	0	0	0	1	3	0	0	0	0	0	0
PF07244.18	0	12	0	4	0	0	20	28	28	4	8	0	0	37	4
PF01103.26	0	1	0	0	0	0	3	4	8	0	2	1	0	12	0
PF02321.21	2	2	2	4	0	0	11	42	44	2	29	11	8	62	14
PF05221.20	4	1	8	13	3	1	29	34	5	31	4	13	26	21	27
PF00670.24	3	1	7	12	3	1	15	18	3	16	2	7	13	14	15
PF00144.27	1	0	1	2	0	0	25	17	11	14	24	25	18	36	10
PF02910.23	1	4	3	8	4	0	40	45	69	6	9	9	9	32	13
PF01325.22	0	0	1	3	2	1	13	3	1	5	2	3	5	5	2
PF02742.18	0	0	1	3	2	1	13	3	1	5	2	3	5	5	2
PF04966.15	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
PF04023.17	1	0	0	4	0	0	27	7	7	6	4	8	14	14	6
PF14376.9	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0
PF03150.17	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
PF00034.24	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
PF07498.15	1	2	4	3	2	0	6	9	10	3	2	5	2	5	3
PF07497.15	3	6	7	8	7	0	11	20	19	26	9	8	11	18	9
PF07719.20	1	5	3	11	3	3	12	3	17	9	8	3	4	9	5
PF00263.24	0	0	0	0	0	0	2	1	6	0	0	0	0	1	0
PF11104.11	4	1	5	6	3	3	10	8	3	8	8	6	10	9	13
PF01634.21	0	1	1	0	0	1	3	9	8	6	4	3	4	5	3
PF08029.14	0	0	0	0	0	0	0	2	1	0	1	0	0	0	0
PF00920.24	6	4	6	8	10	3	29	33	28	56	14	22	30	21	27
PF14498.9	1	2	0	2	0	0	20	21	30	24	4	3	12	22	8
PF11013.11	0	0	0	1	0	0	5	5	8	0	1	0	1	3	0
PF01740.24	0	1	0	1	1	0	15	7	4	8	6	3	2	8	1
PF00432.24	0	0	0	0	0	0	0	0	2	0	0	0	0	3	0
PF01531.19	2	0	0	3	1	0	5	0	1	0	3	0	9	3	2
PF01762.24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF03814.18	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
PF03781.19	0	1	2	2	1	0	1	5	5	0	4	2	2	2	1
PF01212.24	2	3	1	18	4	1	21	6	12	24	10	7	25	15	16
PF01882.21	0	1	0	1	1	1	14	10	10	1	3	2	5	19	5
PF07991.15	7	12	22	24	30	4	151	50	55	98	63	42	167	22	49
PF01450.22	7	12	22	24	30	4	153	50	55	101	63	42	170	22	49
PF16499.8	0	0	0	1	1	0	11	1	9	5	0	1	2	10	0
PF17801.4	1	0	0	1	1	0	4	0	4	3	4	2	1	3	1
PF01050.21	2	5	2	9	6	1	2	3	1	4	0	1	6	8	0
PF06733.18	0	0	0	1	2	0	7	7	1	5	6	6	11	15	8
PF13307.9	1	2	3	2	3	3	8	9	1	5	10	9	11	20	8
PF01891.19	0	0	0	1	0	0	4	3	1	2	1	4	13	17	1
PF13190.9	0	0	0	0	0	0	3	3	1	2	1	4	13	17	1
PF07589.14	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
PF17297.5	0	2	3	2	6	0	29	5	8	31	15	11	6	2	5
PF00821.21	0	2	3	2	6	0	29	5	8	31	15	11	6	2	5
PF01510.28	2	1	1	1	2	1	13	24	13	29	39	22	7	53	18
PF12838.10	72	161	93	385	240	91	1794	549	411	1102	454	258	1559	467	429
PF12971.10	1	4	4	7	2	1	1	1	2	12	2	2	4	1	3
PF05089.15	1	4	4	7	2	1	1	1	2	12	2	2	4	1	3
PF12972.10	1	4	4	7	2	1	1	1	2	12	2	2	4	1	3
PF07085.15	2	3	0	2	4	2	5	4	4	19	11	5	6	2	2
PF16385.8	1	1	0	4	0	0	0	0	2	1	3	1	0	0	1
PF01256.20	1	1	0	6	0	0	10	9	6	17	3	6	5	13	6
PF02590.20	0	0	1	0	1	1	7	6	0	1	1	3	8	2	3
PF02472.19	1	8	2	21	5	0	31	69	107	8	31	8	13	22	10
PF20511.1	3	2	2	6	5	1	4	12	9	18	4	10	4	11	6
PF12437.11	1	3	4	7	2	2	524	48	29	432	123	97	20	125	84
PF18318.4	1	3	4	7	2	2	516	50	31	434	121	96	20	125	81
PF14849.9	1	0	2	0	0	0	9	4	2	0	5	0	3	6	6
PF03629.21	0	0	0	0	0	0	23	29	39	7	3	5	1	18	2
PF01204.21	1	1	0	0	0	0	0	3	1	6	0	1	0	5	0
PF02073.18	3	3	4	7	7	0	8	13	8	15	6	8	14	12	6
PF12951.10	0	0	0	0	0	0	3	14	19	0	0	0	0	10	0
PF18582.4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
PF01042.24	1	0	0	6	1	0	15	8	11	12	1	3	14	4	8
PF09374.13	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
PF00924.21	2	0	2	4	3	1	16	9	9	7	1	3	13	24	8
PF00209.21	2	10	4	10	16	2	28	28	8	6	22	12	44	24	8
PF00109.29	5	7	2	15	5	0	37	70	56	6	17	12	23	30	16
PF02801.25	5	7	2	15	5	0	37	70	56	6	17	12	23	31	16
PF04551.17	2	2	4	3	1	0	5	7	8	4	4	2	2	10	3
PF01757.25	1	2	0	2	4	2	25	14	7	8	2	13	22	32	3
PF12715.10	0	0	0	0	0	0	0	0	0	0	0	1	0	5	0
PF02492.22	2	4	1	4	6	0	31	17	16	14	12	11	25	32	16
PF00708.21	0	1	0	0	0	0	3	0	0	6	1	2	1	0	0
PF07503.15	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
PF01300.21	1	4	4	5	2	0	11	6	11	5	5	3	12	8	8
PF17788.4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
PF13593.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF00069.28	2	9	5	18	7	1	19	19	18	24	13	12	13	47	22
PF03983.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF08305.14	9	30	13	32	8	1	12	10	44	46	6	11	10	25	28
PF03692.18	1	0	0	0	0	0	1	3	0	2	6	2	4	3	1
PF08238.15	0	32	0	35	20	6	271	219	109	349	266	325	299	648	177
PF04519.16	6	2	2	11	7	0	34	16	18	12	7	6	13	19	18
PF02594.19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF01120.20	2	0	1	2	4	0	5	13	7	13	7	2	2	18	3
PF13899.9	0	2	2	7	1	0	4	5	9	1	2	2	1	4	2
PF05656.17	0	0	0	0	0	0	1	0	0	1	0	1	1	0	0
PF02535.25	0	0	0	0	0	1	12	1	0	2	6	4	11	8	4
PF03435.21	1	3	0	2	2	0	6	5	3	6	1	3	7	13	4
PF16653.8	1	3	0	2	2	0	6	5	3	6	1	3	1	13	4
PF03755.16	4	1	4	10	4	4	12	14	12	6	6	1	9	7	6
PF08340.14	4	1	4	10	4	4	12	14	12	7	6	1	9	7	6
PF07549.17	8	5	11	22	12	1	127	62	111	15	24	26	43	47	40
PF02355.19	14	8	16	38	22	2	161	68	118	19	39	36	69	58	49
PF13202.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF03641.17	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0
PF17291.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF13402.9	9	14	9	25	18	2	15	25	19	20	4	14	14	39	33
PF05977.16	0	0	0	1	0	0	3	0	1	3	0	0	2	4	1
PF19528.2	3	0	2	3	5	0	11	1	4	0	1	1	4	4	2
PF19580.2	1	0	1	0	0	0	8	3	5	0	2	0	0	1	3
PF03030.19	0	2	1	5	3	2	22	7	20	12	8	7	12	14	1
PF04715.16	0	0	0	0	0	0	2	7	0	4	1	0	1	4	1
PF00425.21	1	0	0	2	0	0	2	7	0	5	1	0	2	5	1
PF00697.25	0	0	0	0	0	0	2	3	0	2	0	0	0	2	1
PF13088.9	10	13	9	17	1	0	10	4	12	20	1	8	7	12	5
PF00507.22	0	0	1	1	0	1	6	2	4	0	2	0	1	0	1
PF06044.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF17726.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF01835.22	3	1	1	2	0	2	1	12	12	1	4	3	6	12	2
PF07703.17	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0
PF00207.25	3	1	1	2	0	2	2	12	12	1	7	3	6	12	2
PF07678.17	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
PF17973.4	3	1	1	2	0	2	1	12	12	1	4	2	6	11	2
PF00285.24	2	6	2	11	8	3	48	13	6	23	9	9	24	17	3
PF13482.9	0	0	0	2	1	0	16	2	5	4	1	0	4	4	8
PF05157.18	0	0	0	0	0	0	11	7	3	8	3	12	11	14	6
PF03023.17	0	0	0	1	0	1	1	1	1	0	0	0	2	1	1
PF00081.25	0	0	0	0	0	0	3	3	0	1	1	2	0	10	1
PF02777.21	0	0	0	0	0	0	3	3	0	1	1	2	0	10	1
PF11958.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF00662.23	0	2	2	1	0	0	52	10	30	6	2	1	10	6	2
PF00499.23	0	0	0	0	1	0	9	4	11	0	0	1	1	0	1
PF01512.20	13	26	20	49	37	15	70	33	24	106	30	26	56	24	35
PF10531.12	27	18	11	54	37	10	99	73	73	70	43	45	89	62	39
PF10589.12	2	16	4	25	15	3	30	14	8	54	22	4	18	9	14
PF01522.24	0	2	9	7	4	4	27	25	12	24	13	22	29	29	17
PF02470.23	0	1	1	2	0	0	3	0	1	1	0	0	2	6	0
PF07399.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF06325.16	1	1	0	2	3	0	3	5	4	3	4	4	9	6	3
PF02446.20	3	5	2	9	5	1	45	24	25	32	13	10	29	25	14
PF00919.23	14	14	16	17	15	2	30	34	12	38	17	19	12	36	19
PF18693.4	12	8	14	11	10	2	16	13	4	18	7	5	4	6	12
PF04408.26	0	0	1	1	0	2	0	0	0	0	0	0	0	1	0
PF08482.13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF04028.16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF18565.4	13	26	11	24	9	0	31	30	72	92	19	28	43	68	35
PF16193.8	2	1	2	1	1	1	16	10	8	7	4	13	18	23	7
PF12002.11	2	1	2	1	1	1	16	10	8	7	4	13	18	23	7
PF02283.19	0	1	0	0	1	0	0	4	0	0	4	2	0	6	0
PF01301.22	0	1	0	4	1	1	2	11	22	3	10	5	0	19	4
PF13505.9	1	1	0	3	0	0	21	10	13	0	0	0	3	11	0
PF18765.4	0	0	0	0	0	0	3	1	1	4	2	0	3	5	1
PF16870.8	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
PF01663.25	0	0	1	0	1	0	2	4	2	2	0	1	1	6	1
PF09382.13	0	1	0	11	0	0	6	12	20	9	8	6	11	27	6
PF00570.26	0	1	0	11	0	0	6	12	20	9	8	8	11	27	6
PF01643.20	1	3	1	2	0	0	3	2	4	1	4	0	4	5	1
PF07786.15	0	1	0	1	0	0	2	0	1	1	0	2	3	3	0
PF04235.15	0	0	0	0	0	0	1	3	0	0	0	0	1	0	0
PF01704.21	2	0	3	5	3	0	7	7	4	13	0	1	3	13	8
PF08241.15	0	4	2	1	1	1	31	13	4	11	24	7	21	36	2
PF04991.16	1	2	3	9	3	1	99	30	26	27	3	12	30	22	10
PF04379.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF02698.20	0	2	2	3	1	0	5	2	0	10	6	4	8	12	4
PF07726.14	1	1	2	1	0	0	14	7	6	5	3	1	5	21	2
PF17863.4	2	1	2	1	0	0	14	7	6	5	3	1	5	21	2
PF12541.11	0	1	0	1	0	0	2	1	1	11	10	11	2	3	1
PF04015.15	4	4	5	9	11	1	14	13	4	13	5	7	10	16	3
PF17785.4	0	0	0	1	1	1	4	2	1	1	2	3	0	16	1
PF10672.12	0	1	0	7	2	1	13	7	4	7	6	7	6	21	3
PF02678.19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF17954.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF13502.9	0	0	0	0	0	0	0	1	1	1	4	0	0	2	2
PF13667.9	1	0	1	2	0	0	0	4	1	0	2	0	2	4	0
PF07732.18	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
PF00394.25	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
PF07731.17	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1
PF06940.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF02844.18	5	1	5	12	8	4	14	24	12	34	9	10	14	20	19
PF01071.22	5	1	5	12	8	4	14	24	12	34	9	10	14	20	19
PF02843.19	5	1	5	12	8	4	14	24	12	34	9	10	14	20	19
PF01618.19	11	15	9	40	11	9	94	53	88	27	23	17	56	29	18
PF08323.14	8	12	8	39	19	5	131	38	24	172	30	42	115	34	34
PF10996.11	8	6	7	17	10	6	25	9	11	40	9	7	18	20	14
PF14057.9	37	80	33	168	137	23	334	135	87	227	164	110	292	54	115
PF02086.18	0	1	0	0	0	0	18	8	4	1	16	8	10	12	0
PF02537.18	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
PF03331.16	0	0	2	3	1	1	5	2	12	2	1	0	2	4	4
PF20154.2	0	1	0	1	2	0	13	4	3	4	4	2	5	9	2
PF01578.23	0	0	1	0	0	0	1	2	4	0	0	0	0	5	0
PF05140.17	0	0	0	0	0	0	1	2	4	0	0	1	0	4	0
PF09375.13	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
PF13437.9	1	1	4	13	2	2	6	20	14	17	16	14	8	32	18
PF10722.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF00701.25	12	2	12	46	24	3	32	11	10	20	15	6	13	23	11
PF07221.14	3	1	0	2	1	1	12	6	6	6	7	3	5	13	6
PF12900.10	2	1	0	0	1	1	1	2	0	8	6	3	4	6	4
PF03013.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF07691.15	0	0	0	0	1	0	13	15	35	0	0	1	0	16	2
PF02607.20	4	4	1	3	3	1	15	16	9	3	1	11	7	19	7
PF02310.22	9	11	3	20	9	3	64	44	61	15	29	26	37	46	16
PF02965.20	0	0	0	0	1	0	4	5	4	0	0	0	0	9	0
PF01326.22	166	293	277	819	552	162	2415	788	557	1770	1049	729	2739	465	769
PF01642.25	6	11	5	28	5	1	68	32	85	10	36	10	31	30	9
PF13669.9	0	1	0	4	3	0	2	2	9	2	7	5	7	17	4
PF02082.23	0	3	1	0	0	0	7	4	2	14	0	4	11	6	8
PF01039.25	17	28	16	67	42	11	165	69	88	58	39	32	98	56	57
PF14864.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
PF02075.20	0	0	0	0	0	0	0	2	3	0	2	0	0	4	0
PF04909.17	1	1	0	1	2	0	1	2	1	1	3	3	4	9	1
PF00303.22	2	3	2	8	2	2	6	2	4	16	2	2	3	2	2
PF10609.12	1	0	3	6	2	0	14	9	6	16	8	1	21	8	4
PF04845.16	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0
PF03977.16	4	8	7	22	23	4	175	35	41	49	16	20	83	24	26
PF02684.18	0	1	0	0	0	0	1	3	0	0	0	0	1	1	1
PF02550.18	4	5	3	18	9	1	13	11	24	14	13	6	20	21	11
PF13336.9	4	5	3	18	11	1	14	12	24	15	13	6	20	21	12
PF01619.21	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
PF00199.22	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
PF06628.15	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
PF18011.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF19567.2	0	0	0	3	0	0	0	2	0	2	2	2	3	4	2
PF02397.19	5	2	6	5	3	5	37	13	20	17	6	10	24	36	14
PF04932.18	1	1	0	2	1	0	11	11	6	4	7	9	23	19	3
PF19805.2	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
PF00933.24	11	17	26	23	12	1	71	88	102	84	35	51	103	113	76
PF01058.25	0	0	0	1	0	0	0	3	5	0	0	1	6	1	1
PF14720.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF01155.22	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
PF02636.20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF13385.9	34	68	20	38	2	0	57	60	61	99	13	30	61	91	82
PF13004.10	0	0	0	1	0	0	4	13	19	0	5	0	0	7	2
PF08534.13	0	1	0	2	0	1	8	6	1	11	1	4	1	9	1
PF13246.9	0	0	0	1	0	0	4	8	7	0	3	0	0	2	3
PF07669.14	1	4	0	4	3	0	16	5	1	5	15	2	10	19	4
PF12950.10	0	0	0	0	0	0	3	2	1	0	0	0	1	2	0
PF00520.34	0	0	1	0	0	0	2	0	0	0	0	0	0	5	1
PF02548.18	0	0	0	0	0	0	2	3	0	1	0	0	2	3	0
PF13905.9	0	0	0	0	0	0	2	3	8	0	0	0	0	5	0
PF07698.14	0	0	0	0	0	0	5	5	1	1	2	0	1	7	1
PF01202.25	0	3	0	2	2	2	3	2	3	4	6	2	3	4	2
PF16355.8	10	24	10	18	6	0	28	28	66	87	20	31	40	71	34
PF06415.16	11	6	13	31	21	4	64	40	46	84	45	39	42	24	42
PF03061.25	0	0	2	0	0	0	3	2	4	10	3	11	32	13	3
PF00158.29	0	1	1	2	0	1	1	14	11	2	12	4	2	20	5
PF02954.22	0	2	0	2	1	1	1	13	11	0	7	1	2	17	3
PF02609.19	0	0	0	0	0	0	1	0	3	2	0	1	1	1	3
PF03739.17	0	1	1	3	1	0	10	5	2	0	1	0	4	15	0
PF01553.24	1	2	2	4	0	0	28	6	9	12	8	2	13	16	5
PF11412.11	0	1	0	0	0	0	1	5	6	0	0	0	0	4	1
PF09180.14	10	7	8	20	10	3	17	20	16	17	13	11	13	34	11
PF01061.27	1	0	0	5	1	0	14	5	3	7	16	6	23	14	8
PF07335.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF00494.22	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
PF07494.14	11	0	1	3	0	0	36	62	41	7	35	5	17	87	7
PF14537.9	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0
PF13287.9	1	2	4	11	11	0	128	23	25	128	43	41	15	12	18
PF12679.10	2	1	0	0	1	0	15	9	1	8	6	12	20	42	7
PF13500.9	0	3	0	1	2	1	1	0	0	1	3	1	4	1	0
PF01235.20	10	23	9	31	12	4	192	8	7	26	10	6	32	19	11
PF13379.9	0	0	0	2	0	1	1	2	0	1	2	1	1	3	1
PF00023.33	0	0	0	0	0	0	0	0	0	5	7	1	0	0	0
PF03950.21	10	9	8	17	19	3	36	24	26	13	22	22	45	23	18
PF17764.4	3	3	2	6	5	2	5	13	6	10	7	6	6	14	7
PF18319.4	3	3	2	7	5	2	5	13	6	10	7	6	6	13	7
PF18074.4	3	3	2	6	5	2	4	11	5	8	7	4	5	7	6
PF06258.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF00768.23	4	4	6	10	5	3	32	26	13	32	14	24	31	58	26
PF01678.22	0	4	6	14	2	2	28	6	24	42	14	4	18	28	12
PF08281.15	9	24	5	23	10	4	52	50	26	50	96	32	51	94	29
PF13673.10	5	1	1	8	6	1	29	12	5	15	26	13	26	37	12
PF04127.18	4	8	3	14	5	1	5	4	4	2	4	2	1	7	2
PF13376.9	1	3	0	4	3	1	3	5	0	4	7	6	4	7	1
PF01041.20	6	3	10	16	1	4	43	35	42	23	31	17	45	46	14
PF16401.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF05691.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF00456.24	5	8	4	23	5	1	63	52	65	48	11	16	27	25	20
PF05343.17	0	1	1	5	5	2	3	2	2	8	0	1	2	2	0
PF10150.12	3	4	4	9	6	0	17	18	20	5	5	6	4	9	10
PF07555.16	24	43	19	65	9	1	16	11	43	53	12	13	24	14	22
PF06725.14	1	3	7	4	1	0	2	0	1	2	1	1	4	1	1
PF00218.24	0	0	0	0	0	0	0	1	0	4	0	1	0	1	1
PF02021.20	0	0	0	1	1	0	0	2	0	0	3	1	0	2	1
PF03819.20	4	0	3	3	2	1	7	11	2	0	19	1	2	6	0
PF01612.23	1	0	0	3	1	0	1	6	5	2	5	2	2	13	7
PF02606.17	0	1	0	0	0	0	3	3	4	0	1	0	1	4	0
PF16654.8	2	0	4	6	2	1	10	15	15	6	5	4	5	7	9
PF00585.21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF02517.19	1	1	0	5	5	1	70	21	11	24	19	13	61	38	18
PF19576.2	0	0	1	0	0	0	0	2	3	0	2	1	1	2	0
PF13444.9	0	1	0	0	0	0	1	1	1	0	2	0	1	4	1
PF14238.9	0	0	0	0	0	0	0	0	1	0	7	2	3	4	1
PF01613.21	1	6	4	11	6	3	30	4	3	36	11	6	14	11	5
PF00217.22	0	0	0	0	0	0	1	0	0	1	1	0	1	0	0
PF02012.23	0	0	0	0	0	0	0	0	0	3	72	42	3	15	3
PF00667.23	1	1	1	0	2	1	0	1	5	0	0	0	0	0	2
PF00175.24	13	8	18	27	23	13	54	21	29	28	12	7	43	27	21
PF13477.9	2	0	3	6	1	0	5	1	1	1	0	2	9	4	2
PF10555.12	2	1	0	3	1	1	10	3	3	5	1	4	9	8	1
PF00953.24	3	1	0	5	1	1	28	11	14	13	5	7	16	15	4
PF03033.23	1	2	1	7	1	2	17	9	8	11	5	3	12	9	6
PF04101.19	1	4	3	8	6	3	19	13	11	18	5	5	14	24	12
PF08478.13	0	0	0	0	0	0	0	2	1	4	0	0	5	2	2
PF17815.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF13529.9	0	2	3	0	1	0	87	12	9	62	7	10	26	18	5
PF04616.17	0	3	7	7	0	1	123	158	174	46	6	30	54	149	57
PF01128.22	2	0	2	2	4	0	12	4	8	3	4	2	9	7	2
PF12127.11	0	0	0	0	0	1	0	2	0	2	0	0	1	8	0
PF05690.17	0	0	0	1	0	0	1	3	2	0	1	0	0	7	0
PF05593.17	0	97	167	241	108	0	111	311	261	282	40	332	136	1180	426
PF15523.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF06574.15	0	0	3	1	1	1	5	10	8	3	0	2	7	8	5
PF01687.20	0	0	3	1	1	1	5	10	8	4	0	2	7	8	5
PF01075.20	1	0	0	2	0	0	3	5	3	1	0	1	0	3	1
PF00852.22	0	0	0	0	0	0	2	2	1	0	0	1	1	0	1
PF02577.17	0	0	0	1	0	0	1	2	3	0	0	0	1	2	0
PF01078.24	1	0	0	3	1	0	4	3	3	0	3	0	2	9	1
PF13335.9	0	0	0	3	1	0	4	2	3	0	3	0	2	9	1
PF02660.18	1	0	1	2	2	1	8	5	3	12	1	2	4	8	0
PF01855.22	66	133	75	346	231	80	1533	528	394	1055	465	264	1516	472	413
PF17147.7	59	131	71	327	220	75	1507	505	363	1040	442	251	1490	444	392
PF01558.21	63	131	72	331	224	76	1504	508	377	1032	455	251	1457	446	404
PF10371.12	58	129	70	317	219	75	1487	487	343	864	409	226	1442	419	386
PF13484.9	2	1	4	5	15	1	31	6	10	38	15	9	35	10	10
PF08308.14	2	2	2	2	8	0	2	12	8	6	3	4	14	20	5
PF07717.19	0	0	1	1	0	2	0	0	0	0	0	0	0	1	0
PF11898.11	0	0	1	1	0	2	0	0	0	0	0	0	0	1	0
PF06144.16	0	0	1	3	2	0	6	7	2	8	5	2	6	13	4
PF16353.8	31	49	21	51	12	3	71	33	81	81	45	35	93	53	65
PF00916.23	0	0	0	1	1	0	14	7	4	8	6	2	2	6	1
PF03772.19	0	0	1	1	1	0	8	7	1	3	1	3	5	12	1
PF06826.15	2	6	6	6	4	4	66	32	12	74	6	6	64	26	12
PF08019.15	0	0	0	0	0	0	0	1	1	0	0	0	0	3	0
PF03808.16	3	0	10	3	16	0	3	2	1	0	0	1	3	0	2
PF17930.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF06230.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF00376.26	1	0	0	2	0	0	1	0	0	1	1	2	1	6	0
PF04298.15	0	2	1	3	2	1	12	1	2	4	0	1	7	2	3
PF11396.11	0	0	0	2	0	0	5	4	4	1	1	1	1	21	2
PF02602.18	2	4	3	2	1	2	6	4	7	10	4	4	7	10	2
PF13342.9	0	0	0	0	0	5	2	4	5	12	26	20	0	18	0
PF01923.21	0	1	0	1	5	1	4	2	1	10	2	0	23	2	6
PF12392.11	4	2	3	1	1	1	10	12	8	9	5	3	6	20	8
PF12419.11	1	0	1	2	0	0	1	2	2	2	0	1	3	4	1
PF03330.21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
