FeatureID	cFA01a	cFA01b	cFA05a	cFA05b	cFA09a	cFA09b	cFA13a	cFA13b	cFA17a	cFA17b	cFA21a	cFA21b	cNA01a	cNA01b	cNA01c	cNA05a	cNA05b	cNA05c	cNA09a	cNA09b	cNA09c	cNA13a	cNA13b	cNA13c	cNA17a	cNA17b	cNA17c	cNA21a	cNA21b	cNA21c
PF00266.22	5	40	2	13	11	31	7	12	6	24	14	27	59	38	38	48	45	74	73	68	32	77	35	50	89	33	28	80	44	40
PF08866.13	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF05256.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF05979.15	0	0	0	1	0	1	0	1	0	1	0	1	2	0	3	1	3	1	1	1	1	1	2	0	1	0	0	0	0	0
PF04296.16	0	1	0	0	0	2	1	2	0	1	0	1	0	4	3	1	1	3	0	4	3	0	1	1	2	0	2	1	3	1
PF01248.29	0	0	0	1	0	0	0	0	0	2	0	1	1	2	6	0	3	3	3	3	3	1	4	0	3	1	0	3	1	4
PF01509.21	0	7	0	0	2	5	2	2	1	5	1	1	4	8	3	2	8	42	5	7	7	2	8	4	6	1	3	8	9	5
PF16198.8	0	7	0	0	2	5	2	2	1	4	1	1	4	8	3	2	8	41	5	7	7	2	8	4	4	1	2	8	9	5
PF03444.18	0	0	0	0	1	0	0	1	0	0	0	2	0	2	0	5	5	6	9	2	5	1	0	1	0	3	10	2	1	0
PF04452.17	0	1	0	1	1	0	0	2	1	2	3	3	2	6	5	1	1	4	3	6	5	4	2	3	6	0	1	6	12	2
PF14698.9	0	6	1	1	1	5	4	1	5	4	0	1	13	9	11	6	5	19	17	17	10	14	10	6	15	8	6	21	12	8
PF08279.15	7	18	1	12	4	36	11	9	10	8	7	5	23	57	38	53	84	111	61	71	74	32	24	9	27	42	21	52	38	16
PF02237.20	4	2	0	2	1	3	3	1	3	2	3	0	2	7	4	2	4	7	2	8	2	2	5	3	3	2	2	7	5	5
PF11151.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
PF16124.8	9	6	1	3	12	5	2	6	1	7	12	8	5	15	33	15	28	45	9	31	28	7	15	23	10	10	9	12	30	6
PF00186.22	0	4	1	1	0	3	1	1	0	2	2	5	2	4	4	1	3	5	6	7	2	3	2	2	10	2	2	2	5	6
PF01351.21	0	1	1	0	1	0	1	0	0	3	1	0	4	6	12	2	7	10	2	9	7	2	4	6	6	1	1	1	11	3
PF17961.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0
PF10425.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0
PF00926.22	1	0	0	0	2	5	0	0	1	0	1	2	0	1	4	8	11	5	1	7	3	2	3	3	1	1	0	1	5	2
PF00925.23	1	0	0	0	2	5	0	0	1	0	1	2	0	1	4	8	11	5	1	7	3	2	3	3	1	1	0	1	5	2
PF09586.13	0	7	1	0	4	4	10	4	0	0	1	5	11	9	10	21	23	35	39	25	13	20	20	8	8	7	11	18	22	8
PF07638.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	2	3	0	0	0	0	2	0	0	0	0
PF19295.2	1	2	0	2	0	1	0	1	2	5	1	8	6	6	11	4	20	21	1	3	11	1	7	6	44	3	5	2	6	4
PF01458.20	1	6	1	4	0	3	1	3	4	11	2	11	10	11	21	8	25	28	10	11	21	3	13	9	69	7	14	8	15	10
PF00196.22	2	6	1	2	3	6	3	4	1	1	0	3	13	20	22	23	30	60	24	29	25	19	9	4	9	14	5	26	31	3
PF01145.28	25	77	22	44	27	73	19	40	27	50	24	30	38	29	49	57	43	57	88	50	55	51	37	42	123	42	44	48	36	50
PF16875.8	10	24	0	12	10	15	7	8	5	11	4	12	53	24	19	22	23	57	115	41	27	40	30	18	32	20	21	73	26	29
PF02065.21	10	24	1	13	10	15	7	8	5	12	4	12	53	36	26	22	30	87	115	52	35	43	35	21	36	22	24	78	38	32
PF16874.8	10	24	0	12	10	15	7	8	5	11	4	12	53	24	19	22	23	57	115	41	27	40	30	18	32	20	21	73	26	29
PF13596.9	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0
PF02424.18	1	1	1	0	1	0	1	0	1	1	1	1	4	10	3	6	14	11	12	9	15	8	6	3	8	0	3	3	9	3
PF03787.18	0	0	0	0	1	2	0	0	0	1	0	0	13	2	3	0	1	1	1	0	1	3	0	0	7	1	0	0	2	0
PF01590.29	0	2	0	2	2	3	3	1	0	1	2	1	9	22	18	6	14	25	12	23	11	6	7	4	6	12	11	8	9	6
PF02224.21	0	2	1	0	2	1	0	3	3	0	2	4	2	10	8	6	2	8	5	6	8	2	4	1	4	1	2	2	7	1
PF00691.23	9	18	3	17	12	27	9	12	3	6	8	11	26	23	25	16	23	67	37	35	20	195	79	118	34	18	17	23	46	32
PF04016.15	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
