FeatureID	cFA01a	cFA01b	cFA05a	cFA05b	cFA09a	cFA09b	cFT01a	cFT01b	cFT05a	cFT05b	cFT09a	cFT09b
PF01264.24	0	1	0	3	1	6	2	0	1	0	2	1
PF06335.15	0	0	0	0	1	0	0	0	0	0	0	0
PF04657.16	0	0	2	0	2	0	0	0	0	0	2	0
PF01761.23	3	2	3	0	2	5	2	1	2	1	0	1
PF09335.14	0	0	1	1	0	0	0	0	0	1	1	0
PF00497.23	3	5	4	10	5	5	8	3	7	4	9	12
PF02874.26	140	196	24	235	123	343	128	118	133	174	77	194
PF00006.28	148	211	26	246	136	357	134	123	143	183	80	205
PF00306.30	51	77	6	59	40	112	25	29	36	40	25	72
PF00213.21	4	33	3	15	7	24	2	8	10	9	2	12
PF00119.23	8	22	3	5	11	20	4	3	7	12	1	5
PF01694.25	0	3	1	1	0	4	2	2	0	0	1	2
PF01592.19	1	3	0	1	4	3	1	1	3	1	3	2
PF13527.10	1	4	1	2	1	7	1	0	4	0	1	4
PF17668.4	0	0	0	0	1	0	0	0	3	0	1	1
PF04997.15	28	105	9	82	66	139	21	38	49	56	23	69
PF00623.23	41	191	12	123	115	230	32	58	69	81	32	110
PF04983.21	27	106	9	80	67	138	22	38	50	56	24	69
PF05000.20	27	106	9	80	67	138	22	38	50	56	24	69
PF04998.20	27	107	9	86	68	139	22	41	52	57	24	72
PF19200.3	0	0	0	1	0	3	0	1	3	2	1	7
PF05913.14	0	0	0	1	0	3	0	1	3	2	1	7
PF04563.18	30	92	8	53	78	123	23	23	46	33	35	66
PF04561.17	56	170	16	100	152	227	43	46	74	60	52	123
PF04565.19	30	92	8	53	78	123	23	24	46	33	35	67
PF10385.12	30	92	8	53	78	123	23	24	46	33	35	67
PF00562.31	31	93	8	56	78	124	24	25	47	36	35	69
PF04560.23	31	93	8	56	78	124	18	25	46	36	35	68
PF05649.16	5	4	2	3	8	0	1	2	6	1	3	6
PF01431.24	5	4	2	3	8	0	1	2	6	1	3	6
PF01943.20	0	9	2	0	1	8	1	4	0	2	0	7
PF14667.9	1	7	2	2	1	5	1	3	0	3	0	7
