#FeatureID	cFA01a	cFA01b	cFA05a	cFA05b	cFA09a	cFA09b	cFA13a	cFA13b	cFA17a	cFA17b	cFA21a	cFA21b	cFT01a	cFT01b	cFT05a	cFT05b	cFT09a	cFT09b	cFT13a	cFT13b	cFT17a	cFT17b	cFT21a	cFT21b	cNA01a	cNA01b	cNA01c	cNA05a	cNA05b	cNA05c	cNA09a	cNA09b	cNA09c	cNA13a	cNA13b	cNA13c	cNA17a	cNA17b	cNA17c	cNA21a	cNA21b	cNA21c	Name
PF00327.23	14.692	299.159	0.0	135.013	92.077	268.036	54.585	51.815	58.919	37.946	55.48	57.215	159.024	79.2	50.432	183.065	36.36	115.479	59.175	61.646	21.402	143.074	87.329	37.54	466.88	259.853	249.159	181.7	101.264	252.436	258.658	252.019	116.319	224.193	184.006	206.146	324.373	325.279	231.615	651.077	75.111	236.593	Ribosomal protein L30p/L7e
PF05532.15	14.939	0.0	0.0	0.0	45.63	21.22	0.0	125.196	41.523	37.943	38.884	98.149	17.505	0.0	0.0	23.898	54.537	50.357	0.0	0.0	0.0	0.0	0.0	0.0	34.593	0.0	0.0	440.611	0.0	0.0	210.229	50.152	0.0	177.944	0.0	0.0	26.607	0.0	0.0	0.0	0.0	0.0	CsbD-like
PF00344.23	19.562	135.65	6.265	100.489	64.111	148.203	55.668	84.799	72.683	43.264	67.343	88.364	23.581	49.161	57.625	50.569	14.938	86.155	27.795	28.09	72.279	156.104	94.321	15.565	668.569	139.137	180.222	107.954	90.912	187.182	1960.989	137.675	136.678	1025.584	169.906	328.608	372.353	91.986	116.832	718.345	158.556	194.137	SecY
PF00444.21	0.0	0.0	0.0	30.964	0.0	92.135	26.515	55.756	31.354	75.088	115.941	59.784	27.638	82.744	26.838	102.874	0.0	50.788	0.0	0.0	0.0	31.968	56.25	0.0	50.066	25.116	160.374	31.462	103.449	91.662	161.302	37.87	79.05	163.839	0.0	24.56	28.718	15.575	17.223	44.1	41.72	33.611	Ribosomal protein L36
PF00416.25	43.722	138.305	22.76	162.465	208.773	350.838	184.955	154.215	116.235	231.001	144.142	213.993	85.829	107.552	199.053	289.119	79.953	325.279	78.486	131.033	129.457	403.854	147.171	83.236	725.375	384.032	596.125	231.725	180.506	232.895	563.887	242.299	206.17	381.888	447.972	448.982	764.093	503.1	399.71	613.345	369.816	372.919	Ribosomal protein S13/S18
PF00572.21	18.804	109.728	18.068	122.489	94.314	195.584	79.345	96.002	66.654	47.541	53.307	54.97	29.275	75.521	49.775	137.321	75.822	149.562	25.343	51.305	119.711	239.302	111.613	39.705	846.958	162.611	247.397	134.38	122.624	283.752	425.768	134.804	177.207	574.021	369.332	231.848	273.898	294.117	202.864	1128.187	220.041	164.027	Ribosomal protein L13
PF00380.22	6.789	119.885	0.0	62.609	76.319	221.24	47.133	40.253	27.147	94.566	16.853	26.421	24.051	27.177	46.366	129.758	41.859	58.976	18.231	47.44	30.316	160.865	137.479	8.411	717.332	165.255	89.519	136.481	46.048	101.797	754.174	130.544	64.903	886.202	241.819	198.46	191.548	96.655	124.767	660.766	145.528	144.876	Ribosomal protein S9/S16
PF01965.27	4.55	33.051	21.56	11.62	18.429	57.18	0.0	10.319	6.048	28.515	17.877	24.081	11.276	6.53	0.0	13.548	5.959	16.222	19.654	40.547	35.482	40.336	45.433	0.0	110.549	70.17	98.812	62.449	78.328	470.006	166.217	158.849	158.998	153.916	34.179	63.179	104.724	47.432	6.007	173.068	130.643	54.724	DJ-1/PfpI family
PF13671.9	10.93	7.601	0.0	0.0	5.262	7.118	0.0	6.461	7.267	13.56	0.0	6.614	0.0	0.0	0.0	0.0	9.414	13.856	0.0	0.0	0.0	22.999	0.0	6.925	66.618	47.19	59.742	8.827	20.203	99.937	64.773	12.334	51.492	148.747	11.595	20.54	30.89	35.061	26.649	34.564	87.867	15.756	AAA domain
PF00749.24	17.104	91.204	7.997	41.985	25.579	128.287	35.164	40.294	28.938	40.492	21.262	33.183	17.608	15.513	25.266	24.853	8.001	34.867	31.203	37.711	32.33	55.241	64.238	8.377	203.114	123.702	183.409	83.085	104.502	334.541	288.407	196.684	174.797	250.9	134.658	121.49	112.1	70.341	84.614	216.086	135.713	80.01	tRNA synthetases class I (E and Q), catalytic domain
