FeatureID	rab.all	rab.win.FT	rab.win.NA	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH
PF14502.9	-1.85594713589178	-1.19099935473427	-2.26475080226033	0.90453425637496	4.36070553359847	-0.176968777157734	0.409060629727881	0.533380318027648	0.892814857641866	0.551903296703297	0.912500313121828
PF14503.9	-1.92740609506234	-1.26713571658529	-2.35196172955035	0.993638742642264	4.37895663771446	-0.184001681917302	0.399067292366211	0.546496012806169	0.90001639330582	0.556842757242757	0.913263241312097
PF10797.12	-1.7418351255692	-1.28869319729403	-2.00378053271624	0.885848038012304	4.1367149414738	-0.18376300879017	0.402398404819022	0.551511649824259	0.901662645844332	0.564514685314685	0.912377117880431
PF10941.11	-2.23297985145721	-0.635744668636235	-3.03421246238993	2.24394566811509	4.21330798671803	-0.471887187094593	0.266000011097222	0.295078988801421	0.705431143982668	0.272608991008991	0.703491679758315
PF10110.12	-0.782060688235461	-1.19581978181763	-0.600465923532574	-0.488218356465464	3.70254336234276	0.11422580411132	0.431712194445903	0.647195440359313	0.953888392260801	0.614895504495504	0.891676813222774
PF04304.16	-1.64990457853827	-1.19318280204492	-1.9120610725342	0.838024144492084	4.08172043893346	-0.175922777370043	0.406000003609039	0.585999792392526	0.911519172996503	0.593751048951049	0.916640526555025
PF03899.18	-1.95445147847565	-1.18801473102916	-2.41702200921759	1.17914739102826	4.30364090583292	-0.227987539232487	0.378000004804562	0.511214005945344	0.86553978279278	0.524392807192807	0.887723632471422
PF04282.16	-1.92288805018228	-1.15678936563916	-2.37472659525593	1.29422923738401	4.09877781967744	-0.272022524807962	0.364666672075246	0.467610862503901	0.855782227375322	0.478967432567433	0.868107198080014
PF18143.4	-1.07974152627447	-0.723559657881781	-1.27599427500825	0.613571357463245	4.0049321778039	-0.124650704393021	0.430000002644423	0.604555656639336	0.925938291951696	0.63524035964036	0.934885320801384
PF10882.11	-0.423929328882983	-0.630712593543656	-0.290622117367482	-0.290384709421625	4.08817892118859	0.0575831998029897	0.462666668057134	0.718140255708214	0.983070354647527	0.678923876123876	0.950544088598127
PF11074.11	-1.88086744185468	-1.19119695471392	-2.30926978864811	1.12691680063387	4.16314853899214	-0.2191197723888	0.40133333713572	0.533368812257214	0.889194909157927	0.526011188811189	0.893403076748903
