FeatureID	cFA01a	cFA01b	cFA05a	cFA05b	cFA09a	cFA09b	cFA13a	cFA13b	cFA17a	cFA17b	cFA21a	cFA21b
PF01321.21	1.1240886347391	0.330910085345427	0.265034652358596	0.548184257419659	0.168544683857294	0.391807104887161	0.807470440131306	0.71568848123347	0.634185239822974	0.392629842068044	0.239563221001736	0.469576857550155
PF03960.18	0.277388610912557	0.180011622474676	0	0	0	0.0870317616676872	0.214042132772413	2.26627651792246	1.5424026155257	2.53761687750452	0.738662729381987	2.53928931539237
PF17757.4	0.367595901834644	0.0722644454826176	0.364185110663984	0.149642586485878	0.217396679618509	0.291481412457957	0.109124517959015	0.206656912948061	0.47155217096607	0.229492417694665	0.236366881378482	0.235666353742916
PF02559.19	0.352108649035025	2.01239730632058	0.139280125195618	0.608176474202732	0.360985517484988	1.04088460548619	0.241896930872932	0.204124697540937	0.125154499421873	0.059970927948456	0.180260574692129	0.214891693612879
PF00270.32	0.769406719085061	0.503891250099703	2.82562038900067	0.571984515494746	0.664288237371953	0.560066735887401	0.7728591006151	1.05947892634067	0.716877317491328	0.645772766559283	0.939512923271624	1.19307395431313
PF03461.18	0.114796283059328	0.01238591173756	0.139280125195618	0.0408414067140487	0.0717237725185447	0.0269073418350594	0.0588010326034994	0.0267289404085308	0.125154499421873	0.059970927948456	0.0796813395421284	0.089113730398804
PF05833.14	0	0.119232916671414	0.556338028169014	0.123343506134404	0	0.0357640460406627	0.057048156292826	0.153424117944967	0.0822136278457797	0.0771980828160603	0	0
PF05670.16	0	0.119232916671414	0.556338028169014	0.123343506134404	0	0.0357640460406627	0.057048156292826	0.153424117944967	0.0822136278457797	0.0771980828160603	0	0
PF02653.19	3.56578508458423	5.40554460409521	0.483903420523139	3.30616717530672	0.678753090780643	4.12269818872412	1.29346336488511	2.21886781835575	1.49419879590128	1.72033865011393	0.289130822773514	1.81161990195056
PF00224.24	0.681391470097689	0.506831052517633	0.462329532752068	0.324908342379616	0.356676086188626	0.489381716851699	0.2760302132135	0.900849698947724	1.50448546708664	0.727037007935884	0.722745931562637	1.44216126003964
PF02887.19	0.681391470097689	0.506831052517633	0	0.324908342379616	0.260173083716001	0.380953648731397	0.2760302132135	0.813235045861235	1.50448546708664	0.727037007935884	0.669040935862282	0.850648447550502
PF01210.26	0.126328329759352	0.0812889552306833	0.469371786273195	0	0.146079123984458	0.121109661617103	0.0972049590464353	0.357211186764954	0.286152864718313	0.200832874990178	0.163581198383983	0.236205277980599
PF07479.17	0.126328329759352	0.0812889552306833	0.469371786273195	0	0.146079123984458	0.121109661617103	0.0972049590464353	0.357211186764954	0.286152864718313	0.200832874990178	0.163581198383983	0.236205277980599
PF20618.1	0.126328329759352	0.0812889552306833	0.469371786273195	0	0.146079123984458	0.121109661617103	0.0972049590464353	0.357211186764954	0.286152864718313	0.200832874990178	0.163581198383983	0.236205277980599
PF00483.26	13.4282582797236	16.323127585146	5.56181533646322	13.505397046474	3.22209466619569	11.1506083437608	5.88462886827931	11.4675595070621	9.20816554363861	9.28747937455803	4.62550906170396	6.72182817009144
PF00348.20	0.444126757207529	0.358849602898782	1.44455622624637	1.11078794830305	0.39261744966443	0.143979127286281	0.642572585014501	0.206741320128299	1.27849766755712	0.391883397501375	0.582431489624065	0.587601265602726
PF01180.24	0.282916368834882	0.182085436583448	0.483903420523139	0	0.107523843164959	0.204529520868276	0.217516014915384	0.392268302290248	0.581874725888123	0.292075901626463	0.0597407233138092	0.4578248322381
PF13421.9	0.0940671908506076	0.12923736055879	0	0.162751162362002	0	0.166529112643433	0.30117602065207	0.321366270890777	0.11131932538575	0.0523886226133417	0	0
PF00849.25	1.31231832261139	0.709210241451214	0	0.645064826004137	0.442882373719534	0.34550908300276	0.312521910953883	0.497580327499859	0.567202264662494	0.346998507110867	0.519575552058151	0.63236674663607
PF00690.29	0.193995711222302	0.0311527899636513	0.687234518220434	0.217561395244045	0.262380784175203	0.0936698525953338	0.370111865379099	0.337094142141691	0.427933495474662	0.229688850475367	0.18361916505768	0.197593964048538
PF00689.24	0.193995711222302	0.0311527899636513	0.687234518220434	0.217561395244045	0.262380784175203	0.0936698525953338	0.370111865379099	0.337094142141691	0.427933495474662	0.229688850475367	0.18361916505768	0.197593964048538
PF06736.14	0	0	0	0	0.0898622394913458	0	0	0	0	0	0	0
PF05382.16	0	0	0	0	0	0	0	0	0	0	0	0
PF05263.14	0	0	0	0	0	0	0.233738088408707	0	0	0	0	0
PF14657.9	0.664903502501787	0.0701906313738449	1.34372904091214	0.32822645064826	0.13127870010597	0.109306638978373	0.0892692099308411	0.307129593157391	0.388620868386428	0.284415023179068	0	0.108741003442161
PF14659.9	1.16873957588754	0.323982178872164	1.73831880169908	0.631669500030723	0.589561992228894	0.416078734148008	0.348886126780763	0.668786224748185	0.830230054623021	0.541250883947513	0.301234728148881	0.337627342581969
PF06146.15	0	0	0	0	0	0	0	0	0	0	0	0.138920760752408
PF00392.24	1.11937097927091	1.84372329394606	0	1.35460745959896	0.907223595902508	1.61620652627282	1.58233738088409	2.50680884587249	2.51022686495754	1.76636285063251	0.583437444226307	1.71603908069956
PF02080.24	0.820967357636407	0.681088410569615	1.76905879722781	0.469901480859431	1.0083009537266	0.592103511621096	0.363419064920164	0.678549321928985	0.34404529324987	0.38186532568555	0.742118670192916	0.506067243837141
PF00367.23	0.596473671670241	0.847996262576771	0.244466800804829	0.916617168137968	0.333592370187213	0.480649254989661	0.456385250342608	0.95703674525913	0.958095769706152	1.83405358686258	0.391300115198027	0.692674107298077
PF00358.23	0.338241601143674	0.331673522407448	0.244466800804829	0.175900702537738	0.332903567643942	0.545122156847084	0.0525862893202027	0.499746778459288	0.643275786451896	0.73632827846311	0.498126003926468	0.63980737804666
PF01047.25	0	0	0.436619718309859	0	0.045566937477923	0.0539389260136844	0.662427893042675	0.107197118901581	0	0.152137188654043	0.123164538477764	0.263203643823233
PF00881.27	0.85642125327615	0.697154772621096	6.03789403085178	0	0.848039561992229	0.709681140899692	0.148516429231603	1.15460581846829	1.05577927514852	0.607291584819675	0.983823600992975	1.07400646709085
PF00106.28	0.446795329997617	0.775389979603696	0.638609434384082	0.442701185916474	0.0478099611444719	0.809776097547989	0.568983650444593	0.868859377637724	0.528009250029903	0.409326628427752	0.0741810393782552	0.1573484927506
PF13292.9	0	0.176502090905983	0.251061927118265	0.19202015443541	0.204362416107383	0.0989590266499827	0.337858941262708	0.0949580777671487	0.226864957537578	0.373222283334643	0	0.0943986648586628
PF02779.27	1.62520848224923	0.809721858228598	1.920523138833	1.0794502590992	0.928558813140233	0.686163840153351	0.904324823915607	1.87789094592313	1.72552928511622	1.12015793195568	0.540554573037172	1.01265602725914
PF02780.23	1.62520848224923	0.809721858228598	1.920523138833	1.0794502590992	0.915383256799717	0.686163840153351	0.829588552124167	1.87789094592313	1.72552928511622	1.06837825096252	0.521490110817257	1.01265602725914
PF01554.21	1.88086728615678	1.40018915007805	3.55857366420747	1.47836060872949	1.30734722712822	1.2325372948892	1.77786276572011	1.9474424624388	0.843666520473665	1.68191639820853	0.560154462706667	1.39863008935712
PF01261.27	1.18189182749583	0.560248857693053	3.53621730382294	1.26839809106364	1.09438361003179	0.71346165792533	1.33964368805176	1.18054695852794	0.316374945177624	0.777166653571148	0.372625054759626	0.608880080664789
PF01479.28	4.82115796997856	4.53159148140974	8.36183769282361	7.02332916862954	2.79261744966443	5.16093820718298	4.98126015871498	4.35093691970064	4.2388660739205	4.85976663785653	2.89306053575195	3.44840235040506
PF02861.23	1.34152966404575	0.828044347717095	3.24815560026828	0.287651311881695	0.530589897562699	0.622596132513334	0.630653026101922	1.23217601710652	0.685778079023962	0.517168225033394	0.889296318530657	1.20725983102117
PF00004.32	1.53171312842507	1.72749854719067	5.90666219539459	1.3054707822133	0.879371246909219	1.41046120532822	1.87570513433407	4.72567666422824	2.89545871376739	2.02203975799481	1.67287005338049	2.22655679566079
