sample_name	organ	diet	schedule	genotype	condition	zt	replicate	condition_zt	timepoint	phase	cond_phase	fasted	cond_fasted
iCA2a	ileum	NCD	ad_lib	CDKO	CA	5	a	CA_05	2	light	CA_light	fasted	CA_fasted
iCA2b	ileum	NCD	ad_lib	CDKO	CA	5	b	CA_05	2	light	CA_light	fasted	CA_fasted
iCA3a	ileum	NCD	ad_lib	CDKO	CA	9	a	CA_09	3	light	CA_light	fasted	CA_fasted
iCA3b	ileum	NCD	ad_lib	CDKO	CA	9	b	CA_09	3	light	CA_light	fasted	CA_fasted
iCA4a	ileum	NCD	ad_lib	CDKO	CA	13	a	CA_13	4	dark	CA_dark	fasted	CA_fasted
iCA4b	ileum	NCD	ad_lib	CDKO	CA	13	b	CA_13	4	dark	CA_dark	fasted	CA_fasted
iCA5a	ileum	NCD	ad_lib	CDKO	CA	17	a	CA_17	5	dark	CA_dark	fed	CA_fed
iCA5b	ileum	NCD	ad_lib	CDKO	CA	17	b	CA_17	5	dark	CA_dark	fed	CA_fed
iCA6a	ileum	NCD	ad_lib	CDKO	CA	21	a	CA_21	6	dark	CA_dark	fed	CA_fed
iCA6b	ileum	NCD	ad_lib	CDKO	CA	21	b	CA_21	6	dark	CA_dark	fed	CA_fed
iFA1a	ileum	HFD	ad_lib	C57Bl6	FA	13	a	FA_13	1	dark	FA_dark	fasted	FA_fasted
iFA1b	ileum	HFD	ad_lib	C57Bl6	FA	13	b	FA_13	1	dark	FA_dark	fasted	FA_fasted
iFA1c	ileum	HFD	ad_lib	C57Bl6	FA	13	c	FA_13	1	dark	FA_dark	fasted	FA_fasted
iFA2a	ileum	HFD	ad_lib	C57Bl6	FA	17	a	FA_17	2	dark	FA_dark	fed	FA_fed
iFA2b	ileum	HFD	ad_lib	C57Bl6	FA	17	b	FA_17	2	dark	FA_dark	fed	FA_fed
iFA2c	ileum	HFD	ad_lib	C57Bl6	FA	17	c	FA_17	2	dark	FA_dark	fed	FA_fed
iFA3a	ileum	HFD	ad_lib	C57Bl6	FA	21	a	FA_21	3	dark	FA_dark	fed	FA_fed
iFA3b	ileum	HFD	ad_lib	C57Bl6	FA	21	b	FA_21	3	dark	FA_dark	fed	FA_fed
iFA3c	ileum	HFD	ad_lib	C57Bl6	FA	21	c	FA_21	3	dark	FA_dark	fed	FA_fed
iFA4a	ileum	HFD	ad_lib	C57Bl6	FA	1	a	FA_01	4	light	FA_light	fed	FA_fed
iFA4b	ileum	HFD	ad_lib	C57Bl6	FA	1	b	FA_01	4	light	FA_light	fed	FA_fed
iFA4c	ileum	HFD	ad_lib	C57Bl6	FA	1	c	FA_01	4	light	FA_light	fed	FA_fed
iFA5a	ileum	HFD	ad_lib	C57Bl6	FA	5	a	FA_05	5	light	FA_light	fasted	FA_fasted
iFA5b	ileum	HFD	ad_lib	C57Bl6	FA	5	b	FA_05	5	light	FA_light	fasted	FA_fasted
iFA5c	ileum	HFD	ad_lib	C57Bl6	FA	5	c	FA_05	5	light	FA_light	fasted	FA_fasted
iFA6a	ileum	HFD	ad_lib	C57Bl6	FA	9	a	FA_09	6	light	FA_light	fasted	FA_fasted
iFA6b	ileum	HFD	ad_lib	C57Bl6	FA	9	b	FA_09	6	light	FA_light	fasted	FA_fasted
iFA6c	ileum	HFD	ad_lib	C57Bl6	FA	9	c	FA_09	6	light	FA_light	fasted	FA_fasted
iFT1a	ileum	HFD	TRF	C57Bl6	FT	13	a	FT_13	1	dark	FT_dark	fasted	FT_fasted
iFT1b	ileum	HFD	TRF	C57Bl6	FT	13	b	FT_13	1	dark	FT_dark	fasted	FT_fasted
iFT1c	ileum	HFD	TRF	C57Bl6	FT	13	c	FT_13	1	dark	FT_dark	fasted	FT_fasted
iFT2a	ileum	HFD	TRF	C57Bl6	FT	17	a	FT_17	2	dark	FT_dark	fed	FT_fed
iFT2b	ileum	HFD	TRF	C57Bl6	FT	17	b	FT_17	2	dark	FT_dark	fed	FT_fed
iFT2c	ileum	HFD	TRF	C57Bl6	FT	17	c	FT_17	2	dark	FT_dark	fed	FT_fed
iFT3a	ileum	HFD	TRF	C57Bl6	FT	21	a	FT_21	3	dark	FT_dark	fed	FT_fed
iFT3b	ileum	HFD	TRF	C57Bl6	FT	21	b	FT_21	3	dark	FT_dark	fed	FT_fed
iFT3c	ileum	HFD	TRF	C57Bl6	FT	21	c	FT_21	3	dark	FT_dark	fed	FT_fed
iFT4a	ileum	HFD	TRF	C57Bl6	FT	1	a	FT_01	4	light	FT_light	fed	FT_fed
iFT4b	ileum	HFD	TRF	C57Bl6	FT	1	b	FT_01	4	light	FT_light	fed	FT_fed
iFT4c	ileum	HFD	TRF	C57Bl6	FT	1	c	FT_01	4	light	FT_light	fed	FT_fed
iFT5a	ileum	HFD	TRF	C57Bl6	FT	5	a	FT_05	5	light	FT_light	fasted	FT_fasted
iFT5b	ileum	HFD	TRF	C57Bl6	FT	5	b	FT_05	5	light	FT_light	fasted	FT_fasted
iFT5c	ileum	HFD	TRF	C57Bl6	FT	5	c	FT_05	5	light	FT_light	fasted	FT_fasted
iFT6a	ileum	HFD	TRF	C57Bl6	FT	9	a	FT_09	6	light	FT_light	fasted	FT_fasted
iFT6b	ileum	HFD	TRF	C57Bl6	FT	9	b	FT_09	6	light	FT_light	fasted	FT_fasted
iFT6c	ileum	HFD	TRF	C57Bl6	FT	9	c	FT_09	6	light	FT_light	fasted	FT_fasted
iNA1a	ileum	NCD	ad_lib	C57Bl6	NA	13	a	NA_13	1	dark	NA_dark	fasted	NA_fasted
iNA1b	ileum	NCD	ad_lib	C57Bl6	NA	13	b	NA_13	1	dark	NA_dark	fasted	NA_fasted
iNA1c	ileum	NCD	ad_lib	C57Bl6	NA	13	c	NA_13	1	dark	NA_dark	fasted	NA_fasted
iNA2a	ileum	NCD	ad_lib	C57Bl6	NA	17	a	NA_17	2	dark	NA_dark	fed	NA_fed
iNA2b	ileum	NCD	ad_lib	C57Bl6	NA	17	b	NA_17	2	dark	NA_dark	fed	NA_fed
iNA2c	ileum	NCD	ad_lib	C57Bl6	NA	17	c	NA_17	2	dark	NA_dark	fed	NA_fed
iNA3a	ileum	NCD	ad_lib	C57Bl6	NA	21	a	NA_21	3	dark	NA_dark	fed	NA_fed
iNA3b	ileum	NCD	ad_lib	C57Bl6	NA	21	b	NA_21	3	dark	NA_dark	fed	NA_fed
iNA3c	ileum	NCD	ad_lib	C57Bl6	NA	21	c	NA_21	3	dark	NA_dark	fed	NA_fed
iNA4a	ileum	NCD	ad_lib	C57Bl6	NA	1	a	NA_01	4	light	NA_light	fed	NA_fed
iNA4b	ileum	NCD	ad_lib	C57Bl6	NA	1	b	NA_01	4	light	NA_light	fed	NA_fed
iNA4c	ileum	NCD	ad_lib	C57Bl6	NA	1	c	NA_01	4	light	NA_light	fed	NA_fed
iNA5a	ileum	NCD	ad_lib	C57Bl6	NA	5	a	NA_05	5	light	NA_light	fasted	NA_fasted
iNA5b	ileum	NCD	ad_lib	C57Bl6	NA	5	b	NA_05	5	light	NA_light	fasted	NA_fasted
iNA5c	ileum	NCD	ad_lib	C57Bl6	NA	5	c	NA_05	5	light	NA_light	fasted	NA_fasted
iNA6a	ileum	NCD	ad_lib	C57Bl6	NA	9	a	NA_09	6	light	NA_light	fasted	NA_fasted
iNA6b	ileum	NCD	ad_lib	C57Bl6	NA	9	b	NA_09	6	light	NA_light	fasted	NA_fasted
iNA6c	ileum	NCD	ad_lib	C57Bl6	NA	9	c	NA_09	6	light	NA_light	fasted	NA_fasted
iNT1a	ileum	NCD	TRF	C57Bl6	NT	13	a	NT_13	1	dark	NT_dark	fasted	NT_fasted
iNT1b	ileum	NCD	TRF	C57Bl6	NT	13	b	NT_13	1	dark	NT_dark	fasted	NT_fasted
iNT1c	ileum	NCD	TRF	C57Bl6	NT	13	c	NT_13	1	dark	NT_dark	fasted	NT_fasted
iNT2a	ileum	NCD	TRF	C57Bl6	NT	17	a	NT_17	2	dark	NT_dark	fed	NT_fed
iNT2b	ileum	NCD	TRF	C57Bl6	NT	17	b	NT_17	2	dark	NT_dark	fed	NT_fed
iNT2c	ileum	NCD	TRF	C57Bl6	NT	17	c	NT_17	2	dark	NT_dark	fed	NT_fed
iNT3a	ileum	NCD	TRF	C57Bl6	NT	21	a	NT_21	3	dark	NT_dark	fed	NT_fed
iNT3b	ileum	NCD	TRF	C57Bl6	NT	21	b	NT_21	3	dark	NT_dark	fed	NT_fed
iNT3c	ileum	NCD	TRF	C57Bl6	NT	21	c	NT_21	3	dark	NT_dark	fed	NT_fed
iNT4a	ileum	NCD	TRF	C57Bl6	NT	1	a	NT_01	4	light	NT_light	fed	NT_fed
iNT4b	ileum	NCD	TRF	C57Bl6	NT	1	b	NT_01	4	light	NT_light	fed	NT_fed
iNT4c	ileum	NCD	TRF	C57Bl6	NT	1	c	NT_01	4	light	NT_light	fed	NT_fed
iNT5a	ileum	NCD	TRF	C57Bl6	NT	5	a	NT_05	5	light	NT_light	fasted	NT_fasted
iNT5b	ileum	NCD	TRF	C57Bl6	NT	5	b	NT_05	5	light	NT_light	fasted	NT_fasted
iNT5c	ileum	NCD	TRF	C57Bl6	NT	5	c	NT_05	5	light	NT_light	fasted	NT_fasted
iNT6a	ileum	NCD	TRF	C57Bl6	NT	9	a	NT_09	6	light	NT_light	fasted	NT_fasted
iNT6b	ileum	NCD	TRF	C57Bl6	NT	9	b	NT_09	6	light	NT_light	fasted	NT_fasted
iNT6c	ileum	NCD	TRF	C57Bl6	NT	9	c	NT_09	6	light	NT_light	fasted	NT_fasted
