FeatureID	Name	GO_Term	comparison	datatype	diffexpr	rab.all	rab.win.A	rab.win.B	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH
PF01419.20	Jacalin-like lectin domain	NA	FTvNA	metaT	none	-3.82059591000183	-3.13539148097262	-4.24842394127004	0.988704310569217	4.21137231229021	-0.209690624376423	0.39233333437872	0.397896721298979	0.549607280425345	0.385738765042002	0.534097631074754
PF01419.20	Jacalin-like lectin domain	NA	FTvNA	metaG	none	-3.82059591000183	-3.13539148097262	-4.24842394127004	0.988704310569217	4.21137231229021	-0.209690624376423	0.39233333437872	0.397896721298979	0.549607280425345	0.385738765042002	0.534097631074754
PF00903.28	Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily	NA	FAvNA	metaT	none	0.556867040049533	0.941475668994983	0.251324635284774	0.565450233385381	2.78439985809428	-0.14808680361658	0.401199601084644	0.445120482246718	0.564356051676469	0.420548525182175	0.534116558866317
PF00903.28	Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily	NA	FAvNA	metaG	none	0.556867040049533	0.941475668994983	0.251324635284774	0.565450233385381	2.78439985809428	-0.14808680361658	0.401199601084644	0.445120482246718	0.564356051676469	0.420548525182175	0.534116558866317
PF07549.17	SecD/SecF GG Motif	NA	FAvNA	metaT	none	3.41143486166006	3.61020319743053	3.09468545667998	0.484778048037781	2.094911811819	-0.172612410334618	0.398666667645128	0.123942945847783	0.243548667577683	0.399557484091962	0.534122775926959
PF07549.17	SecD/SecF GG Motif	NA	FAvNA	metaG	none	3.41143486166006	3.61020319743053	3.09468545667998	0.484778048037781	2.094911811819	-0.172612410334618	0.398666667645128	0.123942945847783	0.243548667577683	0.399557484091962	0.534122775926959
PF02867.18	Ribonucleotide reductase, barrel domain	DNA replication	FAvFT	metaT	none	4.67489554638121	5.30099251275052	4.53198829668086	-0.663046108188129	1.07342501987845	-0.581287779951411	0.312562481191572	0.0677131767996625	0.441403202445427	0.141221083399035	0.534128137922865
PF04259.17	Small, acid-soluble spore protein, gamma-type	sporulation resulting in formation of a cellular spore	FTvNA	metaT	none	-3.8893153258962	-3.24253462197591	-4.24144834693825	1.06738190435253	4.38496720754298	-0.209315269604331	0.39333333436808	0.392085766337329	0.550908424193702	0.379767348136227	0.534189200418224
PF04259.17	Small, acid-soluble spore protein, gamma-type	sporulation resulting in formation of a cellular spore	FTvNA	metaG	none	-3.8893153258962	-3.24253462197591	-4.24144834693825	1.06738190435253	4.38496720754298	-0.209315269604331	0.39333333436808	0.392085766337329	0.550908424193702	0.379767348136227	0.534189200418224
PF13622.9	Thioesterase-like superfamily	NA	FAvNA	metaT	none	-2.36387839297418	-2.81415977918142	-2.02862565102477	-0.951732740531786	4.47792220669787	0.182469594269925	0.40633333423216	0.439023098863051	0.551687930431162	0.432354192111579	0.534207246438011
PF13622.9	Thioesterase-like superfamily	NA	FAvNA	metaG	none	-2.36387839297418	-2.81415977918142	-2.02862565102477	-0.951732740531786	4.47792220669787	0.182469594269925	0.40633333423216	0.439023098863051	0.551687930431162	0.432354192111579	0.534207246438011
PF06406.14	StbA protein	NA	FAvNA	metaT	none	-2.38302217099318	-2.89440361748666	-2.02496079706693	-0.859391898590414	4.38167680688902	0.163472685111563	0.411333334180977	0.449870126510533	0.562723109132476	0.431538865269505	0.534251639085713
PF06406.14	StbA protein	NA	FAvNA	metaG	none	-2.38302217099318	-2.89440361748666	-2.02496079706693	-0.859391898590414	4.38167680688902	0.163472685111563	0.411333334180977	0.449870126510533	0.562723109132476	0.431538865269505	0.534251639085713
PF08284.14	Retroviral aspartyl protease	NA	FTvNA	metaT	none	-2.84742596423641	-3.49010710814582	-2.38636141926627	-1.02611756084919	4.15714539020176	0.219493219186372	0.380873043487856	0.412046510204014	0.57274461646001	0.378628650371171	0.534269408835399
PF08284.14	Retroviral aspartyl protease	NA	FTvNA	metaG	none	-2.84742596423641	-3.49010710814582	-2.38636141926627	-1.02611756084919	4.15714539020176	0.219493219186372	0.380873043487856	0.412046510204014	0.57274461646001	0.378628650371171	0.534269408835399
PF01521.23	Iron-sulphur cluster biosynthesis	NA	FTvNA	metaT	none	0.702320735710698	1.20814413044126	0.543205837230264	0.870959317367415	3.42403152720118	-0.198524817504572	0.391202933412625	0.430819428042757	0.619110464743585	0.329195621899866	0.534493233636448
PF01521.23	Iron-sulphur cluster biosynthesis	NA	FTvNA	metaG	none	0.702320735710698	1.20814413044126	0.543205837230264	0.870959317367415	3.42403152720118	-0.198524817504572	0.391202933412625	0.430819428042757	0.619110464743585	0.329195621899866	0.534493233636448
PF00201.21	UDP-glucoronosyl and UDP-glucosyl transferase	NA	FAvNA	metaT	none	-2.49166049806965	-2.88645326235464	-2.12953604766972	-0.766793413817792	4.37783751796722	0.156405679402261	0.416333334130341	0.442407631724439	0.559903817524746	0.425756066905818	0.534498335986445
PF00201.21	UDP-glucoronosyl and UDP-glucosyl transferase	NA	FAvNA	metaG	none	-2.49166049806965	-2.88645326235464	-2.12953604766972	-0.766793413817792	4.37783751796722	0.156405679402261	0.416333334130341	0.442407631724439	0.559903817524746	0.425756066905818	0.534498335986445
PF06798.15	PrkA serine protein kinase C-terminal domain	NA	FAvNA	metaT	none	-2.44438596141568	-2.94303715414897	-2.07032779030797	-0.794386954538009	4.35319132215763	0.155100906478381	0.421000000750209	0.454080699598444	0.569062138891644	0.42865517788243	0.534542878438538
PF06798.15	PrkA serine protein kinase C-terminal domain	NA	FAvNA	metaG	none	-2.44438596141568	-2.94303715414897	-2.07032779030797	-0.794386954538009	4.35319132215763	0.155100906478381	0.421000000750209	0.454080699598444	0.569062138891644	0.42865517788243	0.534542878438538
PF00627.34	UBA/TS-N domain	NA	FAvNA	metaT	none	-2.40424726518516	-2.83161171956196	-2.07680946666371	-0.764462839406346	4.38543601488171	0.160544669732105	0.423000000730283	0.443808680603559	0.558762724671361	0.432329114355489	0.534861090710565
