FeatureID	FA4b	FA4c	FA5b	FA5c	FA6b	FA6c	FA1b	FA1c	FA2b	FA2c	FA3b	FA3c
PF02866.21	0	0	70.06	108.243	86.337	161.66	38.592	108.583	33.222	70.405	48.597	100.522
PF02580.19	0	552.22	0	18.986	120.386	0	0	85.851	141.193	301.119	150.563	107.298
PF13580.9	0	140.825	0	19.367	0	0	0	0	36.006	0	25.597	54.726
PF00367.23	1252.419	1210.137	1325.597	1352.076	1139.134	1256.532	737.372	1038.136	934.333	1106.539	1043.748	1095.809
PF01418.20	322.292	696.13	537.742	555.345	407.296	305.448	594.676	656.04	321.66	191.237	404.889	720.093
PF13238.9	100.864	0	47.98	0	0	69.015	131.461	47.8	57.688	55.541	0	87.678
PF06736.14	0	0	0	17.384	0	38.645	67.19	0	0	0	0	0
PF01183.23	646.672	896.508	803.347	760.802	729.299	766.669	609.413	540.267	572.401	1411.742	646.846	787.149
PF01643.20	251.381	0	196.992	418.905	239.797	57.327	98.049	157.335	173.079	230.679	278.539	197.301
PF00478.28	136.74	256.343	199.693	324.99	159.649	262.473	247.931	292.187	231.346	141.566	262.919	334.543
PF00860.23	366.521	367.328	445.263	291.425	507.59	526.674	466.133	471.132	493.58	424.731	419.639	623.632
PF13419.9	1787.909	1873.28	1772.16	1738.723	2359.622	1344.378	2289.155	2174.416	1605.916	2578.079	1966.786	1719.245
PF00588.22	729.957	1285.429	445.15	698.235	518.459	674.493	409.047	731.034	351.019	530.013	737.609	587.328
PF00186.22	186.642	251.307	134.797	120.961	113.057	425.69	150.101	130.232	0	137.034	273.538	292.979
PF06689.16	390.21	0	331.834	290.066	379.08	284.398	0	141.428	192.249	327.825	182.591	173.546
PF07724.17	1294.373	1108.532	1168.46	1138.862	1319.081	967.378	933.981	979.454	827.005	1464.984	1108.788	815.722
PF10431.12	1207.784	880.832	1094.954	1079.576	1237.534	927.881	832.649	965.086	949.785	1274.262	988.056	770.415
PF01926.26	1842.612	1998.555	2221.31	2840.748	2059.18	1789.945	2313.157	1761.263	1429.973	1917.932	2375.68	1848.561
