FeatureID	NA4a	NA4b	NA4c	NA5a	NA5b	NA5c	NA6a	NA6b	NA6c	NA1a	NA1b	NA1c	NA2a	NA2b	NA2c	NA3a	NA3b	NA3c
PF13580.9	0	0	0	0	0	0	150.236	194.238	55.204	0	85.917	98.667	0	0	0	0	0	0
PF00367.23	256.368	518.755	0	170.331	775.942	319.814	34.759	37.977	129.679	294.207	303.489	199.33	165.417	103.429	271.909	163.126	220.922	574.022
PF01418.20	0	351.839	334.401	240.915	960.182	508.605	198.773	131.94	88.634	165.785	418.616	345.545	310.549	483.7	475.37	0	275.098	577.356
PF13238.9	0	0	0	196.032	63.103	0	110.443	133.712	107.906	87.339	79.233	101.872	0	943.729	0	0	0	0
PF06736.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF01183.23	732.614	245.179	261.611	366.851	58.189	0	655.57	201.287	321.719	424.656	129.99	151.613	158.939	168.317	193.981	0	0	587.728
PF01643.20	0	218.322	0	73.911	0	0	202.998	0	216.095	129.829	138.927	156.59	0	418.606	0	0	0	0
PF00478.28	0	152.679	511.708	292.831	390.769	255.587	315.801	506.503	525.496	289.51	146.468	134.321	219.792	419.018	552.601	184.255	216.191	723.053
PF00860.23	314.142	336.756	385.316	498.657	1037.619	659.007	242.886	0	308.394	345.471	352.36	449.891	48.486	223.634	746.91	254.315	915.415	425.238
PF13419.9	930.683	1599.975	789.693	1855.382	2943.729	1501.814	2033.289	1950.39	1397.804	1437.201	995.33	1673.315	1008.205	983.609	922.711	861.225	1463.384	1818.622
PF00588.22	542.514	393.318	0	189.296	806.792	281.205	730.056	444.279	845.107	306.629	510.287	187.605	348.959	258.934	425.018	172.926	415.777	572.54
PF00186.22	0	0	0	0	519.219	0	58.975	304.736	162.512	0	87.753	0	0	0	147.076	0	166.237	254.044
PF06689.16	0	116.895	348.857	144.359	57.136	342.349	370.932	327.913	382.854	216.667	278.318	266.589	0	80.891	369.946	105.299	425.147	142.672
PF07724.17	725.17	363.536	617.12	660.602	721.322	829.227	1227.616	1193.404	1053.022	772.797	903.464	917.357	194.535	700.284	852.456	248.894	783.734	735.647
PF10431.12	725.17	363.536	617.12	660.602	731.384	829.227	1175.34	1193.404	1024.751	809.182	871.829	917.357	109.994	573.75	665.944	248.894	783.734	829.856
PF01926.26	769.628	1506.551	2023.165	2234.434	3464.566	1166.365	2830.256	2603.411	2916.336	1460.019	1521.875	2133.469	741.104	1211.102	2282.464	1483.495	1534.304	1961.047
PF02152.21	0	0	0	0	0	0	105.4	445.976	126.737	0	0	28.315	0	0	192.668	0	0	0
PF01288.23	0	0	0	0	0	111.718	130.596	144.747	123.386	93.515	0	0	0	0	192.668	0	0	0
PF01227.25	0	275.807	0	93.444	69.149	0	61.583	179.143	0	84.55	86.823	99.707	0	0	0	0	0	199.778
PF01712.22	0	0	0	0	0	0	45.464	0	49.713	0	0	0	0	0	0	0	0	0
PF03447.19	0	374.233	0	131.211	272.441	0	306.971	264.471	322.774	39.151	0	67.315	108.816	135.23	73.743	228.807	38.266	103.408
PF00742.22	0	374.233	0	131.211	272.441	0	256.825	264.471	322.774	39.151	0	67.315	108.816	135.23	73.743	228.807	38.266	103.408
PF01565.26	238.543	87.575	281.439	58.355	726.138	284.361	438.29	317.948	435.242	21.507	148.916	245.247	214.296	112.486	145.763	0	0	447.154
PF02873.19	238.543	87.575	281.439	58.355	476.883	284.361	389.924	264.36	309.181	21.507	148.916	209.959	214.296	112.486	87.696	0	0	272.38
PF08402.13	265.49	391.24	109.378	356.056	205.086	336.624	440.155	61.966	180.871	309.586	499.342	382.38	232.486	259.654	276.711	358.78	320.553	699.717
PF00528.25	7453.751	6913.653	7271.24	6044.865	6092.856	5708.507	5703.483	3811.947	6123.745	9130	8596.407	9343.062	6631.328	7849.522	9416.99	7000.38	9585.052	7442.841
PF13416.9	968.85	1677.315	1156.716	937.633	1552.314	501.926	1141.494	398.736	915.886	1689.848	2002.462	2091.657	1100.466	1084.928	1756.783	1273.593	1553.97	1985.124
PF01553.24	425.707	631.109	0	157.508	97.073	0	515.44	554.555	246.253	100.644	134.103	484.196	0	0	337.773	0	129.362	340.166
PF00122.23	474.883	1124.238	1154.797	383.083	1667.191	942.707	1829.978	2454.088	2047.599	529.615	736.404	1306.653	912.868	511.178	1036.67	295.392	781.276	934.314
PF01594.19	192.092	510.521	185.366	320.507	923.327	674.348	524.479	1027.288	389.257	280.091	287.231	695.898	227.513	338.796	741.042	105.577	80.753	320.966
PF13424.9	0	0	0	107.891	13.046	174.111	129.464	0	295.73	130.926	115.225	284.725	87.027	0	295.341	457.128	422.41	104.211
PF02525.20	354.826	0	0	0	74.297	0	134.517	257.164	111.587	0	0	34.276	229.607	361.128	63.607	487.78	0	0
PF02776.21	480.336	508.751	714.472	416.927	755.135	671.999	637.311	680	849.387	420.769	401.869	671.828	451.886	629.942	423.622	325.349	1044.592	726.572
PF00205.25	480.336	862.591	714.472	391.794	719.449	671.999	504.688	495.689	721.721	378.256	401.869	671.828	451.886	629.942	423.622	325.349	1044.592	670.948
PF02775.24	2180.647	1990.215	1097.357	1412.591	1444.184	1329.685	1608.958	1160.89	1556.524	1248.359	1278.619	1709.193	914.176	1316.796	1210.871	865.256	1720.996	1492.532
PF07517.17	155.498	385.392	192.53	496.628	279.071	193.489	331.12	405.97	357.101	160.277	175.311	259.559	237.721	307.407	255.043	291.639	331.082	399.247
PF01043.23	155.498	385.392	192.53	496.628	279.071	193.489	331.12	405.97	357.101	160.277	175.311	259.559	237.721	307.407	255.043	291.639	331.082	399.247
PF07516.16	155.498	385.392	192.53	496.628	279.071	193.489	331.12	405.97	357.101	160.277	175.311	259.559	237.721	403.786	255.043	291.639	331.082	399.247
PF02810.18	558.557	618.258	192.53	693.986	562.003	178.001	384.605	213.614	483.098	544.47	392.173	434.708	444.95	634.933	397.81	554.156	420.74	767.565
PF13276.9	2672.831	3234.041	1074.203	1841.503	10374.335	4032.216	961.057	251.258	1379.13	852.196	1282.806	876.641	1085.548	1008.566	1889.578	1041.588	1072.561	5760.841
PF00665.29	4292.3	4862.336	4856.747	6153.838	15537.839	5853.624	1307.83	1144.614	2547.499	3568.013	3700.751	2314.522	5987.394	5473.063	5247.984	4860.698	5331.729	8874.439
PF13333.9	1340.452	1624.985	791.74	2862.192	4490.914	3147.276	527.905	778.134	666.518	1232.837	703.888	550.048	1073.311	1512.642	1267.666	890.139	1019.824	3283.681
PF00793.23	616.856	680.899	0	360.033	439.735	286.636	542.853	608.733	678.663	152.099	239.657	432.739	129.036	0	562.121	0	728.445	301.951
PF11797.11	0	0	0	0	0	0	0	0	15.197	0	0	0	0	0	0	0	0	0
PF00381.22	0	1193.806	0	884.635	410.328	531.874	368.306	279.603	531.647	274.154	291.491	295.438	566.526	403.581	636.234	586.545	1269.921	233.856
PF00872.21	3248.479	2654.338	1707.313	1021.798	6696.551	1567.068	539.608	194.275	611.424	1779.452	1777.252	996.931	3890.958	2313.217	1875.01	1355.816	3332.899	5104.772
PF08206.14	97.514	0	126.904	150.907	54.055	137.116	52.048	65.952	56.21	44.54	161.183	171.774	0	47.855	77.272	0	43.693	166.626
PF17876.4	97.514	72.184	126.904	150.907	273.474	205.967	213.379	193.795	342.218	65.189	203.591	220.475	61.377	47.855	115.765	0	43.693	398.198
PF00773.22	97.514	72.184	126.904	150.907	273.474	205.967	213.379	193.795	342.218	65.189	203.591	220.475	61.377	47.855	115.765	0	43.693	398.198
PF00575.26	3251.625	1398.583	2789.575	3054.626	1476.34	2334.858	3519.206	3240.563	2736.456	1522.346	1748.751	1679.726	1644.942	1388.321	1541.915	1772.006	1697.851	2215.955
PF00155.24	2160.83	1977.671	577.206	1617.497	3081.578	1455.644	3244.949	3219.046	2775.298	1495.284	1315.493	1996.843	1688.455	1520.155	1910.384	1379.03	656.784	3107.362
