FeatureID	FT4b	FT4c	FT5b	FT5c	FT6b	FT6c	FT1b	FT1c	FT2b	FT2c	FT3b	FT3c
PF13527.10	155.614	415.822	0	451.605	315.209	206.522	211.005	241.235	204.509	84.313	0	299.344
PF09414.13	0	0	0	0	0	0	0	0	0	0	0	0
PF19610.2	97.072	138.016	0	246.848	0	171.461	127.95	109.891	87.855	218.376	0	87.67
PF09704.13	208.023	55.447	346.392	264.545	193.918	294.09	91.398	117.769	109.822	0	0	250.467
PF09709.13	141.578	266.46	134.733	0	301.577	235.765	248.801	68.676	195.246	0	0	353.096
PF12673.10	454.222	753.769	504.563	0	0	642.129	399.397	343.025	343.866	966.054	0	455.867
PF03975.16	161.787	231.093	538.803	0	305.388	142.885	142.167	91.598	292.863	0	0	195.412
PF03714.17	0	0	0	0	0	0	46.554	21.631	0	0	0	0
PF15563.9	0	0	0	0	0	0	0	0	0	172.353	0	0
PF03690.16	0	0	0	0	0	0	0	0	0	0	0	0
PF07927.15	0	450.993	0	0	775.526	368.088	0	0	0	0	0	250.467
PF01339.20	299.237	340.714	498.278	947.602	142.031	314.777	422.838	425.01	380.754	482.682	0	314.776
PF13750.9	0	0	0	0	0	0	0	0	0	0	0	0
PF01312.22	106.272	125.887	240.203	0	264.127	386.553	261.463	240.567	284.548	647.671	0	263.627
PF19668.2	0	0	0	0	0	0	0	0	0	0	0	0
PF00813.23	180.777	224.861	225.734	229.852	0	148.378	198.55	306.974	172.437	211.61	307.968	124.855
PF13515.9	75.959	14.644	0	0	0	0	36.12	23.322	0	0	0	0
PF13677.9	102.38	279.818	0	0	0	120.469	130.092	220.628	228.955	342.176	151.933	175.98
PF00261.23	0	0	0	0	0	0	0	0	0	0	0	0
PF12611.11	0	171.245	349.142	258.346	0	136.163	89.273	218.18	0	0	0	116.026
PF03963.17	187.893	133.558	78.234	477.8	350.24	215.71	123.822	0	127.543	369.651	0	367.629
PF13290.9	452.256	129.45	189.661	442.207	101.356	261.229	260.91	307.819	287.146	324.273	199.112	173.116
PF17786.4	0	0	0	0	0	0	0	0	0	0	0	0
PF17753.4	0	22.888	0	0	0	22.638	26.913	0	9.714	0	0	0
PF14413.9	0	0	0	0	0	0	0	0	0	0	0	62.865
PF08719.14	0	48.516	75.747	0	106.193	8.035	70.064	0	27.458	0	316.583	0
PF18269.4	239.791	201.679	396.802	151.468	223.38	190.113	250.563	203.225	135.525	204.109	0	233.094
PF01051.24	0	0	0	0	0	0	31.733	113.274	19.915	0	0	0
PF06889.14	260.786	174.333	653.896	332.83	611.289	439.669	589.742	659.346	374.918	0	0	472.696
PF15595.9	0	0	0	0	0	0	275.42	0	0	0	0	0
PF01514.20	147.633	316.429	245.178	844.723	309.566	252.743	360.651	309.822	481.454	172.353	0	462.518
PF08345.14	147.633	191.66	245.178	249.648	91.463	190.738	257.835	111.137	177.869	172.353	0	251.177
PF16697.8	0	0	0	0	0	0	0	0	0	0	0	0
PF19453.2	0	0	0	0	0	0	133.132	0	0	0	0	0
PF14104.9	0	0	0	0	0	0	55.899	0	0	0	0	0
PF05168.17	381.88	70.58	0	252.447	170.833	140.288	0	0	29.949	0	0	0
PF04277.16	319.642	250.236	354.837	0	198.609	286.354	93.626	120.617	112.503	236.002	370.601	64.143
PF13305.9	0	238.652	0	0	0	48.735	0	312.359	83.906	322.984	0	83.055
PF13240.9	358.919	168.31	0	0	0	73.637	54.967	0	100.618	138.849	0	76.972
PF14561.9	0	0	0	0	0	0	0	0	0	0	0	0
PF12746.10	0	31.049	0	0	0	35.957	0	0	0	119.842	0	0
PF06898.14	63.299	22.497	52.702	322.033	236.058	105.136	222.267	143.361	143.875	220.723	0	323.983
PF12787.10	0	0	0	0	0	17.402	0	0	0	0	0	0
PF05209.16	0	0	0	0	0	0	0	0	0	0	0	0
PF11443.11	0	0	0	0	0	0	0	0	0	0	0	0
PF05731.14	0	0	0	0	0	0	0	0	0	0	0	0
