#FeatureID	cFA01a_S39	cFA01b_S45	cFA05a_S40	cFA05b_S46	cFA09a_S41	cFA09b_S47	cFA13a_S36	cFA13b_S42	cFA17a_S37	cFA17b_S43	cFA21a_S38	cFA21b_S44	cFT01a_S51	cFT01b_S57	cFT05a_S52	cFT05b_S58	cFT09a_S53	cFT09b_S59	cFT13a_S48	cFT13b_S54	cFT17a_S49	cFT17b_S55	cFT21a_S50	cFT21b_S56	cNA01a_S4	cNA01b_S10	cNA01c_S16	cNA05a_S5	cNA05b_S11	cNA05c_S17	cNA09a_S6	cNA09b_S12	cNA09c_S18	cNA13a_S1	cNA13b_S7	cNA13c_S13	cNA17a_S2	cNA17b_S8	cNA17c_S14	cNA21a_S3	cNA21b_S9	cNA21c_S15	cNT01a_S21	cNT01b_S27	cNT01c_S33	cNT05a_S22	cNT05b_S28	cNT05c_S34	cNT09a_S23	cNT09b_S29	cNT09c_S35	cNT13a_S19	cNT13b_S24	cNT13c_S30	cNT17a_S20	cNT17b_S25	cNT17c_S31	cNT21b_S26	cNT21c_S32
tr|A0A7G9B183|A0A7G9B183_9FIRM	0.0	0.0	0.0	0.0	0.0	409.009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	338.974	0.0	0.0	0.0	377.012	0.0	432.966	0.0	399.001	0.0	609.09	298.037	243.043	375.051	633.876	690.9	310.011	474.003	466.048	388.049	545.039	320.026	92.991	0.0	372.962	205.015	502.963	256.022	144.987	371.956	394.057	517.17	190.019	214.988	0.0	330.044	193.993	216.005	287.017	0.0	209.014	401.952	125.0	222.02
tr|A0A7G9FK20|A0A7G9FK20_9FIRM	0.0	0.0	278.046	539.032	0.0	0.0	392.991	0.0	352.983	341.019	0.0	0.0	941.043	473.035	458.98	338.974	0.0	0.0	709.069	377.012	0.0	432.966	418.024	797.002	2350.134	457.068	149.018	971.172	501.068	633.876	345.95	465.017	158.001	933.097	129.016	272.02	640.051	833.915	665.039	372.962	512.037	251.981	256.022	289.974	618.927	592.085	345.113	570.056	214.988	161.973	220.029	0.0	0.0	287.017	321.016	418.028	601.928	500.0	334.03
tr|A0A7G9FKY2|A0A7G9FKY2_9FIRM	395.023	0.0	278.046	1079.065	338.016	409.009	392.991	352.025	352.983	341.019	329.024	0.0	1411.065	947.069	458.98	676.947	331.031	890.963	709.069	377.012	334.983	432.966	1255.072	1196.004	2350.134	457.068	596.074	850.15	626.085	633.876	345.95	620.022	474.003	2332.243	777.099	545.039	640.051	1111.887	832.048	1117.886	1228.09	502.963	769.067	723.935	866.898	592.085	345.113	950.093	428.975	161.973	330.044	193.993	216.005	430.025	964.049	418.028	802.904	875.0	778.069
tr|A0A7G9FVJ0|A0A7G9FVJ0_9FIRM	0.0	0.0	278.046	539.032	0.0	0.0	0.0	0.0	352.983	0.0	0.0	0.0	941.043	473.035	0.0	338.974	331.031	0.0	709.069	377.012	0.0	0.0	418.024	797.002	1828.104	457.068	149.018	850.15	375.051	633.876	345.95	465.017	316.002	933.097	259.033	545.039	640.051	740.924	499.029	372.962	307.022	251.981	256.022	289.974	494.942	394.057	345.113	285.028	214.988	161.973	220.029	0.0	0.0	287.017	321.016	418.028	601.928	375.0	334.03
tr|A0A7G9FZ05|A0A7G9FZ05_9FIRM	791.045	577.003	278.046	539.032	338.016	409.009	392.991	0.0	352.983	341.019	329.024	0.0	941.043	947.069	458.98	338.974	331.031	445.981	709.069	377.012	1003.949	432.966	836.048	1196.004	1044.06	609.09	447.055	485.086	751.102	475.907	345.95	775.028	948.007	466.048	518.066	545.039	1280.102	647.934	998.058	372.962	921.067	754.944	769.067	868.922	742.912	986.142	517.17	570.056	643.963	322.946	661.089	193.993	0.0	287.017	642.033	837.056	802.904	875.0	1334.119
tr|A0A7G9G1L9|A0A7G9G1L9_9FIRM	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	152.022	0.0	0.0	0.0	0.0	0.0	0.0	158.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	123.985	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
tr|A0A7G9RY31|A0A7G9RY31_9FIRM	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	320.026	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
tr|A0A7G9TEP2|A0A7G9TEP2_PSEMX	0.0	0.0	278.046	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
tr|A0A7H1BHD1|A0A7H1BHD1_9ACTN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	172.056	190.019	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
tr|A0A7H1LAG2|A0A7H1LAG2_9LACO	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	320.026	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
