FeatureID	cFA13a	cFA13b	cFA17a	cFA17b	cFA21a	cFA21b	cFT13a	cFT13b	cFT17a	cFT17b	cFT21a	cFT21b	cNA13a	cNA13b	cNA13c	cNA17a	cNA17b	cNA17c	cNA21a	cNA21b	cNA21c
tr_A0A137PJZ3_A0A137PJZ3_LACJH	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tr_A0A139K753_A0A139K753_BACUN	0	1	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
tr_A0A140DV06_A0A140DV06_9FIRM	0	1	1	1	0	1	0	0	1	0	0	0	0	0	0	8	1	2	0	0	0
tr_A0A140DWG5_A0A140DWG5_9FIRM	0	1	2	2	1	2	0	0	0	0	0	0	0	0	0	5	1	1	0	0	0
tr_A0A143Y4H9_A0A143Y4H9_9LACT	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
tr_A0A143Z5L8_A0A143Z5L8_9LACT	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	1	0	0	2	1
tr_A0A150WQ38_A0A150WQ38_BDEBC	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0
tr_A0A161V6V2_A0A161V6V2_9HYPH	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	6	0	1	0	0	0
tr_A0A161VYJ1_A0A161VYJ1_LACLC	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	31	301	185	0	4	0
tr_A0A162F1W8_A0A162F1W8_LACPN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	1	0	0	0
tr_A0A165Z1U4_A0A165Z1U4_LACPN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0
tr_A0A171DKM0_A0A171DKM0_9ACTN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0
tr_A0A172Q6Y8_A0A172Q6Y8_9STRE	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	3	2	0	4	0
tr_A0A173RY76_A0A173RY76_9FIRM	0	0	1	1	0	0	2	1	1	1	2	3	4	3	2	3	14	6	1	8	2
tr_A0A173S778_A0A173S778_9FIRM	0	0	0	0	0	0	1	1	1	1	3	4	2	4	2	2	6	3	1	12	2
tr_A0A173S915_A0A173S915_9FIRM	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0
tr_A0A173SJ73_A0A173SJ73_9FIRM	2	1	2	1	0	0	2	2	2	1	1	1	1	2	3	2	5	4	1	9	3
tr_A0A173SRH3_A0A173SRH3_9FIRM	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1	0	3	0
tr_A0A173U973_A0A173U973_9FIRM	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	0	2	0	0	1	0
tr_A0A173URL3_A0A173URL3_9FIRM	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0
tr_A0A173UXL2_A0A173UXL2_ANAHA	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	0	2	1	0	1	0
tr_A0A173V7R5_A0A173V7R5_9FIRM	0	0	0	0	0	0	2	0	0	0	1	2	2	2	1	1	7	2	1	2	1
tr_A0A173VRA0_A0A173VRA0_9FIRM	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	2	1
tr_A0A173VTD0_A0A173VTD0_9FIRM	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	1	0	0	0
tr_A0A173W138_A0A173W138_9FIRM	0	1	1	0	0	0	1	1	1	0	1	1	0	2	1	1	3	3	1	6	1
tr_A0A173Y2R7_A0A173Y2R7_BACUN	0	1	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
tr_A0A173ZCD7_A0A173ZCD7_9FIRM	1	1	0	1	0	0	1	1	0	1	1	2	2	2	1	1	1	2	1	3	1
tr_A0A173ZET1_A0A173ZET1_9FIRM	0	0	1	1	0	0	2	1	2	0	1	1	1	2	1	1	3	1	1	4	2
tr_A0A173ZSA2_A0A173ZSA2_9FIRM	1	1	0	1	0	0	1	1	0	1	1	2	2	2	1	1	1	2	1	3	1
tr_A0A173ZT04_A0A173ZT04_9FIRM	1	1	1	1	0	0	2	2	1	1	2	1	2	3	3	2	5	4	1	9	2
tr_A0A174AW35_A0A174AW35_9FIRM	1	1	0	0	0	0	1	0	0	1	1	1	1	2	1	1	2	2	1	5	1
tr_A0A174B5B8_A0A174B5B8_ANAHA	0	0	1	0	0	0	0	0	0	0	0	0	1	4	2	1	4	2	0	7	1
tr_A0A174BY25_A0A174BY25_9FIRM	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	2	1
tr_A0A174C042_A0A174C042_9CLOT	0	2	1	2	1	0	4	1	0	0	0	0	1	1	1	0	2	1	1	2	0
tr_A0A174C515_A0A174C515_9CLOT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	0
tr_A0A174D5Q4_A0A174D5Q4_9FIRM	1	1	2	1	1	0	2	1	1	2	2	3	1	2	2	2	5	3	1	7	2
tr_A0A174D8V8_A0A174D8V8_9FIRM	0	0	0	0	0	0	2	0	0	0	1	2	2	2	1	1	6	2	1	2	1
tr_A0A174DL00_A0A174DL00_9FIRM	0	0	1	0	0	0	0	0	0	0	0	0	1	3	3	1	9	5	1	5	4
tr_A0A174DZA2_A0A174DZA2_9FIRM	0	0	1	0	0	0	0	1	0	0	0	0	1	2	2	3	10	4	0	8	2
tr_A0A174DZS1_A0A174DZS1_9CLOT	0	1	0	1	0	0	2	1	0	0	0	0	1	0	0	0	0	0	2	0	0
tr_A0A174EB34_A0A174EB34_9FIRM	0	0	0	0	0	0	1	0	0	0	0	1	2	1	1	1	4	1	1	1	1
tr_A0A174ES06_A0A174ES06_BACUN	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
tr_A0A174FU81_A0A174FU81_9FIRM	0	0	1	1	0	0	1	0	0	0	1	2	2	1	2	1	5	2	1	3	1
tr_A0A174GR10_A0A174GR10_9FIRM	0	0	0	0	0	0	2	1	0	0	1	2	2	2	1	1	7	3	1	3	1
tr_A0A174H2D6_A0A174H2D6_9FIRM	0	1	0	1	0	0	2	1	1	1	3	4	1	4	2	3	6	3	0	11	2
tr_A0A174HSI5_A0A174HSI5_9FIRM	0	0	0	0	0	0	1	0	0	0	1	2	2	1	1	1	5	2	1	2	1
tr_A0A174MBD8_A0A174MBD8_CLOSY	1	0	1	0	0	0	0	0	1	1	0	0	2	4	1	1	24	12	2	9	2
tr_A0A174NYZ7_A0A174NYZ7_9FIRM	1	1	1	1	0	0	2	1	2	0	1	2	1	2	1	1	3	1	1	4	2
tr_A0A174S307_A0A174S307_ANAHA	0	0	1	0	0	0	1	1	0	1	1	1	1	3	1	1	3	1	0	4	1
tr_A0A174TVW7_A0A174TVW7_9CLOT	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	2	0	1	1	0
tr_A0A174UKW2_A0A174UKW2_9FIRM	0	0	0	3	0	0	0	0	0	0	0	0	8	0	0	5	1	4	11	0	5
tr_A0A174V5X0_A0A174V5X0_9FIRM	0	0	0	0	0	0	1	0	0	0	1	2	2	1	1	1	5	2	1	2	1
tr_A0A174XDW3_A0A174XDW3_9BACT	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0
tr_A0A174YG41_A0A174YG41_9FIRM	1	1	1	1	0	0	2	1	1	0	1	1	1	5	3	4	11	5	1	17	2
tr_A0A174YQK7_A0A174YQK7_9FIRM	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
tr_A0A174Z2R4_A0A174Z2R4_9FIRM	0	0	1	0	0	0	1	1	1	0	1	1	1	2	0	0	4	3	0	5	1
tr_A0A174ZPF2_A0A174ZPF2_9FIRM	0	0	1	0	0	0	1	1	1	1	1	2	1	1	0	0	4	3	0	3	1
tr_A0A174ZYD3_A0A174ZYD3_9FIRM	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
tr_A0A179CKJ1_A0A179CKJ1_9LACO	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	1
tr_A0A179ETF2_A0A179ETF2_ENTTH	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	1	0	2	0
tr_A0A199YVI4_A0A199YVI4_9LACT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
tr_A0A1A8Z7M3_A0A1A8Z7M3_9ACTN	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3	3	3	0	0	1	7
tr_A0A1B1FMJ8_A0A1B1FMJ8_LACPN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0
tr_A0A1B1SBZ6_A0A1B1SBZ6_9BACT	0	0	0	0	3	3	1	0	0	0	0	0	2	6	1	0	2	0	0	11	0
tr_A0A1C4V181_A0A1C4V181_9ACTN	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
tr_A0A1C6TUY1_A0A1C6TUY1_9ACTN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0
tr_A0A1C9W8W2_A0A1C9W8W2_9GAMM	0	3	0	0	0	0	0	0	0	0	2	0	0	5	0	0	8	2	0	2	0
tr_A0A1D2IZY6_A0A1D2IZY6_LISMN	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	0
tr_A0A1E3ADP5_A0A1E3ADP5_9FIRM	1	0	1	1	2	1	0	1	0	2	1	0	1	3	1	1	6	2	2	9	1
tr_A0A1E3ALT3_A0A1E3ALT3_9FIRM	1	0	1	1	2	1	0	1	0	2	1	0	1	3	1	1	6	2	2	8	1
tr_A0A1E3UP10_A0A1E3UP10_9FIRM	1	0	1	1	2	1	0	1	0	2	1	0	1	3	1	1	8	2	0	10	2
tr_A0A1E5TNV5_A0A1E5TNV5_9STAP	0	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tr_A0A1G9IWK0_A0A1G9IWK0_STREI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0
tr_A0A1H0CSY4_A0A1H0CSY4_LIMMU	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	1	0	0	0
tr_A0A1H0M6W6_A0A1H0M6W6_STREI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
tr_A0A1H3KX76_A0A1H3KX76_9MICO	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
tr_A0A1H4A676_A0A1H4A676_PRERU	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
tr_A0A1H5RQG8_A0A1H5RQG8_PRERU	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	3	1
tr_A0A1H6KF00_A0A1H6KF00_PRERU	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1
tr_A0A1H6T0E8_A0A1H6T0E8_9FIRM	1	0	1	0	0	0	1	1	1	0	1	1	0	1	1	2	2	0	0	1	0
tr_A0A1H7H150_A0A1H7H150_PHOVU	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tr_A0A1H7H8C5_A0A1H7H8C5_9FIRM	0	0	1	1	1	0	0	1	0	0	0	0	1	2	1	2	1	1	1	4	0
tr_A0A1H8EXQ4_A0A1H8EXQ4_9FIRM	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0
tr_A0A1H8JZY3_A0A1H8JZY3_9FIRM	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	3	0
tr_A0A1H9GIX4_A0A1H9GIX4_9SPIR	4	1	1	1	2	1	0	0	1	3	0	1	6	39	30	5	39	63	5	40	41
tr_A0A1H9HBW2_A0A1H9HBW2_9SPIR	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	2	0
tr_A0A1H9Q7N9_A0A1H9Q7N9_9BACI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0	0	2
tr_A0A1I0H2Z2_A0A1I0H2Z2_9FIRM	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	7	2	0	2	0
tr_A0A1I0L736_A0A1I0L736_9ACTN	15	18	10	6	2	2	2	0	5	0	6	1	0	4	3	0	0	1	0	0	4
tr_A0A1I0V685_A0A1I0V685_9CLOT	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0
tr_A0A1I1MYN2_A0A1I1MYN2_9CLOT	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0
tr_A0A1I1SYU2_A0A1I1SYU2_9LACO	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0
tr_A0A1I2RXD4_A0A1I2RXD4_9LACO	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	0	1	0
tr_A0A1I2S4P1_A0A1I2S4P1_9BACL	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
