FeatureID	cFA01a	cFA01b	cFA05a	cFA05b	cFA09a	cFA09b	cFA13a	cFA13b	cFA17a	cFA17b	cFA21a	cFA21b	cFT01a	cFT01b	cFT05a	cFT05b	cFT09a	cFT09b	cFT13a	cFT13b	cFT17a	cFT17b	cFT21a	cFT21b	cNA01a	cNA01b	cNA01c	cNA05a	cNA05b	cNA05c	cNA09a	cNA09b	cNA09c	cNA13a	cNA13b	cNA13c	cNA17a	cNA17b	cNA17c	cNA21a	cNA21b	cNA21c
tr_A0A0L0MGY3_A0A0L0MGY3_9BURK	0	0	278.046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	457.068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tr_A0A0M2AE59_A0A0M2AE59_ENTFL	0	0	0	0	0	0	0	0	352.983	0	329.024	0	0	0	458.98	0	0	0	0	0	0	0	0	0	261.015	152.022	0	121.021	250.034	158.969	0	0	158.001	0	0	0	960.077	92.991	333.019	0	102.007	251.981
tr_A0A0M2NIU1_A0A0M2NIU1_9FIRM	395.023	0	278.046	0	338.016	409.009	392.991	0	704.967	341.019	329.024	0	470.022	473.035	458.98	338.974	331.031	445.981	709.069	377.012	1003.949	432.966	418.024	797.002	522.03	304.045	298.037	850.15	501.068	475.907	345.95	310.011	158.001	466.048	388.049	272.02	1280.102	184.981	333.019	372.962	409.03	502.963
tr_A0A0M2ZS45_A0A0M2ZS45_LACLC	0	0	835.137	0	338.016	0	0	0	0	0	0	0	0	0	0	0	663.062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tr_A0A0M3DIP7_A0A0M3DIP7_9CLOT	0	577.003	0	0	0	0	0	0	0	0	0	0	0	0	916.96	0	0	0	354.034	0	334.983	0	0	0	261.015	0	0	0	0	0	690.9	0	0	466.048	0	0	0	0	0	744.924	0	0
tr_A0A0M6WH75_A0A0M6WH75_9FIRM	395.023	0	0	539.032	0	409.009	392.991	352.025	352.983	341.019	0	0	470.022	473.035	458.98	338.974	331.031	445.981	709.069	377.012	334.983	432.966	836.048	1196.004	522.03	457.068	447.055	971.172	1627.221	633.876	345.95	1085.039	1106.008	1866.194	388.049	545.039	960.077	1296.868	998.058	372.962	818.06	502.963
tr_A0A0M6WMX1_A0A0M6WMX1_9FIRM	395.023	577.003	278.046	539.032	0	409.009	785.982	352.025	704.967	341.019	0	0	941.043	947.069	458.98	338.974	331.031	445.981	709.069	754.023	669.966	432.966	836.048	797.002	2350.134	761.113	447.055	364.064	501.068	475.907	0	465.017	316.002	466.048	388.049	817.059	640.051	555.943	665.039	372.962	1023.075	754.944
tr_A0A0M6X0D7_A0A0M6X0D7_9FIRM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	334.983	0	0	0	261.015	152.022	0	0	125.017	0	0	0	158.001	0	129.016	0	0	184.981	166.01	0	102.007	0
tr_A0A0P0ER20_A0A0P0ER20_BACT4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	149.018	121.021	125.017	0	0	155.006	158.001	0	0	0	0	0	0	0	102.007	0
tr_A0A0P0FKS2_A0A0P0FKS2_9BACE	0	0	278.046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	457.068	447.055	364.064	626.085	316.938	0	775.028	474.003	0	0	0	0	0	0	0	512.037	0
tr_A0A0P0LK75_A0A0P0LK75_PHOVU	0	0	0	0	0	0	0	352.025	0	0	0	457.018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tr_A0A0P0RH44_A0A0P0RH44_9BURK	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152.022	149.018	121.021	125.017	316.938	0	155.006	0	0	0	0	0	0	0	0	102.007	0
tr_A0A0P7YQE1_A0A0P7YQE1_9RHOB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	125.017	158.969	0	0	0	0	0	0	0	0	0	0	0	0
tr_A0A0R0AIR5_A0A0R0AIR5_9GAMM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152.022	149.018	121.021	125.017	158.969	0	155.006	316.002	0	0	0	0	0	0	0	102.007	0
tr_A0A0R0CJL3_A0A0R0CJL3_9GAMM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	331.031	0	0	0	0	0	0	0	0	0	149.018	0	125.017	0	0	155.006	158.001	0	0	0	0	0	0	0	205.015	0
tr_A0A0R0DAH0_A0A0R0DAH0_9GAMM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152.022	149.018	0	125.017	158.969	0	155.006	158.001	0	0	0	0	0	0	0	102.007	0
tr_A0A0R0DPK7_A0A0R0DPK7_9GAMM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	149.018	0	125.017	0	0	155.006	158.001	0	0	0	0	0	0	0	102.007	0
tr_A0A0R1LEE3_A0A0R1LEE3_9LACO	0	0	0	0	0	818.019	0	0	0	0	0	0	0	947.069	0	0	0	0	0	754.023	0	0	0	0	0	304.045	149.018	0	0	0	0	0	158.001	0	0	0	0	0	0	0	102.007	0
tr_A0A0R1NYZ2_A0A0R1NYZ2_LIMMU	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	261.015	152.022	0	0	250.034	158.969	0	0	158.001	0	129.016	0	960.077	92.991	166.01	0	205.015	0
tr_A0A0R1PDJ9_A0A0R1PDJ9_9LACO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	125.017	158.969	0	0	0	0	129.016	0	0	0	0	0	307.022	0
