mouseid	condition	cageid	weight	week
FT1b	FT	1b	30.3	4
FT1c	FT	1c	29.9	4
FT2a	FT	2a	30.1	4
FT2b	FT	2b	29.8	4
FT2c	FT	2c	28.5	4
FT3a	FT	3a	25.9	4
FT3b	FT	3b	28.3	4
FT3c	FT	3c	29.2	4
FT4a	FT	4a	27.7	4
FT4b	FT	4b	26.8	4
FT4c	FT	4c	25.3	4
FT5a	FT	5a	25.8	4
FT5b	FT	5b	28.1	4
FT5c	FT	5c	27.3	4
FT6a	FT	6a	26.7	4
FT6b	FT	6b	27.1	4
FT6c	FT	6c	26.9	4
FT7a	FT	7a	28.9	4
FT7b	FT	7b	26.1	4
FT7c	FT	7c		4
FT8a	FT	8a	27.2	4
FT8b	FT	8b	26.2	4
FT8c	FT	8c		4
NA1a	NA	1a	27.9	4
NA1b	NA	1b	25.9	4
NA1c	NA	1c	25.2	4
NA2a	NA	2a	26.1	4
NA2b	NA	2b	30.3	4
NA2c	NA	2c	30.3	4
NA3a	NA	3a	28.8	4
NA3b	NA	3b	27.3	4
NA3c	NA	3c	30.1	4
NA4a	NA	4a	27.2	4
NA4b	NA	4b	23.3	4
NA4c	NA	4c	26.0	4
NA5a	NA	5a	27.0	4
NA5b	NA	5b	24.1	4
NA5c	NA	5c	28.1	4
NA6a	NA	6a	26.6	4
NA6b	NA	6b	26.9	4
NA6c	NA	6c	30.5	4
NA7a	NA	7a	28.5	4
NA7b	NA	7b	27.3	4
NA7c	NA	7c	27.3	4
NA8a	NA	8a	30.5	4
NA8b	NA	8b	29.3	4
NA8c	NA	8c	31.7	4
NT1a	NT	1a	24.6	4
NT1b	NT	1b	24.8	4
NT1c	NT	1c	25.2	4
NT2a	NT	2a	20.7	4
NT2b	NT	2b	24.3	4
NT2c	NT	2c	24.0	4
NT3a	NT	3a	24.2	4
NT3b	NT	3b	24.8	4
NT3c	NT	3c	24.0	4
NT4a	NT	4a	25.4	4
NT4b	NT	4b	25.3	4
NT4c	NT	4c	24.8	4
NT5a	NT	5a	24.5	4
NT5b	NT	5b	23.7	4
NT5c	NT	5c	26.6	4
NT6a	NT	6a	23.6	4
NT6b	NT	6b	25.5	4
NT6c	NT	6c	24.4	4
NT7a	NT	7a	24.5	4
NT7b	NT	7b	22.4	4
NT7c	NT	7c	24.7	4
NT8a	NT	8a	20.6	4
NT8b	NT	8b	22.7	4
NT8c	NT	8c	23.2	4
