cluster index	parent mass	RTMean
2309	229.1181954328616	0.66904116
2415	462.2191952440078	0.66932577
1759	182.08120733293643	0.66998637
2334	165.054640927534	0.6701916
2382	430.1923031956474	0.6706977
2288	364.0649628043687	0.6714809
2330	407.250114731096	0.67185825
2129	318.16576700749454	0.67192066
2394	320.1815855942126	0.6729469
2400	321.16558666087053	0.67401636
2421	313.17535835432705	0.67427826
3016	279.1370059822944	0.67441386
1950	219.13384960817217	0.6753594
2358	493.2490176759914	0.6756382
2579	390.16156823980384	0.6756678
2430	254.1607622762372	0.67579246
2463	363.1565378764512	0.676825
2383	263.1963101977277	0.67803484
2439	412.17103392252767	0.67832553
1863	205.11828803159207	0.68053055
2403	269.10824494074296	0.6819332
2558	289.13873046628373	0.68274313
1897	362.1919612999329	0.6831038
2278	389.2025915567417	0.6856884
1995	558.2516881035538	0.6875922
2494	542.1857092743272	0.68886256
2509	440.1661293806554	0.68967044
2491	545.2213528229898	0.69076806
1799	226.1548770472984	0.69240594
2171	288.20291975270976	0.69241256
2484	362.1564488095084	0.69243103
2205	227.1585495870655	0.6925098
1940	428.2616487883012	0.6926905
2480	414.1270505854381	0.693947
1786	577.246190177894	0.69468266
2485	294.15445987814627	0.69495606
2526	382.1605593517046	0.69721013
2076	390.1865633736501	0.69814765
2567	346.0545197175437	0.69914734
2452	203.1390558137009	0.7007854
1758	490.2137290782969	0.7016659
2830	618.3107835117289	0.7017074
2660	209.1283291073801	0.7030871
2128	454.3021910890489	0.7044578
2473	814.2861815064572	0.7044641
1767	700.3262322845039	0.7062678
2549	223.06886789610903	0.7082421
2340	314.09144133571687	0.70846444
2229	332.1813535022816	0.7105369
2351	424.7031948981105	0.71065897
2010	707.2385275776801	0.71278524
1837	455.2247663184038	0.7135956
2584	340.1977446256648	0.7146342
1947	355.1973512999242	0.71524394
2407	268.1038839160208	0.7195313
2770	683.1915595693303	0.72170466
2683	461.2237863541655	0.72244424
2641	262.14822303048743	0.7234726
2266	237.08725983007025	0.72358847
2593	304.1500080002914	0.72364587
1975	561.2516597712735	0.72379917
3745	517.2797749158669	0.7243221
3493	261.1443868456582	0.7259777
2696	706.252297416679	0.72594017
2848	574.2476585596772	0.7271249
3937	387.7123067739647	0.7275732
2747	369.17416848744745	0.72885174
2255	215.1390002915088	0.72972625
2874	262.13860617904135	0.73075753
2404	275.17070170906254	0.7309614
2853	554.3040930340604	0.7315927
2191	434.260867483101	0.7319774
2745	201.0870134289768	0.7321285
2917	417.2451385204977	0.7325992
2819	375.2240216413698	0.73268783
2793	536.1848679090574	0.7328127
2291	343.1974841610166	0.73359334
2344	375.2060384209443	0.7340431
2907	641.3374805685459	0.7341885
2875	269.16061568612463	0.73581547
2760	873.4859057456622	0.73646003
2960	150.0584518746141	0.736536
2513	283.12665052107	0.7373455
2762	291.8330532920117	0.73814
3750	445.24477718460986	0.73823327
3514	347.1923373007504	0.7389145
2167	228.17060740326784	0.7392226
1954	489.230248355599	0.73921984
2803	402.2443302509294	0.7401813
2985	689.2725380104312	0.74047893
2938	295.176350146523	0.74138224
2304	212.1028838859126	0.742935
1889	348.17631512593937	0.74433875
2286	185.0921138020633	0.7445985
2916	259.1434321976616	0.7448979
2373	195.0765117648471	0.7449874
2345	230.1132846614224	0.7455233
3665	317.1816732464756	0.7466577
2862	476.2352449128692	0.7466591
3339	463.27534534525296	0.7467007
2957	227.65473203328187	0.74684805
2902	394.12775962079314	0.7469462
2406	327.6819077733221	0.74744916
2851	334.1606265949273	0.74746376
3098	391.2016203127617	0.7480018
3005	609.2981312993483	0.74799985
3186	277.65577527039784	0.74840826
2962	781.3954974368594	0.7486046
2772	457.2040953676279	0.7492273
2181	303.1660658857538	0.7492729
2303	234.0847985760165	0.7493832
2936	654.3571223282215	0.7502115
3028	498.2672346347284	0.75127244
3699	389.2027524032159	0.75171745
2953	385.194326194588	0.7517368
3899	270.1560200385785	0.7520179
2607	284.09892198364344	0.75242877
3139	258.10878311769136	0.7531893
4153	195.1232562452269	0.75325423
2667	269.0880764052379	0.7532998
3252	272.1600250584068	0.7541992
3061	221.09200832571872	0.7543579
