CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
7322	13545	13	0.9874	-0.000
8090	13545	13	0.9388	228.148
8371	13545	13	0.9819	0.000
10242	13545	13	0.9808	0.001
13545	13960	13	0.8863	-111.031
17612	19378	13	0.9474	-0.001
10242	11571	13	0.8772	-55.006
4672	8371	13	0.9443	-0.000
7322	8371	13	0.9803	-0.000
8090	8371	13	0.9347	228.148
8371	10242	13	0.9738	-0.001
8371	13960	13	0.8847	-111.031
14174	27483	13	0.9181	-38.054
28505	29980	13	0.8925	0.000
13033	13290	13	0.9019	384.238
27741	30801	13	0.8638	-681.355
7322	13960	13	0.88	-111.032
10242	13960	13	0.8926	-111.031
4672	10242	13	0.9457	-0.001
7322	10242	13	0.9738	-0.001
8090	10242	13	0.9258	228.147
10242	13025	13	0.8743	-129.043
4672	7322	13	0.9568	-0.000
7322	8090	13	0.9408	-228.148
4672	8090	13	0.9304	-228.148
3003	3221	15	0.7866	336.664
3221	3923	15	0.7299	-465.706
3221	4729	15	0.7769	-336.665
3221	4876	15	0.943	0.000
3221	5844	15	0.9247	-336.664
3221	5987	15	0.7466	-465.706
3221	7003	15	0.7799	-336.665
3221	8932	15	0.8066	-336.665
8068	9899	15	0.8853	-129.043
8068	9938	15	0.8765	-0.001
3003	3923	15	0.8167	-129.042
3003	4729	15	0.8199	-0.001
3003	4876	15	0.826	336.664
3003	5844	15	0.7639	-0.001
3003	5987	15	0.8382	-129.043
3003	7003	15	0.8487	-0.002
3003	8932	15	0.8874	-0.001
3003	10571	15	0.7568	-129.044
3003	10578	15	0.9392	-129.044
9899	9938	15	0.7947	129.042
4287	10741	15	0.7265	-461.246
8037	10741	15	0.9293	-0.002
8214	10741	15	0.8357	-525.265
9788	10741	15	0.7235	-524.269
9896	10741	15	0.7975	129.040
9899	10741	15	0.7241	129.041
10444	10741	15	0.9232	-526.196
8037	9788	15	0.7203	524.267
8214	9788	15	0.7499	-0.996
9788	10444	15	0.7551	1.927
3923	5987	15	0.9237	-0.001
4729	5987	15	0.8772	-129.041
4876	5987	15	0.7647	-465.706
5844	5987	15	0.8045	-129.042
5987	7003	15	0.9065	129.041
5987	8932	15	0.9128	129.042
5987	10578	15	0.848	-0.002
3923	8932	15	0.8998	129.041
4729	8932	15	0.8968	0.000
4876	8932	15	0.8366	-336.665
5844	8932	15	0.7945	-0.000
7003	8932	15	0.9436	0.001
8932	10578	15	0.8493	-129.043
8037	8214	15	0.8423	525.263
8214	10444	15	0.835	0.931
3923	5844	15	0.7952	129.041
4729	5844	15	0.7524	0.000
4876	5844	15	0.9166	-336.665
5844	5984	15	0.7106	-129.042
5844	7003	15	0.7666	-0.001
5844	10578	15	0.7666	-129.044
4287	9896	15	0.9552	-590.286
8037	9896	15	0.816	-129.043
9871	9896	15	0.7738	-787.048
9896	9899	15	0.7465	-0.001
9896	10444	15	0.7215	655.237
9896	11990	15	0.7457	137.059
3923	7003	15	0.9207	129.040
4729	7003	15	0.9278	-0.000
4876	7003	15	0.7907	-336.665
7003	10578	15	0.8048	-129.043
3923	4729	15	0.8967	129.041
3923	4876	15	0.7417	465.706
3923	10578	15	0.8326	-0.002
4287	10444	15	0.7533	64.951
8037	10444	15	0.9321	526.194
9871	10444	15	0.7303	-131.811
9899	10444	15	0.7097	655.237
4287	9871	15	0.8047	196.762
4729	4876	15	0.7698	336.665
4876	10571	15	0.7041	-465.708
4876	10578	15	0.7612	-465.708
4729	10578	15	0.7775	-129.043
5984	10578	15	0.7928	-0.002
10571	10578	15	0.8265	-0.001
4287	8037	15	0.73	-461.243
4287	9899	15	0.7529	-590.287
4862	5984	15	0.7457	241.143
4862	10571	15	0.7214	241.142
4862	10762	15	0.7667	-0.001
4862	11990	15	0.8895	-0.000
5984	10571	15	0.944	-0.001
5984	11990	15	0.7669	-241.143
10571	11990	15	0.7791	-241.142
8037	9899	15	0.7222	-129.043
10762	11990	15	0.7681	0.001
5616	9071	16	0.9752	0.000
2926	6684	17	0.9481	-0.000
4031	6684	17	0.9584	0.001
5378	6684	17	0.9167	-57.020
5516	6684	17	0.9068	42.011
6638	6684	17	0.8896	42.011
6684	6716	17	0.9057	57.021
6684	8357	17	0.977	0.000
6684	9904	17	0.9727	-0.000
2926	4031	17	0.9404	-0.001
2926	5378	17	0.8928	57.020
2926	5516	17	0.8805	-42.012
2926	6638	17	0.8793	-42.011
2926	6716	17	0.8821	57.021
2926	8357	17	0.9634	-0.000
2926	9904	17	0.9457	-0.000
4031	9904	17	0.9438	0.001
5378	9904	17	0.9109	-57.021
5516	9904	17	0.8877	42.011
6638	9904	17	0.8796	42.010
6716	9904	17	0.8867	-57.021
8357	9904	17	0.9755	-0.000
4031	5378	17	0.9173	57.021
4031	5516	17	0.9	-42.010
4031	6638	17	0.8556	-42.010
4031	6716	17	0.8678	57.022
4031	8357	17	0.9328	0.001
5015	6477	17	0.8938	0.000
6477	9058	17	0.9392	-0.000
5015	6716	17	0.8453	-12.001
5015	9058	17	0.9042	0.000
5378	6638	17	0.8609	-99.031
5516	6638	17	0.9365	0.001
6638	6716	17	0.8398	99.032
6638	8357	17	0.8797	42.011
5378	5516	17	0.889	-99.032
5378	6716	17	0.9475	0.001
5378	8357	17	0.9058	-57.020
5516	6716	17	0.8389	99.033
5516	8357	17	0.8794	42.012
6716	8357	17	0.8988	-57.021
40656	41172	18	0.9277	0.669
41141	41172	18	0.9297	5.342
41143	41172	18	0.9419	5.675
41148	41172	18	0.9284	0.334
41164	41172	18	0.9171	11.685
41172	43485	18	0.9294	-11.686
41172	43537	18	0.9193	-11.017
41172	44097	18	0.9239	-6.344
41172	44179	18	0.9161	-5.342
41172	44594	18	0.9174	-0.669
40794	41153	18	0.9241	5.332
41153	41185	18	0.9244	0.334
41153	43561	18	0.9276	0.666
41153	44160	18	0.9054	-4.994
40794	44463	18	0.9138	0.337
43552	44463	18	0.9054	0.671
43561	44463	18	0.9095	-5.661
