sample_name	filename	plate	plate_location	BA_suppl	BSH_strain	timepoint
P7_H10_GCA_ctrl_0h.mzML Peak area	P7_H10_GCA_ctrl_0h.mzML	P7	H10	GCA	ctrl	0h
P4_H10_GCA_ctrl_0h.mzML Peak area	P4_H10_GCA_ctrl_0h.mzML	P4	H10	GCA	ctrl	0h
P4_H8_GCDCA_ctrl_0h.mzML Peak area	P4_H8_GCDCA_ctrl_0h.mzML	P4	H8	GCDCA	ctrl	0h
P7_H8_GCDCA_ctrl_0h.mzML Peak area	P7_H8_GCDCA_ctrl_0h.mzML	P7	H8	GCDCA	ctrl	0h
P4_H7_GDCA_ctrl_0h.mzML Peak area	P4_H7_GDCA_ctrl_0h.mzML	P4	H7	GDCA	ctrl	0h
P7_H7_GDCA_ctrl_0h.mzML Peak area	P7_H7_GDCA_ctrl_0h.mzML	P7	H7	GDCA	ctrl	0h
P7_H6_GLCA_ctrl_0h.mzML Peak area	P7_H6_GLCA_ctrl_0h.mzML	P7	H6	GLCA	ctrl	0h
P4_H6_GLCA_ctrl_0h.mzML Peak area	P4_H6_GLCA_ctrl_0h.mzML	P4	H6	GLCA	ctrl	0h
P4_H9_GUDCA_ctrl_0h.mzML Peak area	P4_H9_GUDCA_ctrl_0h.mzML	P4	H9	GUDCA	ctrl	0h
P7_H9_GUDCA_ctrl_0h.mzML Peak area	P7_H9_GUDCA_ctrl_0h.mzML	P7	H9	GUDCA	ctrl	0h
P4_H5_TCA_ctrl_0h.mzML Peak area	P4_H5_TCA_ctrl_0h.mzML	P4	H5	TCA	ctrl	0h
P7_H5_TCA_ctrl_0h.mzML Peak area	P7_H5_TCA_ctrl_0h.mzML	P7	H5	TCA	ctrl	0h
P1_H5_TCA_ctrl_0h.mzML Peak area	P1_H5_TCA_ctrl_0h.mzML	P1	H5	TCA	ctrl	0h
P7_H3_TCDCA_ctrl_0h.mzML Peak area	P7_H3_TCDCA_ctrl_0h.mzML	P7	H3	TCDCA	ctrl	0h
P4_H3_TCDCA_ctrl_0h.mzML Peak area	P4_H3_TCDCA_ctrl_0h.mzML	P4	H3	TCDCA	ctrl	0h
P1_H2_TDCA_ctrl_0h.mzML Peak area	P1_H2_TDCA_ctrl_0h.mzML	P1	H2	TDCA	ctrl	0h
