sample_name	filename	plate	plate_location	BA_suppl	BSH_strain	timepoint
P5_D9_GUDCA_LCAG-95_BSH1208_24h.mzML Peak area	P5_D9_GUDCA_LCAG-95_BSH1208_24h.mzML	P5	D9	GUDCA	LCAG-95-BSH1208	24h
P3_D9_GUDCA_LCAG-95_BSH1208_24h.mzML Peak area	P3_D9_GUDCA_LCAG-95_BSH1208_24h.mzML	P3	D9	GUDCA	LCAG-95-BSH1208	24h
P6_D9_GUDCA_LCAG-95_BSH1208_48h.mzML Peak area	P6_D9_GUDCA_LCAG-95_BSH1208_48h.mzML	P6	D9	GUDCA	LCAG-95-BSH1208	48h
P4_D9_GUDCA_LCAG-95_BSH1208_0h.mzML Peak area	P4_D9_GUDCA_LCAG-95_BSH1208_0h.mzML	P4	D9	GUDCA	LCAG-95-BSH1208	0h
P9_D9_GUDCA_LCAG-95_BSH1208_48h.mzML Peak area	P9_D9_GUDCA_LCAG-95_BSH1208_48h.mzML	P9	D9	GUDCA	LCAG-95-BSH1208	48h
P7_D5_TCA_LCAG-95_BSH1208_0h.mzML Peak area	P7_D5_TCA_LCAG-95_BSH1208_0h.mzML	P7	D5	TCA	LCAG-95-BSH1208	0h
P3_D5_TCA_LCAG-95_BSH1208_24h.mzML Peak area	P3_D5_TCA_LCAG-95_BSH1208_24h.mzML	P3	D5	TCA	LCAG-95-BSH1208	24h
P6_D5_TCA_LCAG-95_BSH1208_48h.mzML Peak area	P6_D5_TCA_LCAG-95_BSH1208_48h.mzML	P6	D5	TCA	LCAG-95-BSH1208	48h
P2_D5_TCA_LCAG-95_BSH1208_48h.mzML Peak area	P2_D5_TCA_LCAG-95_BSH1208_48h.mzML	P2	D5	TCA	LCAG-95-BSH1208	48h
P5_D5_TCA_LCAG-95_BSH1208_24h.mzML Peak area	P5_D5_TCA_LCAG-95_BSH1208_24h.mzML	P5	D5	TCA	LCAG-95-BSH1208	24h
P9_D5_TCA_LCAG-95_BSH1208_48h.mzML Peak area	P9_D5_TCA_LCAG-95_BSH1208_48h.mzML	P9	D5	TCA	LCAG-95-BSH1208	48h
P4_D5_TCA_LCAG-95_BSH1208_0h.mzML Peak area	P4_D5_TCA_LCAG-95_BSH1208_0h.mzML	P4	D5	TCA	LCAG-95-BSH1208	0h
P1_D5_TCA_LCAG-95_BSH1208_0h.mzML Peak area	P1_D5_TCA_LCAG-95_BSH1208_0h.mzML	P1	D5	TCA	LCAG-95-BSH1208	0h
P8_D5_TCA_LCAG-95_BSH1208_24h.mzML Peak area	P8_D5_TCA_LCAG-95_BSH1208_24h.mzML	P8	D5	TCA	LCAG-95-BSH1208	24h
P6_D3_TCDCA_LCAG-95_BSH1208_48h.mzML Peak area	P6_D3_TCDCA_LCAG-95_BSH1208_48h.mzML	P6	D3	TCDCA	LCAG-95-BSH1208	48h
P9_D3_TCDCA_LCAG-95_BSH1208_48h.mzML Peak area	P9_D3_TCDCA_LCAG-95_BSH1208_48h.mzML	P9	D3	TCDCA	LCAG-95-BSH1208	48h
P7_D3_TCDCA_LCAG-95_BSH1208_0h.mzML Peak area	P7_D3_TCDCA_LCAG-95_BSH1208_0h.mzML	P7	D3	TCDCA	LCAG-95-BSH1208	0h
P3_D3_TCDCA_LCAG-95_BSH1208_24h.mzML Peak area	P3_D3_TCDCA_LCAG-95_BSH1208_24h.mzML	P3	D3	TCDCA	LCAG-95-BSH1208	24h
P5_D3_TCDCA_LCAG-95_BSH1208_24h.mzML Peak area	P5_D3_TCDCA_LCAG-95_BSH1208_24h.mzML	P5	D3	TCDCA	LCAG-95-BSH1208	24h
P4_D3_TCDCA_LCAG-95_BSH1208_0h.mzML Peak area	P4_D3_TCDCA_LCAG-95_BSH1208_0h.mzML	P4	D3	TCDCA	LCAG-95-BSH1208	0h
P8_D3_TCDCA_LCAG-95_BSH1208_24h.mzML Peak area	P8_D3_TCDCA_LCAG-95_BSH1208_24h.mzML	P8	D3	TCDCA	LCAG-95-BSH1208	24h
P6_D2_TDCA_LCAG-95_BSH1208_48h.mzML Peak area	P6_D2_TDCA_LCAG-95_BSH1208_48h.mzML	P6	D2	TDCA	LCAG-95-BSH1208	48h
P3_D2_TDCA_LCAG-95_BSH1208_24h.mzML Peak area	P3_D2_TDCA_LCAG-95_BSH1208_24h.mzML	P3	D2	TDCA	LCAG-95-BSH1208	24h
P1_D2_TDCA_LCAG-95_BSH1208_0h.mzML Peak area	P1_D2_TDCA_LCAG-95_BSH1208_0h.mzML	P1	D2	TDCA	LCAG-95-BSH1208	0h
P2_D2_TDCA_LCAG-95_BSH1208_48h.mzML Peak area	P2_D2_TDCA_LCAG-95_BSH1208_48h.mzML	P2	D2	TDCA	LCAG-95-BSH1208	48h
P4_D2_TDCA_LCAG-95_BSH1208_0h.mzML Peak area	P4_D2_TDCA_LCAG-95_BSH1208_0h.mzML	P4	D2	TDCA	LCAG-95-BSH1208	0h
P7_D2_TDCA_LCAG-95_BSH1208_0h.mzML Peak area	P7_D2_TDCA_LCAG-95_BSH1208_0h.mzML	P7	D2	TDCA	LCAG-95-BSH1208	0h
P5_D2_TDCA_LCAG-95_BSH1208_24h.mzML Peak area	P5_D2_TDCA_LCAG-95_BSH1208_24h.mzML	P5	D2	TDCA	LCAG-95-BSH1208	24h
P9_D2_TDCA_LCAG-95_BSH1208_48h.mzML Peak area	P9_D2_TDCA_LCAG-95_BSH1208_48h.mzML	P9	D2	TDCA	LCAG-95-BSH1208	48h
P8_D2_TDCA_LCAG-95_BSH1208_24h.mzML Peak area	P8_D2_TDCA_LCAG-95_BSH1208_24h.mzML	P8	D2	TDCA	LCAG-95-BSH1208	24h
P5_D1_TLCA_LCAG-95_BSH1208_24h.mzML Peak area	P5_D1_TLCA_LCAG-95_BSH1208_24h.mzML	P5	D1	TLCA	LCAG-95-BSH1208	24h
P8_D1_TLCA_LCAG-95_BSH1208_24h.mzML Peak area	P8_D1_TLCA_LCAG-95_BSH1208_24h.mzML	P8	D1	TLCA	LCAG-95-BSH1208	24h
P9_D1_TLCA_LCAG-95_BSH1208_48h.mzML Peak area	P9_D1_TLCA_LCAG-95_BSH1208_48h.mzML	P9	D1	TLCA	LCAG-95-BSH1208	48h
P4_D1_TLCA_LCAG-95_BSH1208_0h.mzML Peak area	P4_D1_TLCA_LCAG-95_BSH1208_0h.mzML	P4	D1	TLCA	LCAG-95-BSH1208	0h
P6_D1_TLCA_LCAG-95_BSH1208_48h.mzML Peak area	P6_D1_TLCA_LCAG-95_BSH1208_48h.mzML	P6	D1	TLCA	LCAG-95-BSH1208	48h
P7_D1_TLCA_LCAG-95_BSH1208_0h.mzML Peak area	P7_D1_TLCA_LCAG-95_BSH1208_0h.mzML	P7	D1	TLCA	LCAG-95-BSH1208	0h
P3_D1_TLCA_LCAG-95_BSH1208_24h.mzML Peak area	P3_D1_TLCA_LCAG-95_BSH1208_24h.mzML	P3	D1	TLCA	LCAG-95-BSH1208	24h
P8_D4_TUDCA_LCAG-95_BSH1208_24h.mzML Peak area	P8_D4_TUDCA_LCAG-95_BSH1208_24h.mzML	P8	D4	TUDCA	LCAG-95-BSH1208	24h
P4_D4_TUDCA_LCAG-95_BSH1208_0h.mzML Peak area	P4_D4_TUDCA_LCAG-95_BSH1208_0h.mzML	P4	D4	TUDCA	LCAG-95-BSH1208	0h
P6_D4_TUDCA_LCAG-95_BSH1208_48h.mzML Peak area	P6_D4_TUDCA_LCAG-95_BSH1208_48h.mzML	P6	D4	TUDCA	LCAG-95-BSH1208	48h
P9_D4_TUDCA_LCAG-95_BSH1208_48h.mzML Peak area	P9_D4_TUDCA_LCAG-95_BSH1208_48h.mzML	P9	D4	TUDCA	LCAG-95-BSH1208	48h
P5_D4_TUDCA_LCAG-95_BSH1208_24h.mzML Peak area	P5_D4_TUDCA_LCAG-95_BSH1208_24h.mzML	P5	D4	TUDCA	LCAG-95-BSH1208	24h
P7_D4_TUDCA_LCAG-95_BSH1208_0h.mzML Peak area	P7_D4_TUDCA_LCAG-95_BSH1208_0h.mzML	P7	D4	TUDCA	LCAG-95-BSH1208	0h
P3_D4_TUDCA_LCAG-95_BSH1208_24h.mzML Peak area	P3_D4_TUDCA_LCAG-95_BSH1208_24h.mzML	P3	D4	TUDCA	LCAG-95-BSH1208	24h
P5_C10_GCA_Lgasseri_BSH_24h.mzML Peak area	P5_C10_GCA_Lgasseri_BSH_24h.mzML	P5	C10	GCA	Lgasseri-BSH	24h
P3_C10_GCA_Lgasseri_BSH_24h.mzML Peak area	P3_C10_GCA_Lgasseri_BSH_24h.mzML	P3	C10	GCA	Lgasseri-BSH	24h
P4_C10_GCA_Lgasseri_BSH_0h.mzML Peak area	P4_C10_GCA_Lgasseri_BSH_0h.mzML	P4	C10	GCA	Lgasseri-BSH	0h
P7_C10_GCA_Lgasseri_BSH_0h.mzML Peak area	P7_C10_GCA_Lgasseri_BSH_0h.mzML	P7	C10	GCA	Lgasseri-BSH	0h
P8_C10_GCA_Lgasseri_BSH_24h.mzML Peak area	P8_C10_GCA_Lgasseri_BSH_24h.mzML	P8	C10	GCA	Lgasseri-BSH	24h
P9_C10_GCA_Lgasseri_BSH_48h.mzML Peak area	P9_C10_GCA_Lgasseri_BSH_48h.mzML	P9	C10	GCA	Lgasseri-BSH	48h
P8_C8_GCDCA_Lgasseri_BSH_24h.mzML Peak area	P8_C8_GCDCA_Lgasseri_BSH_24h.mzML	P8	C8	GCDCA	Lgasseri-BSH	24h
P9_C8_GCDCA_Lgasseri_BSH_48h.mzML Peak area	P9_C8_GCDCA_Lgasseri_BSH_48h.mzML	P9	C8	GCDCA	Lgasseri-BSH	48h
P5_C8_GCDCA_Lgasseri_BSH_24h.mzML Peak area	P5_C8_GCDCA_Lgasseri_BSH_24h.mzML	P5	C8	GCDCA	Lgasseri-BSH	24h
P7_C8_GCDCA_Lgasseri_BSH_0h.mzML Peak area	P7_C8_GCDCA_Lgasseri_BSH_0h.mzML	P7	C8	GCDCA	Lgasseri-BSH	0h
P3_C8_GCDCA_Lgasseri_BSH_24h.mzML Peak area	P3_C8_GCDCA_Lgasseri_BSH_24h.mzML	P3	C8	GCDCA	Lgasseri-BSH	24h
P6_C8_GCDCA_Lgasseri_BSH_48h.mzML Peak area	P6_C8_GCDCA_Lgasseri_BSH_48h.mzML	P6	C8	GCDCA	Lgasseri-BSH	48h
P4_C8_GCDCA_Lgasseri_BSH_0h.mzML Peak area	P4_C8_GCDCA_Lgasseri_BSH_0h.mzML	P4	C8	GCDCA	Lgasseri-BSH	0h
P6_C7_GDCA_Lgasseri_BSH_48h.mzML Peak area	P6_C7_GDCA_Lgasseri_BSH_48h.mzML	P6	C7	GDCA	Lgasseri-BSH	48h
P7_C7_GDCA_Lgasseri_BSH_0h.mzML Peak area	P7_C7_GDCA_Lgasseri_BSH_0h.mzML	P7	C7	GDCA	Lgasseri-BSH	0h
P3_C7_GDCA_Lgasseri_BSH_24h.mzML Peak area	P3_C7_GDCA_Lgasseri_BSH_24h.mzML	P3	C7	GDCA	Lgasseri-BSH	24h
P5_C7_GDCA_Lgasseri_BSH_24h.mzML Peak area	P5_C7_GDCA_Lgasseri_BSH_24h.mzML	P5	C7	GDCA	Lgasseri-BSH	24h
P8_C7_GDCA_Lgasseri_BSH_24h.mzML Peak area	P8_C7_GDCA_Lgasseri_BSH_24h.mzML	P8	C7	GDCA	Lgasseri-BSH	24h
P4_C7_GDCA_Lgasseri_BSH_0h.mzML Peak area	P4_C7_GDCA_Lgasseri_BSH_0h.mzML	P4	C7	GDCA	Lgasseri-BSH	0h
P9_C7_GDCA_Lgasseri_BSH_48h.mzML Peak area	P9_C7_GDCA_Lgasseri_BSH_48h.mzML	P9	C7	GDCA	Lgasseri-BSH	48h
P6_C6_GLCA_Lgasseri_BSH_48h.mzML Peak area	P6_C6_GLCA_Lgasseri_BSH_48h.mzML	P6	C6	GLCA	Lgasseri-BSH	48h
P4_C6_GLCA_Lgasseri_BSH_0h.mzML Peak area	P4_C6_GLCA_Lgasseri_BSH_0h.mzML	P4	C6	GLCA	Lgasseri-BSH	0h
P7_C6_GLCA_Lgasseri_BSH_0h.mzML Peak area	P7_C6_GLCA_Lgasseri_BSH_0h.mzML	P7	C6	GLCA	Lgasseri-BSH	0h
P3_C6_GLCA_Lgasseri_BSH_24h.mzML Peak area	P3_C6_GLCA_Lgasseri_BSH_24h.mzML	P3	C6	GLCA	Lgasseri-BSH	24h
P5_C6_GLCA_Lgasseri_BSH_24h.mzML Peak area	P5_C6_GLCA_Lgasseri_BSH_24h.mzML	P5	C6	GLCA	Lgasseri-BSH	24h
P8_C6_GLCA_Lgasseri_BSH_24h.mzML Peak area	P8_C6_GLCA_Lgasseri_BSH_24h.mzML	P8	C6	GLCA	Lgasseri-BSH	24h
P9_C6_GLCA_Lgasseri_BSH_48h.mzML Peak area	P9_C6_GLCA_Lgasseri_BSH_48h.mzML	P9	C6	GLCA	Lgasseri-BSH	48h
P4_C9_GUDCA_Lgasseri_BSH_0h.mzML Peak area	P4_C9_GUDCA_Lgasseri_BSH_0h.mzML	P4	C9	GUDCA	Lgasseri-BSH	0h
P8_C9_GUDCA_Lgasseri_BSH_24h.mzML Peak area	P8_C9_GUDCA_Lgasseri_BSH_24h.mzML	P8	C9	GUDCA	Lgasseri-BSH	24h
P9_C9_GUDCA_Lgasseri_BSH_48h.mzML Peak area	P9_C9_GUDCA_Lgasseri_BSH_48h.mzML	P9	C9	GUDCA	Lgasseri-BSH	48h
P5_C9_GUDCA_Lgasseri_BSH_24h_20240409223045.mzML Peak area	P5_C9_GUDCA_Lgasseri_BSH_24h_20240409223045.mzML	P5	C9	GUDCA	Lgasseri-BSH	24h
P3_C9_GUDCA_Lgasseri_BSH_24h.mzML Peak area	P3_C9_GUDCA_Lgasseri_BSH_24h.mzML	P3	C9	GUDCA	Lgasseri-BSH	24h
P6_C9_GUDCA_Lgasseri_BSH_48h.mzML Peak area	P6_C9_GUDCA_Lgasseri_BSH_48h.mzML	P6	C9	GUDCA	Lgasseri-BSH	48h
P7_C9_GUDCA_Lgasseri_BSH_0h.mzML Peak area	P7_C9_GUDCA_Lgasseri_BSH_0h.mzML	P7	C9	GUDCA	Lgasseri-BSH	0h
P3_C5_TCA_Lgasseri_BSH_24h.mzML Peak area	P3_C5_TCA_Lgasseri_BSH_24h.mzML	P3	C5	TCA	Lgasseri-BSH	24h
P4_C5_TCA_Lgasseri_BSH_0h.mzML Peak area	P4_C5_TCA_Lgasseri_BSH_0h.mzML	P4	C5	TCA	Lgasseri-BSH	0h
P2_C5_TCA_Lgasseri_BSH_48h.mzML Peak area	P2_C5_TCA_Lgasseri_BSH_48h.mzML	P2	C5	TCA	Lgasseri-BSH	48h
P7_C5_TCA_Lgasseri_BSH_0h.mzML Peak area	P7_C5_TCA_Lgasseri_BSH_0h.mzML	P7	C5	TCA	Lgasseri-BSH	0h
P8_C5_TCA_Lgasseri_BSH_24h.mzML Peak area	P8_C5_TCA_Lgasseri_BSH_24h.mzML	P8	C5	TCA	Lgasseri-BSH	24h
P1_C5_TCA_Lgasseri_BSH_0h.mzML Peak area	P1_C5_TCA_Lgasseri_BSH_0h.mzML	P1	C5	TCA	Lgasseri-BSH	0h
P9_C5_TCA_Lgasseri_BSH_48h.mzML Peak area	P9_C5_TCA_Lgasseri_BSH_48h.mzML	P9	C5	TCA	Lgasseri-BSH	48h
P6_C5_TCA_Lgasseri_BSH_48h.mzML Peak area	P6_C5_TCA_Lgasseri_BSH_48h.mzML	P6	C5	TCA	Lgasseri-BSH	48h
P5_C5_TCA_Lgasseri_BSH_24h.mzML Peak area	P5_C5_TCA_Lgasseri_BSH_24h.mzML	P5	C5	TCA	Lgasseri-BSH	24h
P3_C3_TCDCA_Lgasseri_BSH_24h.mzML Peak area	P3_C3_TCDCA_Lgasseri_BSH_24h.mzML	P3	C3	TCDCA	Lgasseri-BSH	24h
P6_C3_TCDCA_Lgasseri_BSH_48h.mzML Peak area	P6_C3_TCDCA_Lgasseri_BSH_48h.mzML	P6	C3	TCDCA	Lgasseri-BSH	48h
P4_C3_TCDCA_Lgasseri_BSH_0h.mzML Peak area	P4_C3_TCDCA_Lgasseri_BSH_0h.mzML	P4	C3	TCDCA	Lgasseri-BSH	0h
P8_C3_TCDCA_Lgasseri_BSH_24h.mzML Peak area	P8_C3_TCDCA_Lgasseri_BSH_24h.mzML	P8	C3	TCDCA	Lgasseri-BSH	24h
P9_C3_TCDCA_Lgasseri_BSH_48h.mzML Peak area	P9_C3_TCDCA_Lgasseri_BSH_48h.mzML	P9	C3	TCDCA	Lgasseri-BSH	48h
P5_C3_TCDCA_Lgasseri_BSH_24h.mzML Peak area	P5_C3_TCDCA_Lgasseri_BSH_24h.mzML	P5	C3	TCDCA	Lgasseri-BSH	24h
P7_C3_TCDCA_Lgasseri_BSH_0h.mzML Peak area	P7_C3_TCDCA_Lgasseri_BSH_0h.mzML	P7	C3	TCDCA	Lgasseri-BSH	0h
P6_C2_TDCA_Lgasseri_BSH_48h.mzML Peak area	P6_C2_TDCA_Lgasseri_BSH_48h.mzML	P6	C2	TDCA	Lgasseri-BSH	48h
P1_C2_TDCA_Lgasseri_BSH_0h.mzML Peak area	P1_C2_TDCA_Lgasseri_BSH_0h.mzML	P1	C2	TDCA	Lgasseri-BSH	0h
P3_C2_TDCA_Lgasseri_BSH_24h.mzML Peak area	P3_C2_TDCA_Lgasseri_BSH_24h.mzML	P3	C2	TDCA	Lgasseri-BSH	24h
P5_C2_TDCA_Lgasseri_BSH_24h.mzML Peak area	P5_C2_TDCA_Lgasseri_BSH_24h.mzML	P5	C2	TDCA	Lgasseri-BSH	24h
P2_C2_TDCA_Lgasseri_BSH_48h.mzML Peak area	P2_C2_TDCA_Lgasseri_BSH_48h.mzML	P2	C2	TDCA	Lgasseri-BSH	48h
P7_C2_TDCA_Lgasseri_BSH_0h.mzML Peak area	P7_C2_TDCA_Lgasseri_BSH_0h.mzML	P7	C2	TDCA	Lgasseri-BSH	0h
P9_C2_TDCA_Lgasseri_BSH_48h.mzML Peak area	P9_C2_TDCA_Lgasseri_BSH_48h.mzML	P9	C2	TDCA	Lgasseri-BSH	48h
P4_C2_TDCA_Lgasseri_BSH_0h.mzML Peak area	P4_C2_TDCA_Lgasseri_BSH_0h.mzML	P4	C2	TDCA	Lgasseri-BSH	0h
P8_C2_TDCA_Lgasseri_BSH_24h.mzML Peak area	P8_C2_TDCA_Lgasseri_BSH_24h.mzML	P8	C2	TDCA	Lgasseri-BSH	24h
P6_C1_TLCA_Lgasseri_BSH_48h.mzML Peak area	P6_C1_TLCA_Lgasseri_BSH_48h.mzML	P6	C1	TLCA	Lgasseri-BSH	48h
P8_C1_TLCA_Lgasseri_BSH_24h.mzML Peak area	P8_C1_TLCA_Lgasseri_BSH_24h.mzML	P8	C1	TLCA	Lgasseri-BSH	24h
P4_C1_TLCA_Lgasseri_BSH_0h.mzML Peak area	P4_C1_TLCA_Lgasseri_BSH_0h.mzML	P4	C1	TLCA	Lgasseri-BSH	0h
P9_C1_TLCA_Lgasseri_BSH_48h.mzML Peak area	P9_C1_TLCA_Lgasseri_BSH_48h.mzML	P9	C1	TLCA	Lgasseri-BSH	48h
P7_C1_TLCA_Lgasseri_BSH_0h.mzML Peak area	P7_C1_TLCA_Lgasseri_BSH_0h.mzML	P7	C1	TLCA	Lgasseri-BSH	0h
P3_C1_TLCA_Lgasseri_BSH_24h.mzML Peak area	P3_C1_TLCA_Lgasseri_BSH_24h.mzML	P3	C1	TLCA	Lgasseri-BSH	24h
P5_C1_TLCA_Lgasseri_BSH_24h.mzML Peak area	P5_C1_TLCA_Lgasseri_BSH_24h.mzML	P5	C1	TLCA	Lgasseri-BSH	24h
P4_C4_TUDCA_Lgasseri_BSH_0h.mzML Peak area	P4_C4_TUDCA_Lgasseri_BSH_0h.mzML	P4	C4	TUDCA	Lgasseri-BSH	0h
P3_C4_TUDCA_Lgasseri_BSH_24h.mzML Peak area	P3_C4_TUDCA_Lgasseri_BSH_24h.mzML	P3	C4	TUDCA	Lgasseri-BSH	24h
P6_C4_TUDCA_Lgasseri_BSH_48h.mzML Peak area	P6_C4_TUDCA_Lgasseri_BSH_48h.mzML	P6	C4	TUDCA	Lgasseri-BSH	48h
P9_C4_TUDCA_Lgasseri_BSH_48h.mzML Peak area	P9_C4_TUDCA_Lgasseri_BSH_48h.mzML	P9	C4	TUDCA	Lgasseri-BSH	48h
P8_C4_TUDCA_Lgasseri_BSH_24h.mzML Peak area	P8_C4_TUDCA_Lgasseri_BSH_24h.mzML	P8	C4	TUDCA	Lgasseri-BSH	24h
P7_C4_TUDCA_Lgasseri_BSH_0h.mzML Peak area	P7_C4_TUDCA_Lgasseri_BSH_0h.mzML	P7	C4	TUDCA	Lgasseri-BSH	0h
P5_C4_TUDCA_Lgasseri_BSH_24h.mzML Peak area	P5_C4_TUDCA_Lgasseri_BSH_24h.mzML	P5	C4	TUDCA	Lgasseri-BSH	24h
P6_C10_GCA_Lgasseri_BSH_48h.mzML Peak area	P6_C10_GCA_Lgasseri_BSH_48h.mzML	P6	C10	GCA	Lgasseri-BSH	48h
Blank_74.mzML Peak area	Blank_74.mzML					
Blank_1.mzML Peak area	Blank_1.mzML					
Blank_36.mzML Peak area	Blank_36.mzML					
Blank_69.mzML Peak area	Blank_69.mzML					
Blank_9.mzML Peak area	Blank_9.mzML					
Extraction_blank.mzML Peak area	Extraction_blank.mzML					
Blank_14.mzML Peak area	Blank_14.mzML					
Blank_53.mzML Peak area	Blank_53.mzML					
