FeatureID	Name	GO_Term	condition	datatype	JTK_pvalue	JTK_BH.Q	JTK_period	JTK_adjphase	JTK_amplitude	LS_pvalue	LS_BH.Q	LS_period	LS_adjphase	LS_amplitude	meta2d_pvalue	meta2d_BH.Q	meta2d_period	meta2d_phase	meta2d_Base	meta2d_AMP	meta2d_rAMP
PF02965.20	Vitamin B12 dependent methionine synthase, activation domain	methionine biosynthetic process	NA	metaG	0.000396590687557074	0.25691774834934	20	9	0.0948875215192716	0.130813164069078	1	20	8.98601704404971	0.564201845120032	0.000563750947557673	0.25932543587653	20	8.99300852202486	0.152834638682742	0.237947523688986	0.237947523688986
PF18202.4	T-Q ester bond containing domain	NA	FT	metaT	0.000476190476190476	0.195503485344755	24	7	0.0110513047454702	0.206120176766176	1	21.203007518797	5.31842624912613	0.0526359701541362	0.00100400043915272	0.349248724190982	22.6015037593985	6.13066066435787	0.0174461833185522	0.0340946705623795	0.0340946705623795
PF10543.12	ORF6N domain	NA	NA	metaT	0.000486119768420189	0.147962704512895	20	7	0.0930010504802224	0.0177887586376777	1	20	6.51224167878609	0.20623169161654	0.000109461750913642	0.133035097959998	20	6.75612083939304	0.109588814227314	0.0986657918235291	0.0986657918235291
PF04560.23	RNA polymerase Rpb2, domain 7	transcription, DNA-templated	NA	metaT	0.000486119768420189	0.147962704512895	24	17	0.0112652013682974	0.0782528959441859	1	23.9325842696629	9.4533835253273	1.01307006386883	0.000425171069071806	0.164563584201917	23.9662921348314	13.2214108727582	1.01155805799633	0.00654328452162898	0.00646852098098033
PF10633.12	NPCBM-associated, NEW3 domain of alpha-galactosidase	NA	NA	metaT	0.000486119768420189	0.147962704512895	20	7	0.0116974628598604	0.337756947490326	1	20	8.73387787528738	0.0692708720296569	0.00159502436761416	0.209182347214117	20	7.86693893764369	0.0221857698581003	0.0298972517711311	0.0298972517711311
PF13289.9	SIR2-like domain	NA	NA	metaT	0.000486119768420189	0.147962704512895	24	3	0.0579981888322833	0.263578904474547	1	23.5359116022099	3.29960799830511	0.189743264765743	0.00127649887372983	0.209182347214117	23.767955801105	3.1515669099527	0.0962098981252696	0.0950909948927366	0.0950909948927366
PF02522.17	Aminoglycoside 3-N-acetyltransferase	response to antibiotic	NA	metaT	0.000486119768420189	0.147962704512895	24	5	0.128948602640426	0.0458493386291831	1	24	1.94139263756075	0.304925105793149	0.000261027958968763	0.153108977427015	24	3.47069631878038	0.136223351920293	0.121631887595506	0.121631887595506
PF17836.4	PglD N-terminal domain	NA	NA	metaT	0.000486119768420189	0.147962704512895	24	7	0.0427779434587386	0.0399657240576717	1	21.3533834586466	5.34359648269678	0.122856891928695	0.000230199788122554	0.153108977427015	22.6766917293233	6.14439201424935	0.0504374430372623	0.0677274907808198	0.0677274907808198
PF03069.18	Acetamidase/Formamidase family	NA	NA	metaT	0.000486119768420189	0.147962704512895	24	7	0.0129490518724666	0.0272237059219564	1	23.1521739130435	5.50181078908348	0.028087116704228	0.000161887626974666	0.133035097959998	23.5760869565217	6.23945343269042	0.0126919612118465	0.0130304218225053	0.0130304218225053
PF12636.10	Protein of unknown function (DUF3781)	NA	NA	metaT	0.000486119768420189	0.147962704512895	20	5	0.168511009871102	0.295139510006347	1	21.3533834586466	5.00305890841369	0.572658053342033	0.00141311908690667	0.209182347214117	20.6766917293233	5.00684209964035	0.273872076404996	0.272457330485132	0.272457330485132
PF02281.19	Transposase Tn5 dimerisation domain	NA	NA	metaT	0.000486119768420189	0.147962704512895	24	21	0.0826680339003834	0.327487094230431	1	24	20.9999263197062	0.72579772733675	0.00155144168168897	0.209182347214117	24	20.9999631598531	0.18148506079429	0.182777290190297	0.182777290190297
PF14706.9	Transposase DNA-binding	NA	NA	metaT	0.000486119768420189	0.147962704512895	24	21	0.0802473671106406	0.334455527705677	1	24	20.9999263197062	0.741197769412084	0.00158103074968063	0.209182347214117	24	20.9999631598531	0.186200511338269	0.185016697954237	0.185016697954237
PF15655.9	NTF2 fold immunity protein	NA	NA	metaT	0.000486119768420189	0.147962704512895	20	5	0.0516831769251557	0.0226730234356709	1	21.6243654822335	3.57736264715056	0.112138770923195	0.000136842706521145	0.133035097959998	20.8121827411168	4.32302364701956	0.0646209093376784	0.0534130768877641	0.0534130768877641
PF13624.9	SurA N-terminal domain	NA	NA	metaG	0.000486119768420189	0.25691774834934	20	11	0.128429999703091	0.154624712839787	1	20	9.04915565782209	0.891386331206838	0.000788929402121941	0.27218064373207	20	10.024577828911	0.246583161217308	0.34470939282899	0.34470939282899
PF12995.10	Domain of unknown function, E. rectale Gene description (DUF3879)	NA	NA	metaG	0.000486119768420189	0.25691774834934	20	17	2.24714579516023	0.0568497805036446	1	20	16.4397650228937	4.31629503244225	0.00031771219272847	0.25932543587653	20	16.7198825114468	2.30550525287315	2.4150223435831	1.04750242515105
PF17806.4	Sarcosine oxidase A3 domain	NA	NA	metaT	0.000620574271375217	0.183163436460443	24	5	0.00765158768910599	0.03378752782035	1	22.303664921466	6.00920524925607	0.0156424254760938	0.000246842504521116	0.153108977427015	23.151832460733	5.53051137571724	0.00614866237749467	0.00949152315687007	0.00949152315687007
PF05173.17	Dihydrodipicolinate reductase, C-terminus	lysine biosynthetic process via diaminopimelate	NA	metaG	0.000620574271375217	0.25691774834934	20	9	0.365944448275224	0.0648548117157475	1	20	9.00150955648909	0.703585116892671	0.000447568063656312	0.25932543587653	20	9.00075477824454	0.287768085113546	0.334010570409162	0.334010570409162
PF02838.18	Glycosyl hydrolase family 20, domain 2	NA	NA	metaG	0.000620574271375217	0.25691774834934	24	11	0.358297949993875	0.195494559862269	1	20	9.10965243758008	4.78687118941763	0.00121526203663802	0.308487033232387	22	10.0519755073357	1.14730012760256	1.79921994467713	1.56822081806689
PF01612.23	3'-5' exonuclease	nucleobase-containing compound metabolic process	NA	metaG	0.000620574271375217	0.25691774834934	20	11	0.15742108840566	0.0784116370629746	1	20	9.12015413599824	0.948511713142773	0.000531888014133286	0.25932543587653	20	10.0600770679991	0.282734045647438	0.383064092086408	0.383064092086408
PF01844.26	HNH endonuclease	NA	FA	metaT	0.000702527924750147	1	24	9	0.0156069742701157	0.25310091250462	1	22.3809523809524	5.35521369220262	0.0769348953764358	0.00171316685955991	1	23.1904761904762	7.12267074114266	0.038458444801891	0.0311253764862898	0.0311253764862898
PF13581.9	Histidine kinase-like ATPase domain	NA	FA	metaT	0.000702527924750147	1	20	5	0.0109535543936201	0.255409939275282	1	20	5.0951398623951	0.0767481170160887	0.00172716646100546	1	20	5.04756993119755	0.0527919376733185	0.0373154188585509	0.0373154188585509
