CLUSTERID1	CLUSTERID2	DeltaMZ	MinRatio	Cosine	AlignScore2	AlignScore3
34694	35035	-2.016	0.000	0.8547	0.4147	1
34694	36773	-2.007	0.000	0.7350	0.3442	1
34696	37204	-2.014	0.000	0.8881	0.5487	1
34706	36143	-0.985	0.000	0.8981	0.6282	1
34706	40234	-2.983	0.000	0.8788	0.6079	1
34714	35423	-0.984	0.000	0.9045	0.8658	1
34714	36141	-0.982	0.000	0.8988	0.8066	1
34714	36573	-1.019	0.000	0.7346	0.7602	1
34714	40056	-2.982	0.000	0.8372	0.6418	1
34714	42783	-4.019	0.000	0.7089	0.7416	1
34714	42995	-4.994	0.000	0.7156	0.6786	1
34718	36147	-0.984	0.000	0.8093	0.6530	1
34718	36633	-2.982	0.000	0.7218	0.3752	1
34718	38140	1.943	0.000	0.7588	0.5601	1
34732	35451	-0.983	0.000	0.8089	0.6488	1
34732	36138	-0.984	0.000	0.8091	0.6614	1
34732	36623	-2.980	0.000	0.7474	0.6469	1
34732	38968	-2.015	0.000	0.9032	0.6651	1
34732	40181	-2.982	0.000	0.7277	0.5162	1
34744	35422	-0.984	0.000	0.8907	0.8311	1
34744	35613	9.986	0.000	0.7293	0.7653	1
34744	36135	-0.983	0.000	0.9186	0.8927	1
34744	36326	-3.018	0.000	0.7888	0.7105	1
34744	36514	9.985	0.000	0.7370	0.7836	1
34744	36626	-2.982	0.000	0.8567	0.8378	1
34744	38151	1.943	0.000	0.8110	0.6658	1
34744	38363	-2.052	0.000	0.7442	0.7865	1
34744	40017	-2.982	0.000	0.8754	0.8354	1
34744	41342	-2.052	0.000	0.7233	0.6970	1
34763	36481	-1.961	0.000	0.7231	0.5932	1
34766	37854	2.014	0.000	0.7620	0.3494	1
34766	38353	-0.000	0.000	0.9024	0.6212	1
34766	38629	-8.970	0.000	0.7654	0.7983	1
34823	36901	0.000	0.000	0.7455	0.5179	1
34823	37201	-4.021	0.000	0.7438	0.2764	1
34823	45152	8.953	0.000	0.7328	0.4135	1
34829	35077	-0.109	0.000	0.7566	0.4637	1
34850	37745	0.003	0.000	0.9413	0.8554	1
34862	35587	3.046	0.000	0.7571	0.3890	1
34862	36095	0.001	0.000	0.9211	0.8047	1
34862	36851	3.048	0.000	0.8774	0.7617	1
34888	38465	1.978	0.000	0.7923	0.5695	1
34889	36102	0.000	0.000	0.9081	0.7586	1
34890	35199	-0.000	0.000	0.8676	0.8269	1
34908	34975	0.088	0.000	0.9330	0.7449	1
34908	35022	2.017	0.000	0.7766	0.3031	1
34908	35924	-2.016	0.000	0.8224	0.7050	1
34908	36396	6.010	0.000	0.7690	0.4935	1
34929	34948	1.002	0.000	0.7794	0.4142	1
34929	35062	-2.007	0.000	0.7575	0.6450	1
34941	39398	-2.016	0.000	0.7327	0.2883	1
34941	43646	-4.033	0.000	0.8028	0.4333	1
34946	35592	-2.016	0.000	0.8057	0.4231	1
34946	39320	-2.015	0.000	0.7813	0.3204	1
34948	35844	-2.016	0.000	0.9300	0.8750	1
34948	36247	0.000	0.000	0.7823	0.7304	1
34948	36392	6.011	0.000	0.8503	0.7434	1
34948	36628	-1.969	0.000	0.8551	0.7840	1
34949	39672	-1.998	0.000	0.8255	0.5148	1
34949	44995	0.984	0.000	0.9069	0.7519	1
34957	40495	-2.016	0.000	0.8262	0.5089	1
34970	41334	-0.073	0.000	0.9145	0.6587	1
34975	35022	1.929	0.000	0.8088	0.3899	1
34988	35848	-2.016	0.000	0.9189	0.8630	1
34988	36325	0.000	0.000	0.7069	0.6263	1
34988	36342	-2.015	0.000	0.9239	0.8621	1
34988	36410	6.011	0.000	0.8484	0.7220	1
35008	35194	0.000	0.000	0.8950	0.7352	1
35009	35195	0.001	0.000	0.9036	0.6125	1
35009	36974	-2.999	0.000	0.7224	0.3356	1
35035	36769	2.015	0.000	0.7469	0.6423	1
35038	35644	-2.016	0.000	0.8354	0.7509	1
35049	36352	-2.015	0.000	0.9324	0.7799	1
35049	41594	-0.035	0.000	0.9044	0.5419	1
35105	39217	3.048	0.000	0.7969	0.6830	1
35109	38051	0.002	0.000	0.7915	0.3781	1
35195	36974	-3.000	0.000	0.7365	0.4604	1
35199	35496	2.016	0.000	0.8317	0.7222	1
35219	45903	0.984	0.000	0.9116	0.7045	1
35226	37584	-1.032	0.000	0.7226	0.5009	1
35226	38561	0.000	0.000	0.7613	0.5750	1
35232	40816	-1.003	0.000	0.7159	0.5078	1
35233	36401	-2.015	0.000	0.7306	0.3980	1
35233	40304	3.995	0.000	0.7922	0.8259	1
35233	40356	-2.016	0.000	0.7894	0.5531	1
35237	45504	0.984	0.000	0.8240	0.5348	1
35238	35769	-2.017	0.000	0.8102	0.4536	1
35242	47120	3.995	0.000	0.7714	0.4658	1
35253	43729	3.996	0.000	0.8230	0.8180	1
35269	36372	-2.017	0.000	0.7966	0.4995	1
35269	40566	-2.017	0.000	0.9014	0.8852	1
35269	42930	-2.016	0.000	0.8557	0.6617	1
35317	40495	-10.019	0.000	0.8228	0.7548	1
35323	35361	2.006	0.000	0.7434	0.6133	1
35326	37168	1.979	0.000	0.8335	0.7393	1
35327	36237	-2.015	0.000	0.9315	0.7017	1
35342	41621	-4.995	0.000	0.7482	0.4434	1
35349	36927	1.979	0.000	0.8744	0.7205	1
35349	38100	3.995	0.000	0.8354	0.6825	1
35349	40254	-4.009	0.000	0.8427	0.6779	1
35361	35660	3.995	0.000	0.7604	0.8129	1
35361	37165	1.979	0.000	0.8675	0.8566	1
35364	36517	3.996	0.000	0.7640	0.7688	1
35364	37193	1.979	0.000	0.8262	0.7411	1
35364	37989	-2.016	0.000	0.7044	0.6680	1
35364	39398	-10.021	0.000	0.8253	0.7260	1
35364	39422	-2.016	0.000	0.8949	0.7741	1
35364	40268	5.975	0.000	0.7215	0.7004	1
35364	41246	-8.041	0.000	0.7127	0.7629	1
35364	42855	-3.036	0.000	0.7185	0.7126	1
35397	36010	-0.001	0.000	0.8430	0.8054	1
35397	38515	-8.062	0.000	0.8305	0.4904	1
35422	36135	0.001	0.000	0.9595	0.9195	1
35422	36326	-2.034	0.000	0.8013	0.7583	1
35422	36626	-1.998	0.000	0.8575	0.8369	1
35422	38151	2.927	0.000	0.7691	0.6407	1
