FeatureID	FA1b	FA1c	FA2b	FA2c	FA3b	FA3c	FA4b	FA4c	FA5b	FA5c	FA6b	FA6c	FT1b	FT1c	FT2b	FT2c	FT3b	FT3c	FT4b	FT4c	FT5b	FT5c	FT6b	FT6c	NA1a	NA1b	NA1c	NA2a	NA2b	NA2c	NA3a	NA3b	NA3c	NA4a	NA4b	NA4c	NA5a	NA5b	NA5c	NA6a	NA6b	NA6c
tr_A0A921IVE9_A0A921IVE9_9ACTN	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tr_A0A921J6A0_A0A921J6A0_9ACTN	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
tr_A0A926DVY3_A0A926DVY3_9FIRM	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tr_A0A943BNX3_A0A943BNX3_9ACTN	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tr_A7VXC0_A7VXC0_9FIRM	1	5	1	1	5	4	1	1	2	8	2	1	1	1	7	0	0	4	3	3	0	0	0	8	1	1	1	1	0	0	1	0	1	0	0	1	1	0	1	1	0	1
tr_A8RLF4_A8RLF4_ENTBW	0	1	0	0	1	1	0	0	1	1	0	1	0	0	2	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
tr_A8RLG2_A8RLG2_ENTBW	0	1	1	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tr_B1C4T2_B1C4T2_9FIRM	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
tr_C0EDC4_C0EDC4_9FIRM	0	1	0	0	1	1	0	0	0	1	1	1	0	0	2	0	0	0	0	1	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tr_C2CHS4_C2CHS4_9FIRM	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	2	0	0	0	0	0
