FeatureID	cFA01a	cFA01b	cFA05a	cFA05b	cFA09a	cFA09b	cFA13a	cFA13b	cFA17a	cFA17b	cFA21a	cFA21b	cFT01a	cFT01b	cFT05a	cFT05b	cFT09a	cFT09b	cFT13a	cFT13b	cFT17a	cFT17b	cFT21a	cFT21b	cNA01a	cNA01b	cNA01c	cNA05a	cNA05b	cNA05c	cNA09a	cNA09b	cNA09c	cNA13a	cNA13b	cNA13c	cNA17a	cNA17b	cNA17c	cNA21a	cNA21b	cNA21c
Actinobaculum massiliense|PF04563.18	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinocatenispora sera|PF04563.18	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinomyces dentalis|PF04563.18	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinomyces gerencseriae|PF04563.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
Actinomyces oris_A|PF04563.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinomyces vulturis|PF04563.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinopolyspora erythraea|PF04563.18	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinotalea bogoriensis|PF04563.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acutalibacter muris|PF02275.21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	2	2	5	20	5	7	6	0	1	0	0	0	0	0	0	0	0	0
Acutalibacter muris|PF04563.18	17	11	30	5	55	10	33	63	20	49	25	37	14	25	24	12	26	21	13	11	24	13	34	49	21	16	11	169	39	42	33	32	0	6	2	2	4	2	0	0	4	0
Acutalibacter ornithocaccae|PF04563.18	1	0	5	0	2	0	0	6	0	0	2	0	0	0	2	8	4	0	2	0	1	2	3	2	0	0	4	1	1	0	2	2	2	0	4	4	9	6	1	0	0	1
Acutalibacter sp009936055|PF02275.21	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	30	2	0	0	0	0	0	0	0	0	0	0
Acutalibacter sp009936055|PF04563.18	2	3	11	4	6	21	6	6	2	2	12	5	4	20	2	9	2	8	6	0	10	3	4	23	14	1	7	2	31	0	49	28	3	30	22	22	24	29	10	2	4	7
Acutalibacter timonensis|PF04563.18	0	0	8	0	0	0	0	0	0	2	0	0	0	0	0	0	4	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Adlercreutzia caecimuris|PF02275.21	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
Adlercreutzia caecimuris|PF04563.18	0	2	12	0	4	0	0	4	0	0	0	0	0	4	4	2	2	0	2	8	14	0	0	2	0	0	0	8	0	0	0	0	0	0	2	0	0	0	2	2	4	2
Adlercreutzia equolifaciens|PF04563.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Adlercreutzia mucosicola|PF02275.21	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0
Adlercreutzia mucosicola|PF04563.18	0	0	10	0	4	0	0	0	0	2	6	2	0	0	0	0	0	0	0	0	14	0	0	0	2	0	2	18	0	0	4	0	0	0	0	2	4	0	0	0	0	0
Afipia birgiae|PF04563.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
